Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,16,9.7,0.7810249675906654
1,0,32,9.3,0.7810249675906655
2,0,48,9.1,0.7000000000000001
3,0,64,9.3,0.6403124237432849
4,0,80,9.1,0.8306623862918076
5,0,96,9.5,0.9219544457292888
6,0,112,9.7,0.45825756949558394
7,0,128,9.5,0.6708203932499369
8,0,144,9.2,0.6
9,0,160,9.2,0.7483314773547883
10,0,176,9.3,0.7810249675906655
11,0,192,9.4,0.7999999999999999
12,0,208,9.4,0.4898979485566356
13,0,224,9.7,0.9000000000000001
14,0,240,10.4,0.4898979485566356
15,0,256,78.4,80.09019915070758
16,0,272,84.4,5.678027826631356
17,0,288,122.4,42.12172835960082
18,0,304,170.2,31.342622736459052
19,0,320,42.2,3.370459909270543
20,0,336,22.5,8.369587803470372
21,0,352,10.8,1.3266499161421599
22,0,368,10.8,1.16619037896906
23,0,384,11.0,0.7745966692414834
24,0,400,10.1,0.8306623862918076
25,0,416,10.6,0.9165151389911681
26,0,432,12.6,4.673328578219169
27,0,448,12.5,4.364630568559039
28,0,464,10.7,1.3453624047073711
29,0,480,11.4,0.9165151389911681
30,0,496,10.8,1.0770329614269007
31,0,512,10.4,1.019803902718557
32,0,528,9.9,0.7
33,0,544,9.6,0.4898979485566356
34,0,560,10.1,0.9433981132056604
35,0,576,10.1,1.0440306508910548
36,0,592,10.8,1.0770329614269007
37,0,608,10.6,0.9165151389911681
38,0,624,10.4,0.9165151389911681
39,0,640,10.7,1.268857754044952
40,0,656,11.7,1.3453624047073711
41,0,672,10.8,1.32664991614216
42,0,688,10.0,0.7745966692414834
43,0,704,10.8,1.1661903789690602
44,0,720,11.0,1.3416407864998738
45,0,736,10.7,1.2688577540449522
46,0,752,11.6,0.9165151389911681
47,0,768,11.8,1.4000000000000001
48,0,784,11.8,1.1661903789690602
49,0,800,11.1,0.9433981132056604
50,0,816,10.9,0.9433981132056604
51,0,832,10.8,1.469693845669907
52,0,848,10.9,1.1357816691600546
53,0,864,10.3,1.004987562112089
54,0,880,10.4,0.66332495807108
55,0,896,10.1,1.2206555615733703
56,0,912,9.7,1.1
