Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,551,9.5,0.5
1,1,1106,9.3,0.6403124237432849
2,1,1751,9.3,0.45825756949558405
3,1,2472,16.2,2.521904042583698
4,1,3277,22.0,4.171330722922842
5,1,4186,22.0,2.6076809620810595
6,1,5377,23.8,3.627671429443411
7,1,6765,25.5,4.341658669218482
8,1,8298,40.6,16.918628786045282
9,4,9681,9.9,0.5385164807134504
10,1,11072,43.2,21.862296311229525
11,1,12933,34.1,9.364293886887575
12,1,15268,65.1,35.61305940241585
13,1,16953,36.8,10.186265262597475
14,1,18103,9.4,0.6633249580710799
15,1,19180,9.4,0.4898979485566356
16,1,20009,9.4,0.7999999999999999
17,1,21179,28.9,7.968061244744545
18,1,22105,18.7,3.6345563690772495
19,1,22987,17.4,3.6386810797320503
20,1,23830,21.5,3.2015621187164243
21,1,24670,19.2,4.237924020083418
22,1,25498,15.0,2.1447610589527217
23,1,26346,15.9,3.477067730142742
24,0,27308,19.1,3.8065732621348563
25,0,28348,19.7,2.5709920264364885
26,0,29459,20.7,3.9255572852781047
27,4,30840,28.3,5.532630477449222
28,1,32415,35.4,18.243903091169937
29,1,33737,23.1,3.269556544854363
30,1,35196,18.7,2.0024984394500787
31,1,36466,20.0,3.0659419433511785
32,1,37647,19.0,1.9493588689617927
33,0,39055,19.2,9.867117106835208
34,0,41276,21.9,9.730878685915265
35,1,42442,9.7,0.7810249675906655
36,1,43457,9.8,0.7483314773547883
37,2,44425,9.3,0.45825756949558394
38,0,45864,21.4,4.82078831727758
39,0,47898,19.5,3.138470965295043
40,0,49255,21.4,3.5270384177096794
41,3,50190,23.3,4.605431575867782
42,4,50963,9.5,0.5
43,3,51881,19.8,5.793099343184096
44,4,52731,9.2,0.6
45,4,53604,9.3,0.7810249675906655
46,4,54446,9.2,0.6
47,4,55379,9.2,0.7483314773547883
48,4,56208,9.0,0.8944271909999159
49,4,56993,9.5,0.806225774829855
50,4,57855,9.3,0.6403124237432849
51,4,58804,9.4,0.8
52,4,59706,9.9,0.7000000000000001
53,4,60663,9.4,0.9165151389911681
54,4,61557,9.3,0.9000000000000001
55,2,62382,9.4,0.66332495807108
56,4,63266,9.0,0.6324555320336759
57,4,64131,9.1,0.8306623862918076
58,4,64968,9.4,0.66332495807108
59,4,65798,9.1,0.9433981132056604
60,4,66621,9.3,0.6403124237432849
61,4,67531,9.5,0.6708203932499369
62,4,68441,9.2,0.7483314773547883
63,4,69270,9.7,0.45825756949558405
64,4,70150,9.3,0.6403124237432849
65,4,71147,9.5,0.806225774829855
66,4,71848,11.4,3.6110940170535577
67,4,72629,12.5,4.387482193696061
68,4,73407,12.1,3.047950130825634
69,4,74194,12.0,4.604345773288535
70,4,74972,12.3,3.7960505792204615
71,4,75805,9.9,0.7000000000000001
72,4,76520,14.3,7.82368199762746
73,0,77504,13.3,5.119570294468081
74,1,78183,15.2,8.908422980528035
75,1,78842,17.3,10.276672613253766
76,4,79471,9.5,0.806225774829855
77,4,80071,9.6,0.4898979485566356
78,4,80723,9.2,0.7483314773547883
79,4,81539,9.3,0.6403124237432849
80,4,82305,9.7,0.6403124237432849
81,4,83037,9.4,0.66332495807108
82,4,83774,9.5,0.5
83,4,84353,9.4,0.66332495807108
84,0,85174,9.6,0.66332495807108
85,4,86072,9.1,0.7000000000000001
86,0,86889,10.1,1.1357816691600546
87,0,87664,10.0,1.5491933384829668
88,0,88471,10.3,1.4866068747318506
89,0,89298,10.7,0.6403124237432849
90,0,90145,11.1,1.1357816691600546
91,0,91036,12.3,2.2825424421026654
92,0,91985,10.9,1.3
93,0,92886,11.6,2.2449944320643644
94,0,93765,13.1,2.5865034312755126
95,0,94591,13.3,2.0518284528683193
96,0,95414,12.5,3.2939338184001206
97,0,96264,11.0,1.7320508075688772
98,1,97170,10.7,1.0999999999999999
99,0,98029,11.1,2.773084924772409
100,0,98844,12.3,2.5317977802344322
101,0,99712,10.9,2.3430749027719964
102,0,100578,11.6,1.9595917942265424
103,0,101470,12.0,2.5298221281347035
104,0,102373,10.7,2.0024984394500787
105,0,103260,10.7,1.4177446878757824
106,0,104062,11.7,1.9000000000000001
107,0,104775,10.1,1.445683229480096
108,0,105511,10.6,1.6852299546352716
109,0,106272,10.8,1.5362291495737217
110,0,107100,11.5,1.5652475842498528
111,0,107927,10.3,1.7916472867168918
112,0,108776,10.5,1.2041594578792296
113,0,109632,10.7,1.6155494421403511
114,0,110412,10.1,1.7578395831246947
115,0,111230,12.1,2.0712315177207983
116,0,112052,11.4,2.5377155080899043
117,0,112793,12.7,3.7960505792204615
118,0,113459,13.1,2.7367864366808017
119,0,114220,13.7,3.579106033634656
120,0,115011,11.8,2.638181191654584
121,0,115760,14.0,2.932575659723036
122,4,117033,10.0,0.7745966692414834
123,4,118058,10.1,0.9433981132056604
124,0,118778,12.8,2.891366458960192
125,0,119646,11.8,1.8330302779823362
126,0,120339,11.1,1.8681541692269403
127,0,120984,10.8,2.2271057451320084
128,0,121727,11.3,1.5524174696260025
129,0,122469,9.9,1.0440306508910548
130,0,123232,10.6,1.0198039027185568
131,0,123916,10.8,0.9797958971132711
132,0,124676,10.8,1.6613247725836149
133,0,125439,10.4,1.2806248474865698
134,0,126089,10.0,1.0954451150103321
135,0,126783,10.9,1.0440306508910548
136,0,127529,10.3,1.5524174696260025
137,0,128175,9.9,1.0440306508910548
138,0,128803,11.4,1.5620499351813308
139,2,129379,10.6,2.615339366124404
140,0,129972,11.2,2.181742422927143
141,0,130639,10.3,1.6155494421403513
142,0,131313,11.1,1.374772708486752
143,0,131898,11.0,2.1447610589527217
144,0,132547,9.9,1.1357816691600546
145,0,133257,9.8,0.8717797887081348
146,0,133982,11.1,1.8138357147217055
147,0,134655,11.3,2.0024984394500787
148,0,135276,10.6,1.3564659966250536
