Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
0,9.2,9.9,9.6,12.3,10.2,11.0,12.5,10.4,12.2,14.7
1,9.9,10.0,9.5,13.0,10.4,10.4,16.3,10.6,14.2,9.3
2,9.1,9.4,9.8,14.5,13.1,12.6,19.2,10.1,16.6,9.6
3,9.7,9.5,9.7,18.7,13.5,12.0,9.1,10.6,30.0,9.2
4,9.4,9.2,9.4,15.5,14.8,12.1,9.3,10.2,78.4,9.5
5,9.8,9.3,8.9,33.4,18.5,12.1,9.5,9.9,41.5,9.5
6,9.6,9.6,9.1,69.8,48.5,10.8,9.1,10.3,29.4,9.0
7,9.8,9.5,9.4,66.8,93.5,9.5,10.0,9.9,23.9,9.5
8,10.4,10.2,9.2,59.6,88.1,10.0,9.9,10.5,20.9,9.1
9,10.9,9.5,9.1,62.6,61.1,9.4,10.2,10.0,17.9,9.1
10,11.6,9.7,9.5,48.9,41.4,9.2,10.9,10.5,15.0,9.0
11,12.2,10.2,9.7,47.3,43.5,9.1,10.2,9.6,13.2,9.7
12,11.6,10.0,9.2,58.1,48.9,9.2,9.8,9.3,11.8,9.3
13,12.9,10.1,9.6,49.2,60.6,9.4,10.3,10.0,11.5,9.3
14,12.7,9.2,9.9,45.3,100.2,9.6,9.8,9.3,10.3,9.2
15,13.6,10.1,9.4,55.6,76.1,9.8,9.1,9.8,9.9,27.0
16,15.6,10.2,9.1,65.3,74.4,9.4,9.6,9.9,9.2,24.3
17,16.2,9.9,9.5,42.2,50.6,9.0,10.1,10.7,9.4,11.0
18,14.2,10.5,9.5,44.0,39.7,9.7,9.5,10.5,9.2,9.2
19,15.1,10.2,9.1,35.2,38.1,9.3,9.4,11.0,9.3,9.0
20,13.5,10.6,9.5,37.8,50.6,10.1,9.6,11.1,9.3,8.8
21,12.7,10.3,9.5,24.1,57.9,15.3,9.1,11.6,9.6,10.2
22,12.9,11.3,9.7,9.9,107.7,30.6,9.2,12.0,9.2,40.3
23,11.7,10.7,9.4,9.3,56.3,69.6,9.7,12.5,9.3,67.4
24,11.2,11.4,9.1,9.3,40.5,75.4,18.1,13.1,9.8,20.7
25,11.3,10.9,9.5,9.4,39.6,78.9,12.4,13.6,9.7,14.4
26,10.6,10.9,8.9,9.1,41.4,87.7,11.1,12.7,11.4,14.9
27,10.5,10.6,9.2,21.2,81.6,119.6,10.9,12.2,12.5,18.7
28,10.0,11.4,9.1,18.4,109.9,90.5,10.7,13.2,13.8,67.9
29,10.5,11.5,9.4,8.9,91.4,97.3,11.5,13.1,15.0,77.4
30,10.7,10.3,9.1,9.3,73.0,94.3,11.1,12.4,68.3,15.6
31,10.2,11.3,9.0,9.3,25.6,104.9,11.1,12.1,89.9,13.0
32,10.3,10.4,9.2,9.8,9.4,110.7,12.2,12.7,53.8,11.7
33,9.9,9.9,9.3,9.3,9.3,122.5,132.2,13.4,59.6,14.5
34,11.0,11.6,9.4,13.8,9.6,69.9,151.7,13.2,53.2,29.2
35,10.6,10.8,8.7,39.0,9.0,60.1,66.5,13.7,27.3,52.8
36,9.7,10.9,9.0,29.1,9.4,56.2,49.2,13.3,26.6,46.5
37,9.8,11.4,9.0,27.8,9.2,51.1,42.6,15.2,9.2,45.1
38,9.7,11.6,9.3,29.5,9.5,41.2,33.6,13.0,15.4,40.7
39,10.9,11.4,9.2,36.7,19.1,34.2,9.2,15.0,20.0,35.5
40,11.1,12.1,9.0,36.1,36.6,30.0,9.3,14.8,42.3,45.3
41,27.4,11.8,9.1,35.2,21.9,26.3,30.6,15.7,29.0,42.1
42,17.3,11.4,9.4,38.5,29.5,20.3,34.6,15.2,36.1,35.5
43,9.5,11.2,9.8,42.5,31.9,18.0,32.3,14.0,32.2,34.9
44,18.5,12.5,9.3,53.0,40.4,13.2,35.1,15.4,30.0,39.7
45,31.8,11.2,9.7,43.0,44.0,12.4,30.4,14.1,29.5,45.0
46,11.4,11.8,9.1,48.2,34.6,12.0,31.8,14.7,20.3,59.2
47,10.1,12.0,9.4,51.5,14.3,11.0,30.4,15.9,14.1,57.9
48,10.0,14.9,9.1,44.2,11.5,11.3,25.3,15.1,19.9,50.4
49,10.3,14.9,9.6,45.9,9.8,12.0,25.8,14.0,23.2,69.0
