Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,16,9.36,0.2416609194718916
1,0,32,9.3,0.19999999999999993
2,0,48,9.23,0.1417744687875785
3,0,64,9.540000000000001,0.6800000000000002
4,0,80,9.97,2.316052676430309
5,0,96,10.47,3.6144294155509527
6,0,112,12.150000000000002,8.318683790119685
7,0,128,15.100000000000003,17.30063582646603
8,0,144,18.45,27.21776074551321
9,0,160,11.389999999999999,6.105808709745172
10,0,176,9.59,0.7502666192761076
11,0,192,9.400000000000002,0.2000000000000001
12,0,208,9.3,0.27928480087537894
13,0,224,9.22,0.1600000000000002
14,0,240,9.41,0.2118962010041711
15,0,256,9.4,0.30983866769659346
16,0,272,9.37,0.26851443164195116
17,0,288,9.33,0.12688577540449544
18,0,304,9.35,0.21563858652847823
19,0,320,9.309999999999999,0.17000000000000007
20,0,336,9.470000000000002,0.2609597670139976
21,0,352,9.919999999999998,1.1196428001822725
22,0,368,11.080000000000002,2.8494911826499827
23,0,384,26.82,33.3548737068513
24,0,400,36.239999999999995,52.21055831917525
25,0,416,41.290000000000006,57.50934619694437
26,0,432,41.010000000000005,58.123032439816825
27,0,448,42.730000000000004,61.95227275895534
28,0,464,39.790000000000006,55.46259009458538
29,0,480,34.39,51.59008528777599
30,0,496,26.76,34.29490341144001
31,0,512,23.45,31.07147405579594
32,0,528,22.619999999999997,29.919618981531166
33,0,544,21.880000000000003,27.45810627119066
34,0,560,21.270000000000003,27.195442632911856
35,0,576,21.4,28.067347576855212
36,0,592,19.82,25.141949009573622
37,0,608,20.279999999999998,27.71150663533111
38,0,624,18.86,25.89618504722269
39,0,640,18.880000000000003,25.80623180551551
40,0,656,19.080000000000002,25.878632112227262
41,0,672,20.81,30.04052096751985
42,0,688,19.529999999999998,28.704705189219414
43,0,704,22.41,34.81684793314869
44,0,720,23.479999999999997,34.77426634740121
45,0,736,21.15,26.453364625317512
46,0,752,19.800000000000004,24.96605695739718
47,0,768,21.02,25.65442651863417
48,0,784,21.86,23.946949701371153
49,0,800,17.94,16.8269545670035
50,0,816,16.999999999999996,20.768630190746816
51,0,832,17.35,23.28678809969292
52,0,848,17.14,23.088707196376333
53,0,864,15.819999999999999,18.50344832727132
54,0,880,15.27,17.046644831168393
55,0,896,11.02,4.109452518280264
56,0,912,10.1,1.2577758146824096
57,0,928,10.580000000000002,2.1857721747702805
58,0,944,10.81,4.124427232962173
59,0,960,10.360000000000001,2.3273160507331183
60,0,976,10.850000000000001,3.0236567265481713
61,0,992,10.77,2.609616830111272
62,0,1008,13.5,9.130936425142824
63,0,1024,15.180000000000001,14.753765621020284
64,0,1040,15.61,15.167165193271945
65,0,1056,13.76,10.18608855253085
66,0,1072,12.820000000000002,8.961339185635149
67,0,1088,10.34,1.7425269007966564
68,0,1104,10.09,0.7049113419430839
69,0,1120,9.829999999999998,0.6827151675479313
70,0,1136,9.570000000000002,0.49000000000000005
71,0,1152,9.870000000000001,1.2256018929489296
72,0,1168,9.689999999999998,0.6252199612936234
73,0,1184,10.129999999999999,1.2050311199301034
74,0,1200,10.16,1.6782133356638544
75,0,1216,10.899999999999999,3.7145659234963113
76,0,1232,10.430000000000001,2.17441946275322
77,0,1248,9.840000000000002,0.9286549412995116
78,0,1264,10.359999999999998,1.6930445948054647
79,0,1280,10.320000000000002,1.058111525312904
80,0,1296,10.830000000000002,2.581491816760224
81,0,1312,10.45,1.542886904474855
82,0,1328,11.48,4.616882064770553
83,0,1344,11.12,4.424432166956569
84,0,1360,11.6,4.733286384743692
85,0,1376,12.239999999999998,7.443413195570967
86,0,1392,12.11,6.405380550755747
87,0,1408,12.85,6.806798072515446
88,0,1424,11.569999999999999,4.104643711700201
89,0,1440,11.709999999999999,3.4869614279484074
90,0,1456,10.559999999999999,1.3749181793837768
91,0,1472,10.75,1.999624964837157
92,0,1488,10.33,1.3221573280060135
93,0,1504,10.309999999999999,1.4313979181206045
94,0,1520,10.65,2.6762847382145276
95,0,1536,11.23,3.964858131131554
96,0,1552,10.97,4.460056053459418
97,0,1568,12.530000000000001,7.395951595298606
98,0,1584,13.270000000000001,8.118010840101164
99,0,1600,13.89,9.211129138167589
100,0,1616,13.65,8.937477272698375
101,0,1632,13.770000000000001,9.297639485374768
102,0,1648,13.63,8.849299407297734
103,0,1664,13.530000000000001,9.329099635013018
104,0,1680,12.569999999999999,8.988553832513881
105,0,1696,12.45,8.005529339150534
106,0,1712,12.129999999999999,8.45955672597566
107,0,1728,12.2,8.140147418812512
108,0,1744,12.27,8.38654279187795
109,0,1760,12.9,8.277801640532347
110,0,1776,12.36,7.866028222680109
111,0,1792,12.49,8.456530021232112
112,0,1808,12.749999999999998,7.628269790719257
113,0,1824,12.59,7.495925559929207
114,0,1840,12.52,7.813680310839444
115,0,1856,12.009999999999998,7.7692277608524245
116,0,1872,11.95,6.466103927404817
117,0,1888,12.27,7.689349777451928
118,0,1904,12.01,7.634061828410876
119,0,1920,12.290000000000001,7.311285796629757
120,0,1936,12.03,7.793850139693473
121,0,1952,12.150000000000002,7.035943433541802
122,0,1968,12.149999999999999,7.255790790809778
123,0,1984,12.52,7.884009132414801
124,0,2000,12.65,7.843118002427351
125,0,2016,12.27,7.097471380710174
126,0,2032,11.91,7.27055018550866
127,0,2048,12.11,7.825145366061899
128,0,2064,12.469999999999999,7.367367236672813
129,0,2080,12.149999999999999,7.677922896200509
130,0,2096,12.359999999999998,7.475319391169852
131,0,2112,12.02,6.567008451342209
132,0,2128,12.059999999999999,7.816930343811438
133,0,2144,11.86,7.551450191850569
134,0,2160,12.309999999999999,7.087517195746335
135,0,2176,12.41,7.508055673741372
136,0,2192,12.349999999999998,7.523197458527856
137,0,2208,12.87,7.359082823287152
138,0,2224,12.54,6.87287421680333
139,0,2240,12.790000000000001,7.39546482650009
140,0,2256,12.47,7.20653175945267
141,0,2272,12.129999999999999,6.585749767490411
142,0,2288,11.95,6.570273966890574
143,0,2304,12.260000000000002,7.304272722181176
144,0,2320,12.17,6.989427730508414
145,0,2336,12.620000000000001,7.515956359639136
146,0,2352,11.900000000000002,6.6267639161207486
147,0,2368,12.04,7.116206854778744
148,0,2384,12.540000000000001,7.087199729089057
149,0,2400,12.120000000000001,6.486416576199836
150,0,2416,12.41,7.403033162157253
151,0,2432,12.36,6.958907960305267
152,0,2448,12.180000000000001,6.808494694130267
153,0,2464,11.900000000000002,6.599090846472717
154,0,2480,12.85,7.356799575902554
155,0,2496,12.75,7.706912481662159
156,0,2512,12.68,7.660913783616153
157,0,2528,12.049999999999999,7.3640002715915225
158,0,2544,12.040000000000001,7.605550604657101
159,0,2560,12.05,7.525323913294364
160,0,2576,12.0,7.277499570594284
161,0,2592,11.9,7.105350096934001
162,0,2608,11.85,7.1857149957398105
163,0,2624,12.01,6.619735644268583
164,0,2640,12.6,7.3095827514297955
165,0,2656,12.27,6.704483574444791
166,0,2672,12.34,6.589719265644023
167,0,2688,12.34,7.863612401434853
168,0,2704,12.290000000000001,7.254164321270923
169,0,2720,12.040000000000001,6.234131856160888
170,0,2736,12.09,6.377687668740137
171,0,2752,11.909999999999998,5.625379987165312
172,0,2768,11.66,6.152267874532122
173,0,2784,12.02,6.950510772597939
174,0,2800,11.720000000000002,4.70612367028322
175,0,2816,12.139999999999999,6.866032333160104
176,0,2832,11.91,6.882942684637145
177,0,2848,12.46,7.31849711347897
178,0,2864,12.46,7.557803913836347
179,0,2880,12.31,7.956689009883445
180,0,2896,12.16,7.7966916060595866
181,0,2912,12.19,7.928612741205109
182,0,2928,12.75,7.569445158002004
183,0,2944,12.419999999999998,7.287496140650778
184,0,2960,13.059999999999999,8.086680406693466
185,0,2976,12.690000000000001,7.7613723013395
186,0,2992,12.21,7.04335857386233
187,0,3008,11.99,7.347986118658635
188,0,3024,11.799999999999999,7.145907919921725
189,0,3040,11.59,6.476179429262287
190,0,3056,10.95,4.483804188409659
191,0,3072,11.92,6.99854270544947
192,0,3088,12.09,5.970669979156443
