Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,16,9.7,0.7810249675906655
1,7,41,9.2,0.6
2,1,65,9.2,0.8717797887081347
3,4,91,9.1,0.8306623862918076
4,2,117,9.6,0.66332495807108
5,5,141,9.4,0.7999999999999999
6,6,167,9.6,0.66332495807108
7,9,192,9.5,0.9219544457292888
8,3,219,9.1,0.5385164807134504
9,8,245,9.1,0.7000000000000001
10,8,271,9.2,0.6
11,9,296,9.5,0.6708203932499369
12,0,320,9.1,1.0440306508910548
13,5,345,9.5,1.02469507659596
14,1,370,9.5,0.9219544457292888
15,7,396,9.4,0.7999999999999999
16,2,422,9.3,0.45825756949558405
17,6,447,9.3,0.9000000000000001
18,3,472,9.4,0.8
19,4,497,9.2,0.7483314773547883
20,2,522,9.7,0.7810249675906655
21,3,548,9.2,0.8717797887081348
22,8,573,9.1,0.8306623862918076
23,2,597,9.6,1.2806248474865698
24,3,639,9.3,0.6403124237432849
25,2,665,18.8,8.6
26,7,697,9.2,0.6
27,5,722,9.4,1.1135528725660042
28,8,749,9.1,0.7000000000000001
29,3,774,9.7,0.45825756949558394
30,9,799,9.0,0.6324555320336759
31,8,825,9.1,0.7000000000000001
32,8,850,9.3,0.6403124237432849
33,1,876,9.2,0.9797958971132712
34,9,900,8.9,0.8306623862918076
35,0,926,18.1,9.180958555619343
36,1,965,9.7,0.6403124237432849
37,2,990,10.5,1.5652475842498528
38,6,1018,9.6,0.4898979485566356
39,3,1044,9.6,1.2
40,1,1068,9.0,0.6324555320336759
41,0,1094,11.4,2.973213749463701
42,1,1118,9.7,0.45825756949558394
43,0,1143,9.5,0.5
44,2,1168,9.8,1.2489995996796797
45,3,1196,9.3,0.45825756949558394
46,2,1222,10.6,1.5620499351813308
47,7,1249,9.9,0.5385164807134504
48,5,1274,12.1,4.657252408878008
49,8,1309,9.1,0.8306623862918074
50,3,1333,9.7,0.7810249675906655
51,2,1363,11.8,1.5999999999999999
52,8,1389,10.7,1.9519221295943137
53,8,1415,10.9,1.1357816691600546
