Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,64,34.7,11.87476315553283
1,0,128,44.6,15.41557653803451
2,0,192,54.6,13.33566646253572
3,0,256,68.4,22.339203208709126
4,0,320,75.8,47.37256590052939
5,0,384,64.7,17.89441253576099
6,0,448,62.4,29.917219122104246
7,0,512,57.8,13.760813929415658
8,0,576,75.7,34.790947098347296
9,0,640,74.3,31.2667555080472
10,0,704,74.2,25.615620234536582
11,0,768,81.8,40.226359517112655
12,0,832,89.1,36.429246492344575
13,0,896,94.3,55.099999999999994
14,0,960,85.0,45.77335469462556
15,0,1024,59.8,16.240689640529432
16,0,1088,70.3,25.71789260417735
17,0,1152,76.5,32.01015463880173
18,0,1216,71.9,31.608384963487143
19,0,1280,75.0,42.792522711333575
20,0,1344,75.8,27.798561113841846
21,0,1408,94.8,44.54391091945116
22,0,1472,74.2,23.63810483097154
23,0,1536,78.0,26.065302607105867
24,0,1600,68.3,20.38160935745752
25,0,1664,102.2,51.3084788314758
26,0,1728,79.7,42.92563336748801
27,0,1792,76.3,26.363042313056358
28,0,1856,87.4,40.35641212992057
29,0,1920,71.3,21.813069476806792
30,0,1984,76.6,40.10536123762009
31,0,2048,65.1,13.44953530795767
32,0,2112,82.4,38.325448464434174
33,0,2176,65.1,13.456968455042169
34,0,2240,72.0,13.96424004376894
35,0,2304,66.7,15.119854496654392
36,0,2368,65.7,12.649505919204907
37,0,2432,69.6,21.124393482417428
38,0,2496,63.0,14.303845636750978
39,0,2560,76.9,35.0441150551701
40,0,2624,86.7,35.620359346867914
41,0,2688,73.5,18.029143074478053
42,0,2752,71.8,29.59662142880501
43,0,2816,82.6,55.44582941935309
44,0,2880,75.1,25.835827836552866
45,0,2944,62.6,7.952358140828418
46,0,3008,70.6,25.350345165302976
47,0,3072,79.6,33.81183224848958
48,0,3136,94.7,36.066743684452575
49,0,3200,79.5,33.46117152760794
50,0,3264,72.6,29.749621846336133
51,0,3328,87.0,33.01211898682058
52,0,3392,105.6,52.72798118646304
53,0,3456,72.7,31.212337304341688
