Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,5,64,47.1,7.006425622241343
1,5,128,68.1,21.556669501571896
2,5,192,66.2,24.975187686982455
3,8,256,58.7,17.000294115102832
4,6,320,49.3,11.109005356016352
5,4,384,54.1,18.976037521042162
6,5,448,51.4,13.402984742213206
7,3,512,56.4,20.175232340669584
8,6,576,55.2,32.0618152948332
9,3,640,52.9,26.901486947750676
10,0,704,47.8,14.5657131648265
11,3,768,57.6,20.34797287200865
12,5,832,48.1,14.55644187293035
13,5,896,42.6,16.378034070058593
14,7,960,50.5,12.893796958227627
15,9,1024,53.9,13.38992158304148
16,8,1088,49.6,15.932357013323546
17,4,1152,46.7,11.593532679903914
18,6,1216,41.4,10.141005867269776
19,5,1280,55.2,25.52175542551883
20,2,1344,38.7,12.174152947946727
21,9,1408,41.9,18.33275756671647
22,2,1472,38.7,9.413288479590966
23,5,1536,44.4,14.333178293735134
24,8,1600,42.7,11.34063490286148
25,7,1664,42.3,11.34063490286148
26,5,1728,38.3,9.77803661273571
27,9,1792,35.9,4.867237409455183
28,8,1856,32.9,3.753664875824692
29,0,1920,33.4,5.295280917949491
30,9,1984,32.4,4.004996878900157
31,2,2048,29.9,3.7269290307168443
32,0,2112,31.0,5.118593556827891
33,9,2176,27.2,2.5612496949731396
34,0,2240,28.4,3.2924155266308657
35,2,2304,28.8,3.1559467676119
36,1,2368,27.3,1.9519221295943134
37,9,2432,23.8,2.749545416973504
38,6,2496,24.3,3.9255572852781047
39,7,2560,24.6,3.5832945734337835
40,3,2624,24.9,3.144837038703278
41,6,2688,24.4,3.9293765408777004
42,5,2752,20.8,3.4871191548325386
43,3,2816,22.6,2.7640549922170505
44,1,2880,20.8,3.2186953878862163
45,8,2944,18.0,2.0
46,5,3008,18.2,1.32664991614216
47,7,3072,16.7,2.147091055358389
48,2,3136,15.7,2.4515301344262523
49,3,3200,14.7,1.0049875621120892
50,4,3264,13.3,1.1874342087037917
51,3,3328,12.8,1.16619037896906
52,1,3392,12.1,1.0440306508910548
53,9,3456,10.9,0.7000000000000001
54,2,3520,11.1,1.445683229480096
55,8,3584,10.5,1.2041594578792296
56,2,3648,10.5,0.9219544457292888
57,5,3712,10.3,1.0999999999999999
58,4,3776,10.6,1.0198039027185568
59,0,3840,10.3,0.9
60,6,3904,10.1,1.0440306508910548
61,8,3968,10.4,0.9165151389911681
62,4,4032,9.5,0.806225774829855
63,4,4096,10.2,0.9797958971132711
64,4,4160,10.1,1.0440306508910548
65,3,4224,9.4,0.6633249580710799
66,4,4288,11.2,0.9797958971132712
67,2,4352,10.9,1.1357816691600546
68,2,4416,10.8,1.0770329614269007
69,9,4480,11.4,1.0198039027185568
70,7,4544,10.6,0.9165151389911679
71,4,4608,11.6,1.2806248474865698
72,3,4672,12.2,1.0770329614269007
73,8,4736,12.5,1.746424919657298
74,0,4800,11.7,1.004987562112089
75,2,4864,13.1,1.6401219466856727
76,3,4928,14.2,1.2489995996796797
77,1,4992,14.9,2.118962010041709
78,9,5056,17.1,2.6248809496813372
79,2,5120,15.7,1.9000000000000001
80,9,5184,18.4,2.0591260281974
81,5,5248,19.9,2.3853720883753127
82,8,5312,21.1,2.808914381037628
83,7,5376,22.5,3.170173496829472
84,9,5440,21.1,3.9102429592034307
85,8,5504,21.7,2.8653097563788807
86,0,5568,21.3,3.3778691508109073
87,4,5632,23.4,3.8000000000000003
88,2,5696,23.1,3.645545226711637
89,9,5760,24.2,2.6
90,1,5824,24.9,2.981610303175115
91,0,5888,25.0,3.0659419433511785
92,1,5952,30.0,2.1908902300206643
93,6,6016,34.4,5.043808085167396
94,2,6080,32.4,4.454211490264018
95,6,6144,35.7,6.723838189605695
96,2,6208,40.0,7.429670248402684
97,8,6272,39.1,5.85576638878294
98,9,6336,45.5,11.543396380615196
99,9,6400,39.3,7.335529974037323
100,7,6464,46.9,12.48559169603107
101,4,6528,46.0,12.790621564255586
102,6,6592,44.3,10.8816359064251
103,9,6656,51.4,12.507597691003657
104,3,6720,46.8,9.631199302267605
105,1,6784,49.7,19.529720940146582
106,0,6848,58.4,20.895932618574363
107,7,6912,51.3,14.248157775656471
108,9,6976,57.9,23.92258347252654
109,7,7040,58.6,31.003870726088383
110,2,7104,75.0,36.92966287417203
111,5,7168,75.0,19.601020381602584
112,0,7232,67.6,16.49363513601535
113,5,7296,68.7,17.447349368886954
114,9,7360,80.2,18.24171044611771
115,0,7424,75.2,9.703607576566563
116,5,7488,99.3,27.2251721757641
117,0,7552,83.5,14.568802284333465
118,8,7616,113.2,32.98120676991671
119,8,7680,105.8,19.0934543757802
120,3,7744,116.2,24.473659309551564
121,2,7808,129.4,33.58332919768378
122,7,7872,163.0,48.82007783689002
123,7,7936,138.5,38.14773912042495
124,2,8000,120.6,41.63700277397498
125,0,8064,130.9,47.386601481853496
126,0,8128,135.4,48.822535780108765
127,0,8192,127.2,40.713142841102304
128,3,8256,97.3,26.161230857893518
129,9,8320,100.7,39.10767188161423
130,0,8384,87.7,10.658799181896617
131,8,8448,87.6,38.714855030078574
132,6,8512,87.0,38.07886552931954
133,7,8576,81.4,21.312906887611554
134,0,8640,92.2,24.595934623429137
135,6,8704,82.3,14.946906034360422
136,1,8768,84.2,28.311834981152316
137,3,8832,69.6,13.26800663249759
138,6,8896,62.1,12.477579893553076
139,5,8960,61.9,12.003749414245533
140,2,9024,59.9,11.175419455215094
141,3,9088,57.1,5.7
142,0,9152,52.5,11.664047325006875
143,8,9216,55.1,14.369759914487089
144,2,9280,59.3,11.975391434103521
145,0,9344,57.1,12.40524082797267
146,0,9408,51.1,10.46374693883601
147,0,9472,55.2,11.504781614615725
148,5,9536,58.9,8.03056660516554
149,0,9600,50.9,8.642337646724988
150,2,9664,57.5,8.902246907382429
151,3,9728,54.7,11.670903992407785
152,8,9792,53.7,13.54289481610191
153,5,9856,54.6,14.437451298619157
154,4,9920,51.9,13.224598292575847
155,3,9984,55.5,9.362157870918436
156,7,10048,58.5,10.0024996875781
157,4,10112,56.5,10.920164833920778
158,8,10176,59.6,7.472616676907762
159,1,10240,58.1,7.244998274671982
160,8,10304,54.5,8.00312438988674
161,3,10368,59.0,13.0843417870369
162,0,10432,58.7,5.8999999999999995
163,6,10496,52.9,7.475961476626266
164,4,10560,53.7,7.950471684120383
165,4,10624,59.8,14.688771221582831
166,0,10688,66.1,14.842169652715873
167,9,10752,57.9,17.218884981322105
168,9,10816,59.1,10.921996154549772
169,1,10880,102.4,15.4220621189256
170,1,10944,82.5,22.236231695141154
171,2,11008,84.2,18.38912722235615
172,4,11072,96.4,23.854559312634557
173,6,11136,90.0,24.40491753725056
174,2,11200,100.6,15.80632784678339
175,8,11264,110.5,8.139410298049853
176,1,11328,105.4,11.101351269102333
177,2,11392,109.5,5.239274758971894
178,5,11456,110.1,7.8287930104199335
179,9,11520,114.4,6.902173570694959
180,1,11584,110.9,6.040695324215582
181,3,11648,105.8,5.325410782277738
182,9,11712,107.0,5.0990195135927845
183,7,11776,104.2,4.995998398718719
184,6,11840,92.7,22.685017081765665
185,9,11904,102.9,4.742362280551751
186,5,11968,105.5,7.787810988975015
187,4,12032,101.6,6.755738301621815
188,3,12096,96.9,16.287725439729147
189,7,12160,91.2,22.310535627814946
190,4,12224,83.6,27.06732347314747
191,9,12288,77.5,25.503921267130668
192,1,12352,89.6,23.465719677862
193,0,12416,86.1,25.64156781478075
194,0,12480,99.7,18.958111720316452
195,9,12544,92.0,23.276597689524987
196,5,12608,99.3,18.62283544468994
197,4,12672,98.1,17.415223225672417
198,1,12736,96.7,15.684705926474999
199,8,12800,99.8,16.357261384473873
200,4,12864,103.1,7.751773990513397
201,3,12928,109.0,5.0
202,9,12992,107.1,6.564297372910524
203,4,13056,106.1,5.889821729050889
204,2,13120,109.0,7.293833011524188
205,4,13184,111.6,7.709734106958554
206,7,13248,118.7,6.000833275471
207,4,13312,116.0,10.972693379476162
208,2,13376,119.5,8.958236433584458
209,8,13440,131.5,8.616843969807043
210,6,13504,129.7,12.377802712921223
211,6,13568,126.7,10.899999999999999
212,3,13632,124.6,9.38296328459192
213,0,13696,123.4,6.102458520956943
214,8,13760,128.3,8.075270893288968
215,3,13824,129.7,8.426743143112883
216,9,13888,134.6,8.968834929911464
217,9,13952,141.6,12.232742946698423
218,7,14016,169.2,31.634790974495154
219,4,14080,178.5,24.3608292141298
220,4,14144,181.2,23.408545448190498
221,0,14208,192.8,14.647866738880444
222,8,14272,200.0,0.0
223,7,14336,200.0,0.0
224,3,14400,200.0,0.0
225,1,14464,200.0,0.0
226,1,14528,200.0,0.0
227,9,14592,200.0,0.0
228,7,14656,200.0,0.0
229,6,14720,200.0,0.0
230,5,14784,200.0,0.0
231,9,14848,200.0,0.0
232,0,14912,200.0,0.0
233,7,14976,200.0,0.0
