Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,2,64,8.9,0.8306623862918076
1,1,128,9.6,0.6633249580710799
2,9,192,9.4,0.8
3,4,256,9.5,0.6708203932499369
4,2,320,9.3,0.7810249675906655
5,1,384,9.3,0.9
6,9,448,9.2,0.6
7,4,512,9.3,0.9000000000000001
8,8,576,9.7,0.45825756949558394
9,8,640,9.5,0.5
10,9,704,9.3,0.45825756949558405
11,7,768,9.4,0.6633249580710799
12,5,832,9.2,0.8717797887081348
13,4,896,9.2,0.8717797887081347
14,8,960,9.3,0.9000000000000001
15,8,1024,9.6,0.7999999999999999
16,9,1088,9.3,0.45825756949558405
17,5,1152,9.4,0.8
18,7,1216,9.4,0.66332495807108
19,5,1280,9.6,0.7999999999999999
20,6,1344,9.7,0.7810249675906655
21,4,1408,9.5,0.806225774829855
22,9,1472,9.4,0.9165151389911681
23,7,1536,9.6,0.4898979485566356
24,1,1600,9.4,0.4898979485566356
25,0,1664,9.7,0.6403124237432849
26,9,1728,9.6,0.4898979485566356
27,0,1792,9.2,0.7483314773547883
28,9,1856,9.1,0.7000000000000001
29,9,1920,9.1,0.7000000000000001
30,3,1984,9.0,0.6324555320336759
31,1,2048,9.1,0.7000000000000001
32,7,2112,9.3,0.6403124237432849
33,6,2176,9.4,0.66332495807108
34,9,2240,8.9,0.8306623862918076
35,7,2304,9.4,0.7999999999999999
36,8,2368,9.3,0.6403124237432849
37,6,2432,9.1,0.9433981132056604
38,1,2496,8.9,0.7000000000000001
39,6,2560,9.3,0.9000000000000001
40,5,2624,9.0,0.6324555320336759
41,1,2688,9.3,0.7810249675906655
42,4,2752,9.7,0.45825756949558394
43,1,2816,9.5,0.5
44,0,2880,8.9,0.5385164807134504
45,6,2944,9.3,0.45825756949558394
46,6,3008,9.2,0.6
47,5,3072,8.9,0.7000000000000001
48,9,3136,9.5,0.6708203932499369
49,8,3200,8.9,0.5385164807134504
50,6,3264,9.6,0.6633249580710799
51,5,3328,9.5,0.5
52,8,3392,9.6,0.9165151389911681
53,3,3456,9.6,0.66332495807108
54,9,3520,9.2,0.8717797887081348
55,6,3584,9.0,0.8944271909999159
56,1,3648,9.3,0.6403124237432849
57,2,3712,9.7,1.1
58,6,3776,16.2,1.9899748742132397
59,3,3840,22.4,2.973213749463701
60,2,3904,20.8,4.308131845707603
61,9,3968,36.0,6.48074069840786
62,7,4032,36.9,7.408778576796584
63,3,4096,46.7,12.02538980657176
64,1,4160,40.4,21.83666641225258
65,1,4224,41.3,17.44161689752415
66,9,4288,33.9,9.637945839233586
67,9,4352,41.1,12.652667702899652
68,4,4416,37.9,10.549407566304376
69,9,4480,49.6,25.207935258564913
70,2,4544,53.2,40.213927935480264
71,7,4608,63.5,35.123354053962444
72,7,4672,56.5,19.064364662899205
73,5,4736,49.8,17.27888885316414
74,1,4800,43.0,15.046594299043223
75,4,4864,46.7,13.594484175576504
76,7,4928,66.0,37.3255944359899
77,5,4992,45.7,8.485870609430714
78,1,5056,49.6,18.183509012289132
79,7,5120,44.7,6.768308503607087
80,9,5184,44.5,7.671375365604267
81,8,5248,64.0,30.371038836365145
82,8,5312,48.0,11.610340218959994
83,1,5376,54.9,14.57017501610739
84,1,5440,55.7,13.914381049834736
85,6,5504,55.6,9.76933979345585
86,4,5568,50.9,13.648809471891678
87,3,5632,87.1,41.85797415069201
88,6,5696,76.8,52.905198232309836
89,4,5760,79.2,32.79878046513315
90,1,5824,69.5,43.4263744745057
91,1,5888,82.5,52.161767608086286
92,9,5952,65.3,9.4451045520947
93,0,6016,61.2,17.76400855662933
94,0,6080,51.6,10.753604047016053
95,3,6144,48.2,8.997777503361595
96,8,6208,52.3,24.095850265139017
97,9,6272,47.1,15.430165261590687
98,3,6336,52.3,7.798076685952761
99,0,6400,38.7,6.116371473349211
100,7,6464,53.4,13.785499628232559
101,1,6528,60.1,17.397988389466178
102,4,6592,78.2,39.43551698659471
