Episode Number,Ideal Algorithm ID,Ideal Reward
0,0,75.6
1,0,68.5
2,0,64.8
3,8,60.4
4,8,63.8
5,6,60.5
6,5,67.4
7,8,65.6
8,3,67.6
9,6,66.0
10,9,62.6
11,8,62.6
12,3,59.4
13,6,56.9
14,5,52.3
15,4,52.6
16,3,46.5
17,2,46.5
18,1,44.4
19,0,44.6
20,5,42.3
21,4,42.1
22,8,42.5
23,7,42.5
24,6,41.7
25,0,41.5
26,4,42.6
27,3,44.6
28,8,43.4
29,7,41.2
30,6,41.2
31,9,43.1
32,8,42.1
33,2,39.0
34,6,38.0
35,0,36.6
36,0,34.2
37,3,28.3
38,9,28.1
39,2,27.1
40,0,27.4
41,6,27.0
42,2,24.8
43,6,24.0
44,6,22.9
45,0,18.7
46,0,17.0
47,0,16.9
48,2,15.7
49,0,14.7
50,0,13.9
51,0,13.5
52,0,12.9
53,8,12.3
54,0,12.3
55,6,12.0
56,0,11.1
57,9,10.0
58,8,9.8
59,7,9.8
60,6,9.8
61,5,9.8
62,4,9.8
63,3,9.8
64,2,9.8
65,1,10.0
66,9,10.4
67,5,12.2
68,1,13.3
69,7,13.3
70,1,13.5
71,1,13.4
72,8,15.7
73,7,16.8
74,1,17.3
75,7,20.4
76,7,21.9
77,1,22.0
78,9,23.4
79,1,25.1
80,1,26.5
81,1,28.1
82,7,34.9
83,8,38.9
84,8,47.2
85,7,48.6
86,6,51.3
87,5,53.6
88,8,52.8
89,7,58.1
90,6,58.6
91,5,68.1
92,8,79.0
93,7,97.8
94,6,116.4
95,8,152.5
96,8,173.6
97,8,169.5
98,6,174.4
99,0,145.8
100,9,116.4
101,8,107.2
102,7,105.8
103,6,103.9
104,5,95.5
105,4,94.7
106,3,84.7
107,2,76.2
108,1,69.0
109,0,67.2
110,7,55.6
111,2,54.1
112,5,50.6
113,4,51.1
114,3,49.7
115,2,49.6
116,1,49.8
117,0,49.9
118,9,49.3
119,8,48.3
120,7,48.4
121,6,48.4
122,5,48.1
123,4,48.2
124,3,48.1
125,9,52.3
126,8,52.2
127,7,54.2
128,6,54.4
129,5,57.4
130,4,59.0
131,3,58.3
132,2,58.5
133,1,59.3
134,0,58.5
135,9,63.3
136,5,64.4
137,7,67.0
138,6,67.8
139,5,72.1
140,8,91.8
141,7,75.3
142,5,76.3
143,7,98.3
144,4,117.2
145,3,117.4
146,2,119.9
147,1,118.7
148,0,118.9
149,9,115.3
150,0,112.9
151,6,109.4
152,4,105.8
153,6,68.7
154,4,58.0
155,3,58.1
156,2,58.7
157,9,58.4
158,8,59.8
159,3,59.7
160,1,60.9
161,1,66.3
162,7,108.7
163,1,101.9
164,2,115.8
165,1,120.3
166,9,120.3
167,9,120.1
168,8,122.1
169,7,128.9
170,6,128.6
171,5,129.3
172,8,129.8
173,7,132.9
174,2,135.5
175,5,140.1
176,4,142.6
177,7,145.2
178,1,151.9
179,1,187.7
180,1,197.3
181,1,200.0
182,1,200.0
183,1,200.0
184,0,200.0
185,0,200.0
186,0,200.0
187,0,200.0
188,0,200.0
189,0,200.0
190,0,200.0
191,0,200.0
192,0,200.0
193,0,200.0
194,0,200.0
195,0,200.0
196,0,200.0
197,0,200.0
198,0,200.0
199,0,200.0
200,0,200.0
201,0,191.6
202,0,180.6
203,0,143.7
204,9,134.7
205,8,136.1
206,7,133.5
207,6,134.5
208,5,135.6
209,4,135.6
210,3,136.5
211,2,141.9
212,1,148.0
213,0,145.6
214,1,144.2
215,8,142.0
216,7,147.5
217,1,153.6
218,7,197.6
219,1,200.0
220,0,200.0
221,0,200.0
222,2,200.0
223,1,200.0
224,0,200.0
225,6,197.5
226,1,200.0
227,1,200.0
228,2,200.0
229,1,200.0
230,1,200.0
231,1,200.0
232,0,200.0
233,0,200.0
234,0,200.0
235,0,200.0
236,0,200.0
237,0,200.0
238,0,200.0
239,0,200.0
240,0,200.0
241,0,200.0
242,0,200.0
243,0,200.0
244,0,200.0
245,0,200.0
246,0,200.0
247,0,200.0
248,0,200.0
249,0,200.0
250,0,200.0
251,0,200.0
252,0,200.0
253,0,200.0
254,0,200.0
255,0,200.0
256,0,200.0
257,2,178.2
258,0,163.6
259,8,167.7
260,6,166.2
261,0,146.0
262,9,143.7
263,8,143.3
264,7,143.2
265,6,144.0
266,5,143.0
