Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,1,1400,9.0,0.4472135954999579
1,3,2763,8.8,0.6
2,4,4162,9.4,0.8
3,4,5640,9.5,0.5
4,0,7071,8.9,0.5385164807134504
5,1,8483,9.1,0.5385164807134504
6,0,9781,9.1,0.5385164807134504
7,3,11201,9.1,0.5385164807134504
8,0,12547,9.3,0.6403124237432849
9,1,13944,9.1,0.8306623862918076
10,4,15280,20.2,3.0919249667480613
11,4,16728,21.4,4.6946778377222005
12,3,18109,9.4,0.4898979485566356
13,2,19641,9.3,0.45825756949558405
14,0,21091,9.4,0.4898979485566356
15,2,22495,9.3,0.6403124237432849
16,2,23854,9.3,0.7810249675906655
17,1,25163,9.0,0.7745966692414834
18,1,26473,9.3,0.7810249675906655
19,2,27822,9.0,0.4472135954999579
20,2,29266,9.1,0.5385164807134504
21,2,30582,9.3,0.6403124237432849
22,0,32044,8.7,0.7810249675906655
23,1,33408,9.3,0.7810249675906655
24,1,34640,9.3,0.7810249675906655
25,0,36010,9.1,0.7000000000000001
26,1,37416,9.4,1.0198039027185568
27,3,38815,9.1,0.7000000000000001
28,0,40111,8.9,0.7000000000000001
29,1,41581,9.6,0.6633249580710799
30,1,43020,9.3,0.6403124237432849
31,3,44329,9.7,0.6403124237432849
32,1,45733,9.0,0.7745966692414834
33,1,47156,9.7,0.45825756949558394
34,1,48420,9.2,0.7483314773547883
35,1,49992,9.8,0.7483314773547883
36,2,51303,10.4,0.9165151389911681
37,1,52769,14.2,2.7129319932501073
38,3,54095,9.5,0.5
39,1,55567,19.9,3.83275357934736
40,0,56907,9.1,0.8306623862918076
41,3,58280,9.5,0.6708203932499369
42,1,59632,23.4,4.24735211631906
43,1,61051,20.0,3.3763886032268267
44,1,62704,24.0,3.286335345030997
45,2,64348,29.7,4.627094120503711
46,0,65918,8.8,0.4
47,1,67539,23.3,3.163858403911275
48,4,69128,19.2,4.4
49,0,70751,9.0,0.7745966692414834
50,1,72390,22.3,3.874274125562103
51,1,74137,24.0,3.5777087639996634
52,1,75770,27.8,3.2802438933713454
53,0,77374,9.1,0.7000000000000001
54,1,79067,34.9,4.3
55,1,80837,36.6,6.2960304954788775
56,1,82730,42.6,3.9799497484264794
57,1,84628,42.5,10.220078277586722
58,2,86156,110.3,57.501391287515816
59,1,88065,43.7,6.8854919940408035
60,2,89941,75.8,13.310146505579871
61,1,91744,51.9,13.345036530485782
62,0,93922,9.1,0.5385164807134504
63,1,95950,48.5,14.108508071373103
64,1,97852,53.2,11.737120600896967
65,1,99587,39.1,5.262128846769147
66,1,101677,49.5,14.630447703334305
67,1,103528,50.5,11.200446419674531
68,1,105223,46.0,9.528903399657276
69,1,107182,50.4,12.09297316626478
70,2,109256,74.8,27.451047338853943
71,1,111236,61.2,14.44852933692561
72,1,113284,90.4,24.09232242852482
73,2,115340,75.0,30.315012782448235
74,1,117418,107.4,3.7469987990390385
75,1,119405,100.5,2.7658633371878665
76,1,121304,129.6,33.651745868528124
77,1,123523,170.0,41.248030256001314
78,1,125518,112.6,4.923413450036469
79,1,127419,105.0,6.54217089351845
80,2,129237,78.6,15.894653189044423
81,1,131588,75.7,13.446560898608983
82,1,133708,63.3,10.82635672791175
83,2,136045,90.0,39.701385366256424
84,2,138210,64.3,12.272326592785902
85,1,140346,62.7,9.849365461794989
86,2,142274,75.1,24.010206163213176
87,2,144298,79.4,25.954575704488022
88,1,146557,57.6,5.71314274283428
89,4,148871,58.7,18.926436537288257
90,2,151078,67.0,18.740330840195966
91,4,153551,49.7,24.5440420469001
92,2,155862,66.5,18.714967272212903
93,1,158297,69.8,15.892136420255145
94,1,160673,60.9,11.886547017532047
95,4,163214,51.5,18.006943105369107
96,1,165600,61.4,11.306635220082056
97,2,167863,70.8,19.31734971469948
98,1,170183,77.0,14.567086187704115
99,1,172997,70.9,12.405240827972667
100,3,175373,80.2,14.225329521666625
101,1,177971,85.0,17.74823934929885
102,1,180520,79.8,10.81480466767662
103,1,183107,65.2,6.779380502671317
104,1,185625,66.2,8.795453370918409
105,4,188194,47.4,11.438531374263045
106,1,190815,86.6,21.081745658270332
107,1,193476,65.8,10.814804667676619
108,1,196132,79.3,24.867850731416258
109,3,198575,64.6,18.693314312876673
110,2,201229,55.6,20.40196069009055
111,1,204231,78.1,21.607637538611204
112,3,207279,67.4,14.766177569025775
113,4,210121,59.3,11.243220179290272
114,4,213142,46.7,11.967038062946068
115,1,216350,75.4,13.32816566523691
116,4,219471,68.5,26.181100053282712
117,1,222300,63.9,7.16170370791755
118,1,225267,73.5,14.739402972983676
119,0,228480,60.8,32.11168011798822
120,4,231479,61.0,12.091319200153471
121,3,234166,76.4,20.621348161553357
122,1,236584,81.9,18.79068918374204
123,4,238910,70.7,20.65453945262397
124,1,241689,67.4,6.959885056522127
125,4,244439,56.9,10.444615837837215
126,1,247134,76.5,15.938946012832844
127,1,249805,89.0,23.77814122255985
128,4,252764,82.0,29.993332592427937
129,1,255431,85.0,26.084478143140988
130,1,258101,83.1,19.992248497855364
131,2,260921,46.8,10.524257693538296
132,1,263930,88.5,27.115493725912497
133,1,267070,84.2,22.7806935803105
134,1,269983,88.2,21.437350582569668
135,1,272828,94.5,29.970819141291418
136,1,276265,98.2,30.20198668962027
137,1,279399,90.4,22.645970944077447
138,1,282685,83.4,18.778711350888802
139,1,285894,91.7,30.033481316690544
140,1,289169,81.4,36.092104399716014
141,1,292452,82.3,16.649624620393098
142,3,295874,59.7,14.220056258679149
143,1,298689,83.2,22.688322987827902
144,2,301942,59.0,16.510602654052335
145,1,304991,95.9,43.8279591128768
146,1,308288,89.3,32.92430713014323
147,2,311943,55.1,16.914195221765652
148,1,315295,80.6,16.560193235587562
149,1,318610,69.3,7.642643521714199
150,1,321929,84.2,24.612192100664256
151,1,325170,92.6,37.874001637006884
152,1,328242,91.9,19.5420060382756
153,1,331380,94.7,28.34095975791928
154,1,334360,85.7,17.85525132839076
155,1,337561,98.4,22.24050359142077
156,1,340701,88.2,23.608473055240147
157,1,343760,84.1,25.181143738917022
158,1,346302,99.0,18.878559267062727
159,1,349129,117.6,32.26825064982606
160,1,352050,113.0,27.853186532244383
