Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,64,51.55,49.056360443881275
1,0,128,46.4,33.72927511821148
2,0,192,41.8,28.834701316295963
3,0,256,38.49,27.83650301313008
4,0,320,37.61,27.26061077819057
5,0,384,38.7,26.805372595806237
6,0,448,39.91,27.126571843858187
7,0,512,46.38,32.51795811547829
8,0,576,44.65,30.183314927290542
9,0,640,51.55000000000001,40.50943717209608
10,0,704,54.85,44.2755519446116
11,0,768,57.489999999999995,52.97945733961419
12,0,832,57.2,51.142800079776634
13,0,896,54.82000000000001,49.97098758279648
14,0,960,51.970000000000006,44.30853303823092
15,0,1024,45.95,33.75583653236874
16,0,1088,52.86,40.26751047680996
17,0,1152,52.85,40.49812958643893
18,0,1216,51.17999999999999,38.176663028609504
19,0,1280,53.23,41.66891047291733
20,0,1344,47.989999999999995,37.86891733334873
21,0,1408,50.31,38.914944430128635
22,0,1472,47.910000000000004,36.498204065405744
23,0,1536,54.29,45.008475868440605
24,0,1600,47.730000000000004,34.17595792366323
25,0,1664,52.94,41.613440136571256
26,0,1728,56.33,47.026993312352005
27,0,1792,58.35999999999999,44.815537484225274
28,0,1856,55.519999999999996,43.421349587501304
29,0,1920,48.2,33.10305121888313
30,0,1984,46.39999999999999,32.470663682776795
31,0,2048,47.489999999999995,32.10621279441099
32,0,2112,50.459999999999994,32.59838032786291
33,0,2176,42.75,26.72883274668013
34,0,2240,42.0,24.660656925556545
35,0,2304,42.89,23.051657207237835
36,0,2368,40.63,20.618537775506777
37,0,2432,40.46,20.78298342394566
38,0,2496,41.13000000000001,20.533438581981343
39,0,2560,41.13,20.08537029780631
40,0,2624,42.21999999999999,23.029798088563435
41,0,2688,43.010000000000005,24.384111630321907
42,0,2752,43.67,28.769568992252907
43,0,2816,41.64,24.00575764269897
44,0,2880,40.48,24.278006507948714
45,0,2944,35.120000000000005,17.803583908865093
46,0,3008,36.89,20.846604039986943
47,0,3072,33.01,18.55583196733577
48,0,3136,32.589999999999996,16.54517754513381
49,0,3200,31.689999999999998,15.843386632914063
50,0,3264,33.529999999999994,16.30650483702746
51,0,3328,38.66,22.848422265005517
52,0,3392,34.14,17.356105553954205
53,0,3456,34.769999999999996,17.621807512284317
54,0,3520,39.26,21.93390982018482
55,0,3584,37.01,17.73817634369441
56,0,3648,38.10000000000001,20.17637232011741
57,0,3712,38.56000000000001,19.333814936530246
58,0,3776,41.05,21.83599093240332
59,0,3840,38.33,18.261875588230254
60,0,3904,39.32000000000001,19.682723388799634
61,0,3968,36.91,17.116860109260696
62,0,4032,41.050000000000004,20.975807493395816
63,0,4096,38.63,17.0954409127112
64,0,4160,42.72,20.869729274717486
65,0,4224,46.07000000000001,25.963399238158317
66,0,4288,43.87,22.379725199385266
67,0,4352,44.82,24.76476529264915
68,0,4416,43.28,24.368660201168222
69,0,4480,42.63,22.204506299397877
70,0,4544,44.88,27.061884635036044
71,0,4608,44.69,25.732137493803346
72,0,4672,47.620000000000005,28.13527323485592
73,0,4736,43.26,25.437932305908824
74,0,4800,44.12,25.495521175296652
75,0,4864,47.11,30.147419458388143
76,0,4928,48.269999999999996,36.68656566101547
77,0,4992,50.370000000000005,36.38895574209295
78,0,5056,52.32000000000001,44.039296088834114
79,0,5120,52.23,38.86636206284298
80,0,5184,52.8,44.52397107177212
81,0,5248,56.23,48.86694281413561
82,0,5312,59.73,50.49257470163311
83,0,5376,57.45,49.73114215458961
84,0,5440,60.05,49.155147238107226
85,0,5504,59.010000000000005,49.88774298362274
86,0,5568,64.51,49.80275996368073
87,0,5632,66.33000000000001,50.807736615598216
88,0,5696,60.67999999999999,50.08406533020257
89,0,5760,66.08999999999999,50.35067924070142
90,0,5824,64.18,50.24561274380083
91,0,5888,66.75999999999999,50.8876841681757
92,0,5952,65.36999999999999,50.60754983201617
93,0,6016,63.07000000000001,49.38797525714129
94,0,6080,61.73,50.182268780915045
95,0,6144,61.03000000000001,49.74852862145774
96,0,6208,60.68000000000001,50.01301430627832
97,0,6272,61.580000000000005,50.20483642040874
98,0,6336,62.29,50.29410402820593
99,0,6400,63.760000000000005,48.80807720039789
100,0,6464,57.93000000000001,49.450016177954886
101,0,6528,60.35,48.03672032934805
102,0,6592,60.61999999999999,47.36369495721381
103,0,6656,57.260000000000005,46.03171080896299
104,0,6720,58.02,45.878988654938766
105,0,6784,59.24000000000001,44.56864817335163
106,0,6848,58.35,45.29163830112574
107,0,6912,58.87000000000002,47.32798432217455
108,0,6976,57.04,42.375304128702126
109,0,7040,57.17999999999999,43.37217541235395
110,0,7104,58.720000000000006,44.68455661635237
111,0,7168,56.45,45.19962942325965
112,0,7232,55.980000000000004,42.262768484802315
113,0,7296,59.329999999999984,47.056605274923946
114,0,7360,55.370000000000005,46.10299447975152
115,0,7424,54.04,46.284883061319285
116,0,7488,56.919999999999995,44.85027982075474
117,0,7552,57.65,46.29285582030989
118,0,7616,59.44000000000001,48.22516355596941
119,0,7680,58.11,46.402617383074414
120,0,7744,55.410000000000004,45.78225529612975
121,0,7808,57.209999999999994,45.96421325335614
122,0,7872,58.53000000000001,47.5691927617024
123,0,7936,56.7,47.03607126450933
124,0,8000,58.71999999999999,47.3141162867912
125,0,8064,61.11,47.77129786807136
126,0,8128,64.58000000000001,46.50479115102012
127,0,8192,62.529999999999994,46.303802219688166
128,0,8256,62.25,47.1979289799881
129,0,8320,63.44,47.682789347939774
130,0,8384,62.290000000000006,46.67683472558952
131,0,8448,59.8,42.045594299522044
132,0,8512,58.46,43.87509999988604
133,0,8576,59.83,37.10738605722586
134,0,8640,58.75,34.63325713819017
135,0,8704,63.760000000000005,39.444599123327386
136,0,8768,59.489999999999995,35.028030204394874
137,0,8832,56.839999999999996,32.863298678008576
138,0,8896,63.98,37.1654624618072
139,0,8960,63.08999999999999,36.53147820715718
140,0,9024,57.44,35.40836624302228
141,0,9088,65.09,36.111949545822085
142,0,9152,63.779999999999994,34.173756012472495
143,0,9216,62.31999999999999,35.47818484646586
144,0,9280,66.85999999999999,34.63455499930669
145,0,9344,62.67,32.30551191360385
146,0,9408,62.95,33.11604595962507
147,0,9472,64.75999999999999,29.26442208552904
148,0,9536,63.489999999999995,28.80466802447131
149,0,9600,70.75999999999999,37.10606958436854
150,0,9664,68.34,38.25546235506768
151,0,9728,64.49000000000001,37.33945500405704
152,0,9792,67.42,38.779164508792604
153,0,9856,74.05,39.07508797174999
154,0,9920,65.97,37.65660765390319
155,0,9984,70.45000000000002,40.76194916831137
156,0,10048,69.13000000000001,43.37017523598446
157,0,10112,76.71000000000001,45.29418174556198
158,0,10176,69.39000000000001,43.594780650899025
159,0,10240,71.95,48.62761046977323
160,0,10304,74.94000000000001,49.03827484730677
161,0,10368,73.55,49.37676072809961
162,0,10432,71.36,46.2811235818665
163,0,10496,72.42,43.06580546094546
164,0,10560,71.82000000000001,44.7280404220887
165,0,10624,69.28,42.163178248324684
166,0,10688,68.16,38.07535160704363
167,0,10752,68.71000000000001,37.558020448367614
168,0,10816,73.1,34.83851317148882
