Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9
0,9.3,9.0,9.4,9.3,9.2,53.1,9.4,9.9,60.7,9.6
1,9.1,8.7,9.4,9.2,9.4,90.2,9.3,9.0,63.0,9.5
2,9.7,9.1,8.6,9.6,9.4,107.2,9.2,9.1,70.5,9.6
3,9.3,9.3,8.9,14.8,9.2,98.2,8.9,10.5,52.5,9.4
4,9.6,9.3,9.0,25.9,9.7,117.6,9.3,54.0,68.1,9.3
5,9.5,9.0,8.9,19.5,9.6,119.5,9.0,80.6,45.0,9.6
6,9.2,9.0,9.2,17.3,9.5,134.5,9.7,71.4,46.5,9.2
7,9.4,8.9,9.3,14.7,9.5,142.4,8.8,76.2,48.3,9.4
8,9.0,9.3,9.8,21.4,9.3,107.8,9.2,71.2,42.0,9.6
9,9.5,9.4,9.2,21.2,9.3,84.7,9.8,57.6,51.7,9.3
10,9.2,9.1,11.0,18.6,9.2,110.1,8.7,44.1,48.9,9.6
11,9.2,9.3,20.2,22.4,16.3,87.2,9.0,39.7,43.9,9.3
12,9.8,9.2,19.5,23.1,23.4,84.3,9.3,55.3,46.3,9.4
13,9.4,9.0,21.9,23.3,45.5,73.7,15.0,43.3,42.4,9.7
14,8.9,9.3,20.7,26.2,45.2,64.4,36.2,37.8,38.8,8.8
15,9.1,9.3,15.1,32.2,46.9,53.4,34.5,31.0,44.8,9.4
16,9.4,9.1,12.7,36.5,42.2,62.2,40.7,33.8,48.5,9.3
17,9.4,9.3,9.2,33.7,53.2,59.5,40.0,34.8,44.3,9.1
18,9.8,9.4,9.1,25.1,34.0,61.5,45.9,33.3,41.6,9.5
19,9.5,9.1,9.4,28.8,28.8,76.3,50.7,35.9,50.3,9.3
20,9.5,9.6,9.5,31.7,27.6,54.8,39.3,35.5,47.5,9.3
21,9.3,9.2,9.6,39.0,22.3,58.4,50.6,38.4,41.4,9.1
22,9.7,9.1,9.3,32.8,23.1,62.4,50.3,37.8,37.0,9.4
23,9.5,9.2,9.5,35.3,22.5,56.9,62.8,38.7,62.3,9.5
24,25.8,9.2,9.4,36.3,22.9,60.2,38.0,33.4,54.3,9.4
25,67.6,9.6,9.5,28.8,23.5,46.1,71.5,37.7,56.1,9.2
26,90.6,9.1,9.5,43.5,24.3,48.5,62.9,42.9,46.7,9.0
27,98.8,8.9,9.8,36.9,21.4,57.8,71.0,36.8,59.2,9.2
28,111.9,9.2,9.3,35.0,28.5,53.7,42.2,35.3,57.3,9.6
29,115.7,9.8,9.3,30.1,30.0,42.8,47.6,32.3,48.7,9.3
30,114.0,9.5,9.4,27.8,28.2,50.7,35.8,33.9,45.9,9.7
31,113.2,9.0,9.1,29.8,36.4,46.4,41.1,30.5,54.9,9.5
32,113.7,8.8,9.1,35.5,34.6,52.2,35.0,28.6,62.0,9.8
33,108.0,8.9,14.8,32.3,33.6,49.6,34.0,26.6,58.7,9.3
34,108.3,9.1,37.7,34.0,41.0,54.6,29.3,25.2,49.2,9.3
35,99.3,9.4,97.4,35.7,44.0,52.7,35.2,24.0,62.0,9.4
36,121.1,8.7,169.3,26.3,49.4,41.0,30.5,23.3,43.1,9.4
37,135.0,9.6,200.0,28.0,45.1,55.3,45.4,21.7,49.4,9.2
38,149.0,9.7,200.0,29.4,61.8,52.2,36.3,19.6,49.7,9.6
39,183.9,9.5,200.0,36.5,51.3,52.7,43.8,16.3,51.3,9.3
40,178.1,9.5,138.2,33.1,38.1,60.2,57.9,16.8,51.0,9.5
41,178.8,9.2,84.9,38.0,45.3,57.8,58.7,16.4,49.9,9.1
42,158.5,9.4,67.4,33.8,52.7,81.8,70.4,15.0,40.4,9.3
43,144.8,9.5,75.3,39.4,35.7,57.2,44.9,13.7,51.9,9.6
44,128.3,9.3,98.0,37.1,47.3,54.0,58.6,12.9,45.6,9.5
45,137.3,9.8,103.7,35.1,56.3,68.3,46.2,12.5,43.4,9.3
46,94.4,9.3,104.1,36.3,66.5,71.8,52.1,12.2,38.8,9.7
47,86.5,9.3,103.8,33.4,61.2,59.5,54.5,11.2,46.0,9.5
48,78.9,9.0,132.4,44.3,48.8,56.6,46.8,10.5,54.6,9.4
49,72.4,9.2,131.1,37.4,47.2,42.2,71.5,10.9,48.3,9.3
50,63.4,10.1,144.3,33.7,43.7,48.5,47.8,10.8,51.0,8.9
51,63.3,9.3,131.5,26.1,52.1,40.8,61.0,9.7,53.7,9.3
52,62.3,8.9,112.1,27.2,49.7,44.7,50.5,10.2,50.9,9.4
53,67.3,9.2,114.3,30.1,59.4,47.5,78.7,10.0,47.9,9.5
54,66.5,9.6,83.1,32.8,55.3,43.2,45.4,10.2,49.8,9.0
55,69.6,9.4,97.2,39.1,55.0,42.2,66.0,10.6,53.5,9.1
56,70.9,9.2,79.8,40.9,52.9,58.7,74.3,11.4,50.1,9.2
57,67.9,9.3,76.9,36.4,43.2,52.0,63.2,11.2,52.9,9.4
58,78.1,9.4,72.7,44.8,70.4,63.3,53.2,13.8,50.1,9.6
59,64.3,9.5,68.2,46.3,53.1,67.2,42.7,15.5,51.6,9.2
60,61.2,9.1,64.5,40.2,63.0,62.5,49.1,15.3,49.3,9.5
61,61.9,9.5,66.7,41.8,67.1,60.9,37.6,17.8,54.5,9.5
62,58.6,9.3,54.5,50.2,61.3,55.9,58.6,20.3,49.8,9.6
63,75.7,9.4,66.0,48.8,67.0,56.4,58.3,20.9,50.7,9.6
64,56.6,9.3,53.6,47.4,55.9,54.7,68.0,20.4,51.3,9.4
65,74.1,9.5,56.4,53.5,57.2,59.4,56.8,25.6,46.6,9.4
66,54.2,9.0,70.1,42.7,55.8,69.6,67.3,27.8,49.4,9.2
67,62.3,9.2,69.8,37.1,57.3,67.3,70.1,32.3,48.7,9.5
68,65.3,9.6,60.2,35.4,62.1,78.1,74.0,35.3,51.4,9.6
69,60.5,9.7,48.2,38.5,64.3,97.3,73.2,39.6,53.3,9.6
70,60.0,9.4,58.3,41.3,68.8,99.0,74.9,39.9,57.0,9.4
71,55.4,9.2,52.7,39.3,56.6,73.5,84.4,47.0,60.2,9.3
72,47.0,9.5,56.9,39.2,58.3,80.4,78.5,44.3,63.4,9.1
73,63.7,9.6,49.3,42.0,65.0,79.1,100.4,44.9,59.9,9.4
74,57.8,9.2,42.8,42.5,56.8,125.8,103.5,52.8,60.4,9.5
75,52.1,9.6,41.8,44.5,65.2,78.7,103.9,58.8,87.4,9.2
76,46.6,9.3,39.8,42.6,54.0,83.7,141.2,53.0,84.2,9.0
77,61.9,9.5,43.3,49.6,39.0,77.4,148.5,72.6,75.5,9.7
78,48.1,9.5,46.0,45.1,46.7,58.3,132.5,65.0,72.9,9.2
79,48.0,9.4,42.8,44.4,47.0,68.2,124.7,62.1,103.6,9.4
80,52.8,9.3,46.8,38.1,52.1,73.3,127.1,60.5,107.5,9.2
81,64.9,9.3,41.8,43.2,67.2,64.0,109.6,62.8,124.7,9.4
82,58.5,9.5,45.3,46.7,50.5,57.9,135.9,57.0,180.5,8.9
83,60.4,9.1,41.9,51.2,56.1,63.7,96.1,76.7,138.6,9.7
84,47.5,9.0,38.1,49.7,42.4,62.7,106.7,100.3,154.4,8.8
85,76.2,9.4,42.6,54.7,47.3,54.2,102.3,92.3,132.9,9.1
86,55.3,9.5,48.6,49.0,55.7,80.1,75.7,80.0,122.1,9.4
87,47.3,9.4,50.8,61.4,59.9,65.9,79.5,86.9,105.9,9.7
88,69.3,9.5,46.3,43.6,51.0,59.3,61.5,85.1,117.6,9.7
89,46.1,9.2,50.6,36.0,65.5,55.5,66.3,68.3,110.5,9.3
90,52.4,9.4,44.4,40.7,56.4,60.6,85.2,74.3,81.0,9.1
91,48.6,8.7,50.1,45.6,61.7,83.2,79.2,113.3,93.2,9.5
92,41.8,9.4,44.3,47.3,54.7,88.2,56.3,96.0,76.4,9.3
93,38.2,9.1,43.0,62.0,55.9,71.6,60.8,118.3,84.4,9.1
94,56.3,9.3,47.9,42.5,61.0,77.7,67.6,105.7,88.0,9.6
95,42.5,9.5,51.7,44.3,52.4,65.8,67.0,145.8,83.7,9.2
96,49.5,9.0,60.2,44.6,62.0,101.1,85.2,141.9,85.8,9.3
97,38.7,9.5,51.3,36.9,57.9,92.4,88.1,83.4,93.9,9.8
98,47.6,8.9,59.1,33.7,68.8,116.6,96.3,94.8,81.6,9.7
99,50.6,9.3,71.7,34.8,58.2,106.1,66.9,67.6,80.6,9.5
100,40.1,9.3,51.9,32.8,59.9,103.0,65.6,78.7,79.6,9.2
101,57.6,9.4,57.8,31.8,76.0,127.9,88.6,77.8,80.5,9.5
102,46.6,9.2,47.8,35.2,70.9,74.4,77.0,68.1,74.5,9.2
103,50.5,9.7,48.6,34.3,62.1,123.7,84.1,66.4,67.7,9.3
104,46.4,9.7,54.7,30.6,65.3,133.4,98.4,66.1,68.0,9.5
105,50.9,9.0,60.9,34.3,58.8,160.2,69.3,67.5,61.3,9.3
106,53.8,9.5,62.1,35.9,59.3,107.0,105.4,67.0,63.0,9.5
107,52.3,9.2,55.1,35.0,56.2,148.4,102.5,80.9,52.0,9.4
108,50.7,10.4,54.5,39.0,67.8,112.7,102.6,82.3,46.8,9.1
109,47.9,12.3,63.6,34.8,64.2,81.3,90.3,85.4,48.3,9.0
110,65.0,14.1,58.5,33.2,68.7,82.3,83.1,69.4,42.4,9.4
111,50.2,15.9,78.3,32.7,64.5,85.1,69.1,111.3,38.4,9.0
112,55.1,18.1,62.6,34.0,76.7,71.1,60.5,79.0,38.2,9.4
113,58.5,18.9,65.7,37.1,77.3,72.2,70.6,85.8,38.1,9.4
114,83.5,21.5,60.4,35.2,64.7,71.5,61.5,86.1,39.6,9.2
115,64.4,25.8,56.8,35.9,75.2,68.4,86.3,111.8,36.8,9.3
116,69.5,26.0,60.8,34.2,74.6,59.6,63.6,106.0,39.3,9.2
117,78.1,31.9,66.4,35.1,83.4,63.6,60.0,69.6,38.4,9.1
118,70.4,34.3,65.3,30.3,82.1,93.3,60.3,77.1,43.1,9.4
119,77.7,37.5,57.7,29.9,84.6,59.1,63.9,72.0,40.9,9.0
120,69.1,37.6,64.3,32.3,72.3,57.6,53.7,69.0,45.1,9.4
121,91.4,32.7,60.4,33.5,100.0,54.9,65.5,69.2,46.2,9.2
122,63.5,39.5,62.0,33.5,76.3,66.4,71.4,60.8,44.8,9.2
123,57.8,43.5,54.3,31.9,92.2,56.7,64.7,63.1,46.1,9.4
124,73.5,53.4,65.3,31.1,78.7,57.0,76.5,72.0,48.0,9.1
125,65.4,38.8,54.8,30.3,97.7,71.6,64.8,70.9,56.4,9.2
126,65.2,38.3,62.6,29.2,75.9,62.5,74.3,65.4,52.8,9.3
127,68.6,58.0,58.2,29.7,92.8,55.1,73.4,51.3,65.2,9.4
128,56.9,44.4,52.2,24.6,83.8,65.5,68.6,58.2,78.8,9.6
129,60.3,47.0,61.0,26.3,94.0,61.7,71.3,50.5,108.3,9.6
130,62.6,40.2,69.7,25.0,97.4,77.9,74.9,44.4,107.8,9.1
131,70.7,35.6,64.7,25.4,86.1,79.7,76.9,39.1,109.9,8.8
132,68.2,50.7,47.2,22.8,103.0,71.7,77.5,74.4,117.0,9.3
133,67.8,53.0,55.6,23.8,71.2,78.8,67.9,56.5,113.1,9.8
134,63.2,46.3,58.1,24.1,90.5,53.4,68.0,56.7,113.7,8.9
135,74.4,54.6,60.7,24.3,92.1,56.6,71.1,63.7,117.7,9.4
136,85.7,45.1,63.9,23.3,80.4,60.3,78.5,46.2,113.7,9.8
137,76.0,44.4,71.8,22.9,80.1,80.4,75.0,67.1,122.1,9.4
138,64.9,43.7,64.9,22.5,102.4,64.8,71.6,79.0,126.5,9.1
139,61.5,42.6,57.4,21.5,101.0,62.1,66.2,57.6,126.4,9.3
140,68.7,42.7,69.3,19.7,105.8,63.5,89.8,56.3,132.0,9.4
141,71.1,39.1,59.9,23.4,93.2,63.1,65.5,59.8,140.4,9.2
142,69.0,35.9,65.1,21.0,117.1,62.0,82.0,85.9,170.4,9.2
143,58.4,45.3,55.2,22.0,102.5,58.2,87.4,61.8,195.1,9.2
144,73.2,47.4,61.0,22.6,89.3,61.9,81.4,69.2,200.0,9.3
145,73.2,42.6,66.5,21.1,69.2,50.5,105.1,71.2,200.0,9.5
146,72.1,39.8,92.5,22.2,110.8,66.0,76.5,67.9,200.0,9.4
147,63.3,50.5,72.2,22.3,92.5,93.5,92.3,63.8,200.0,9.4
148,59.8,39.6,73.7,21.9,92.2,62.9,86.1,75.4,200.0,9.3
149,74.7,39.9,69.0,21.2,126.1,73.4,108.5,67.3,200.0,9.1
150,80.6,49.3,76.6,23.0,97.2,62.6,160.4,122.6,200.0,9.4
151,85.1,53.6,76.9,21.2,121.0,75.1,124.2,86.8,200.0,9.5
152,65.8,47.6,62.9,22.6,163.7,65.5,138.4,106.7,200.0,9.0
153,72.4,37.9,68.0,21.2,113.4,63.2,173.7,139.6,200.0,9.3
154,79.3,44.4,101.2,23.7,115.3,67.8,133.5,105.5,200.0,9.2
155,77.2,45.8,65.2,21.4,98.0,62.9,157.8,120.1,200.0,9.5
156,79.4,54.8,68.3,22.2,93.1,79.7,154.2,116.3,200.0,9.3
157,80.6,35.9,66.3,22.2,96.6,79.9,109.5,141.3,200.0,9.3
158,55.7,39.4,56.9,24.3,65.4,88.2,123.8,140.8,200.0,9.5
159,71.9,33.7,56.3,23.0,88.9,87.1,104.7,148.2,200.0,9.2
160,63.7,45.0,64.5,24.3,80.4,79.9,121.0,111.3,200.0,9.4
161,64.2,41.9,70.6,23.8,114.8,110.2,134.8,118.3,200.0,9.2
162,76.1,55.0,99.1,22.0,77.3,119.2,112.5,93.6,200.0,9.1
163,58.5,43.5,72.8,22.2,79.8,119.0,141.4,100.7,200.0,9.4
164,72.2,42.4,60.9,21.4,79.6,137.6,151.0,95.1,200.0,9.3
165,100.9,38.5,65.5,20.2,72.4,135.9,180.5,83.7,200.0,9.2
166,78.6,44.0,56.5,20.5,77.4,139.1,170.4,101.3,200.0,9.4
167,70.6,43.9,52.2,23.7,62.0,99.9,174.1,75.5,200.0,9.2
168,86.2,38.0,62.0,20.5,71.1,99.1,177.5,92.9,200.0,9.7
169,84.3,41.1,67.2,21.4,94.4,115.2,182.2,115.4,200.0,9.2
170,90.2,43.8,81.7,22.4,79.9,150.0,192.2,83.0,200.0,9.3
171,80.6,43.5,63.4,22.4,99.1,129.2,197.7,81.2,200.0,8.9
172,82.1,48.5,76.8,22.5,72.9,127.7,200.0,97.3,200.0,9.3
173,67.3,42.2,91.4,22.4,92.8,109.3,189.7,81.0,200.0,9.2
174,71.4,41.4,75.5,20.2,80.8,114.9,195.2,84.8,200.0,8.9
175,73.1,40.8,60.8,18.7,69.4,125.3,198.0,72.1,200.0,9.3
