Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,3,64,9.2,0.6
1,6,128,8.7,0.45825756949558394
2,6,192,8.5,0.5
3,0,256,9.0,0.4472135954999579
4,9,320,8.9,0.5385164807134504
5,8,384,8.9,0.3
6,4,448,9.1,0.5385164807134504
7,7,512,9.1,0.5385164807134504
8,0,576,8.8,0.39999999999999997
9,0,640,8.7,0.45825756949558394
10,7,704,8.8,0.4
11,1,768,8.4,0.4898979485566356
12,5,832,9.1,0.3
13,7,896,8.9,0.5385164807134504
14,0,960,9.0,0.0
15,1,1024,9.0,0.6324555320336759
16,4,1088,8.6,0.4898979485566356
17,6,1152,8.8,0.6
18,2,1216,8.9,0.5385164807134504
19,9,1280,8.9,0.5385164807134504
20,9,1344,8.8,0.39999999999999997
21,9,1408,8.9,0.3
22,9,1472,8.5,0.5
23,1,1536,8.9,0.7000000000000001
24,2,1600,8.7,0.45825756949558394
25,7,1664,8.9,0.5385164807134504
26,0,1728,8.7,0.6403124237432849
27,5,1792,8.8,0.6
28,0,1856,8.7,0.45825756949558394
29,0,1920,9.0,0.7745966692414834
30,4,1984,8.8,0.39999999999999997
31,4,2048,8.8,0.4
32,9,2112,8.8,0.6
33,3,2176,9.0,0.6324555320336759
34,2,2240,8.6,0.4898979485566356
35,4,2304,8.4,0.4898979485566356
36,6,2368,8.8,0.6
37,9,2432,8.6,0.4898979485566356
38,3,2496,8.9,0.3
39,3,2560,8.8,0.4
40,2,2624,8.7,0.45825756949558394
41,1,2688,8.7,0.45825756949558394
42,5,2752,8.9,0.5385164807134504
43,7,2816,9.0,0.6324555320336759
44,4,2880,8.9,0.5385164807134504
45,3,2944,8.9,0.5385164807134504
46,1,3008,8.8,0.4
47,7,3072,8.9,0.5385164807134504
48,3,3136,8.3,0.45825756949558394
49,1,3200,8.8,0.6
50,9,3264,8.8,0.4
51,5,3328,8.9,0.5385164807134504
52,7,3392,8.6,0.4898979485566356
53,0,3456,8.8,0.6
54,9,3520,9.1,0.5385164807134504
55,6,3584,8.7,0.45825756949558405
56,0,3648,8.9,0.5385164807134504
57,5,3712,8.6,0.4898979485566356
58,2,3776,8.8,0.6
59,8,3840,8.8,0.4
60,6,3904,8.5,0.5
61,8,3968,8.8,0.39999999999999997
62,0,4032,8.9,0.3
63,5,4096,8.6,0.4898979485566356
64,2,4160,8.9,0.5385164807134504
65,0,4224,8.8,0.6
66,7,4288,8.8,0.4
67,7,4352,8.8,0.4
68,6,4416,8.7,0.7810249675906655
69,0,4480,8.4,0.4898979485566356
70,0,4544,9.0,0.4472135954999579
71,8,4608,8.9,0.5385164807134504
72,5,4672,8.8,0.39999999999999997
73,5,4736,9.1,0.3
74,9,4800,8.7,0.45825756949558394
75,6,4864,9.0,0.4472135954999579
