Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,64,50.7,15.563097378092834
1,4,167,69.6,21.703455946000858
2,1,284,47.5,6.917369442208505
3,7,377,46.9,18.7
4,3,478,42.4,14.00142849854971
5,5,616,47.3,20.513653989477348
6,8,720,49.7,33.4665504646057
7,2,811,54.7,34.891402952589914
8,6,909,59.1,41.088806261559846
9,9,999,41.2,15.619218930535547
10,1,1093,35.5,7.269800547470337
11,3,1195,38.2,12.163880959627974
12,7,1293,43.7,11.764777940955792
13,0,1407,37.5,6.87386354243376
14,5,1510,37.2,9.463614531456782
15,0,1624,37.2,11.408768557561329
16,3,1735,32.7,4.69148164229596
17,3,1834,35.9,5.7
18,0,1925,33.4,4.586937976471886
19,3,2020,30.0,3.3763886032268267
20,8,2113,24.3,3.976179070414209
21,0,2202,27.3,5.177837386399847
22,4,2293,21.5,4.272001872658765
23,2,2378,32.5,5.903388857258177
24,9,2472,15.4,2.615339366124404
25,6,2549,20.9,4.060788100849391
26,5,2637,27.7,3.5227829907617076
27,3,2724,21.3,2.6095976701399777
28,8,2811,22.2,3.4871191548325386
29,2,2897,32.1,8.178630692236936
30,3,2987,14.9,1.5132745950421556
31,8,3064,35.1,5.3376024580330075
32,8,3154,38.0,7.280109889280518
33,3,3247,10.7,1.268857754044952
34,8,3322,33.1,4.504442251822083
35,3,3424,9.2,0.7483314773547883
36,4,3496,22.4,4.498888751680797
37,8,3589,28.4,3.7202150475476548
38,0,3676,11.7,0.9000000000000001
39,6,3751,23.8,2.993325909419153
40,9,3841,21.1,3.753664875824692
41,1,3930,9.5,0.9219544457292888
42,3,4004,9.3,0.6403124237432849
43,7,4076,10.0,0.6324555320336759
44,0,4149,9.5,1.02469507659596
45,9,4223,9.8,0.9797958971132712
46,6,4295,9.4,0.8
47,9,4369,9.7,1.004987562112089
48,3,4442,10.4,1.1135528725660042
49,6,4515,9.2,0.8717797887081347
50,3,4589,9.5,0.9219544457292888
51,0,4663,9.0,0.6324555320336759
52,0,4737,9.4,0.7999999999999999
53,3,4810,9.4,0.8
54,2,4884,15.6,2.2
55,9,4961,10.0,0.8944271909999159
56,6,5036,9.2,0.7483314773547883
57,5,5110,11.5,1.5652475842498528
58,3,5183,9.6,0.66332495807108
59,8,5257,9.3,0.45825756949558405
60,1,5330,9.5,0.6708203932499369
61,2,5404,9.4,0.66332495807108
62,1,5476,9.7,0.45825756949558394
63,8,5549,9.3,0.7810249675906655
64,3,5623,9.2,0.9797958971132711
65,8,5697,8.7,0.7810249675906655
66,3,5771,9.4,0.8
67,4,5844,10.2,0.9797958971132712
68,8,5917,9.4,0.4898979485566356
69,2,5989,9.4,0.66332495807108
70,6,6062,9.0,0.6324555320336759
71,9,6136,9.4,0.8
72,0,6209,9.2,0.7483314773547883
73,3,6283,9.7,0.7810249675906655
74,1,6356,9.3,0.7810249675906655
75,2,6429,9.5,0.5
76,6,6502,9.6,0.7999999999999999
77,6,6577,9.0,0.4472135954999579
78,9,6650,9.4,0.9165151389911679
79,3,6724,9.5,0.806225774829855
80,6,6798,8.9,0.5385164807134505
81,3,6871,9.6,0.4898979485566356
82,0,6943,8.9,0.7000000000000001
83,0,7017,9.3,0.6403124237432849
84,3,7091,9.0,0.4472135954999579
85,2,7164,9.6,0.4898979485566356
86,9,7237,9.2,0.6
87,6,7311,9.1,0.7000000000000001
88,7,7385,9.3,0.7810249675906655
89,3,7459,9.1,0.7000000000000001
90,8,7533,9.4,0.8
91,3,7606,9.6,0.8
92,2,7679,9.2,0.8717797887081348
93,1,7753,9.5,0.6708203932499369
94,8,7826,9.5,0.6708203932499369
95,2,7900,9.2,0.7483314773547883
96,8,7973,9.5,0.5
97,3,8045,9.5,0.806225774829855
98,1,8119,9.5,0.6708203932499369
99,8,8193,9.3,0.6403124237432849
100,6,8267,9.3,0.7810249675906655
101,6,8341,9.0,0.7745966692414834
102,9,8415,9.2,0.8717797887081348
103,0,8488,9.4,0.8
104,3,8561,9.8,0.39999999999999997
105,3,8635,9.1,0.7000000000000001
106,2,8708,9.3,0.9
107,1,8780,9.3,0.9
108,6,8855,8.8,0.7483314773547883
109,9,8928,9.4,0.9165151389911681
110,8,9001,9.1,0.8306623862918076
111,6,9073,9.3,0.7810249675906655
112,3,9146,9.1,0.7000000000000001
113,0,9219,9.4,0.8
114,0,9293,9.4,0.8
115,3,9367,9.3,0.9
116,2,9440,9.4,0.4898979485566356
117,9,9512,9.4,0.66332495807108
118,6,9586,9.2,0.6
119,6,9660,9.4,0.66332495807108
120,8,9733,9.3,0.7810249675906655
121,3,9806,9.0,0.7745966692414834
122,3,9879,9.3,0.6403124237432849
123,2,9953,8.9,0.7
124,1,10027,9.6,0.7999999999999999
125,8,10100,9.4,0.4898979485566356
126,2,10173,9.1,0.7
127,8,10247,9.0,0.6324555320336759
128,3,10321,9.4,0.66332495807108
129,1,10395,9.6,0.9165151389911681
130,8,10470,9.0,0.7745966692414834
131,1,10543,10.5,0.5
132,6,10618,9.2,0.7483314773547883
133,9,10692,9.2,0.6
134,0,10765,9.5,0.806225774829855
135,3,10839,9.2,0.39999999999999997
136,3,10912,9.5,0.6708203932499369
137,2,10986,9.2,0.7483314773547883
138,1,11059,9.5,0.9219544457292888
139,6,11133,9.3,0.9
140,9,11205,9.7,0.7810249675906655
141,8,11277,9.3,1.004987562112089
142,6,11350,9.1,0.8306623862918076
143,3,11423,9.7,0.6403124237432849
144,0,11496,9.3,1.004987562112089
145,0,11569,9.4,0.4898979485566356
146,3,11643,9.1,0.7000000000000001
147,2,11717,9.2,0.4
148,9,11789,9.4,0.8
149,6,11863,9.2,0.7483314773547883
150,6,11936,9.5,0.5
151,8,12009,9.3,0.6403124237432849
152,3,12081,9.0,0.7745966692414834
153,3,12154,9.4,0.66332495807108
154,2,12228,9.1,0.5385164807134504
155,5,12302,9.2,0.9797958971132711
156,8,12375,9.5,0.6708203932499369
157,2,12449,9.7,0.6403124237432849
158,8,12522,9.5,0.5
159,3,12595,9.0,0.6324555320336759
160,1,12669,9.1,0.8306623862918076
161,8,12742,9.4,0.8
162,1,12815,9.3,0.9
163,6,12888,9.3,0.6403124237432849
164,9,12962,9.1,0.8306623862918076
165,0,13036,9.4,1.0198039027185568
166,3,13109,9.2,0.9797958971132711
167,3,13183,9.9,0.8306623862918076
168,2,13256,9.9,0.7000000000000001
169,1,13328,11.1,0.9433981132056604
170,6,13403,9.9,0.8306623862918076
171,9,13478,9.4,0.66332495807108
172,8,13551,11.3,1.3453624047073711
173,6,13626,10.6,0.9165151389911681
174,3,13700,10.2,0.9797958971132713
175,0,13775,9.9,0.5385164807134504
176,0,13851,10.4,0.9165151389911681
177,3,13925,10.1,1.1357816691600546
178,2,14001,10.1,1.0440306508910548
179,9,14077,9.0,0.8944271909999159
180,6,14151,11.3,0.9
181,6,14227,11.4,0.9165151389911681
182,8,14302,10.5,0.806225774829855
183,3,14379,10.9,0.8306623862918076
184,3,14453,10.6,1.2806248474865698
185,2,14527,11.8,0.8717797887081347
186,5,14602,12.8,1.661324772583615
187,8,14682,11.1,0.9433981132056604
188,2,14757,13.3,1.1874342087037917
189,8,14835,12.1,0.8306623862918076
