Episode Number,Ideal Algorithm ID,Ideal Reward
0,1,70.8
1,0,71.4
2,6,63.9
3,5,61.2
4,4,61.0
5,3,67.2
6,2,62.4
7,5,60.4
8,4,56.2
9,6,53.0
10,9,67.8
11,6,50.1
12,9,49.8
13,6,55.2
14,9,50.6
15,4,54.8
16,9,45.2
17,9,54.1
18,6,49.0
19,4,52.2
20,6,53.2
21,9,48.5
22,4,53.9
23,4,43.8
24,4,45.7
25,6,43.7
26,4,46.0
27,4,46.2
28,4,43.2
29,4,46.5
30,9,42.9
31,6,43.1
32,4,42.2
33,6,46.4
34,9,48.1
35,4,47.9
36,9,46.0
37,6,43.1
38,9,39.8
39,4,43.4
40,6,38.3
41,9,42.8
42,4,38.8
43,9,40.9
44,4,36.3
45,4,32.7
46,4,34.8
47,6,31.4
48,4,31.6
49,6,32.3
50,4,29.3
51,4,32.0
52,6,27.4
53,4,28.1
54,4,27.3
55,4,26.7
56,6,27.2
57,4,26.0
58,4,26.7
59,6,20.8
60,6,24.0
61,6,22.0
62,6,21.3
63,6,20.8
64,6,18.1
65,6,17.3
66,6,15.5
67,6,15.7
68,6,13.6
69,6,13.7
70,6,12.8
71,9,11.7
72,9,13.1
73,9,11.8
74,1,13.2
75,1,12.4
76,9,12.7
77,4,12.4
78,9,12.1
79,9,12.7
80,9,11.8
81,9,12.8
82,9,12.9
83,9,12.3
84,9,12.7
85,9,12.5
86,9,12.1
87,9,12.2
88,9,12.6
89,9,12.9
90,9,11.9
91,9,12.0
92,9,11.4
93,9,11.9
94,9,12.3
95,9,12.9
96,9,11.7
97,9,12.1
98,9,12.2
99,9,11.2
100,9,11.8
101,9,11.4
102,9,11.9
103,9,11.6
104,9,11.6
105,9,12.1
106,9,11.8
107,9,11.9
108,9,11.6
109,9,11.0
110,9,11.5
111,9,11.4
112,9,11.1
113,9,11.1
114,9,10.6
115,9,11.5
116,9,10.9
117,9,10.7
118,9,10.3
119,9,11.0
120,9,11.0
121,9,10.5
122,9,11.5
123,9,10.7
124,9,10.7
125,9,10.9
126,9,10.4
127,9,10.9
128,9,10.5
129,9,10.8
130,9,10.3
131,9,10.6
132,9,10.3
133,1,10.2
134,9,10.6
135,1,10.2
136,9,9.9
137,1,10.4
138,1,9.8
139,9,10.3
140,0,9.8
141,9,10.6
142,8,9.8
143,9,10.0
144,9,9.7
145,9,9.6
146,4,9.5
147,9,9.8
148,9,10.1
149,9,9.8
150,7,9.7
151,6,9.7
152,5,9.7
153,4,9.7
154,3,9.7
155,2,9.7
156,1,10.2
157,1,10.0
158,0,9.7
159,1,10.3
160,1,11.1
161,1,10.9
162,1,11.7
163,1,11.9
164,1,12.1
165,1,12.5
166,1,13.1
167,1,14.2
168,5,13.2
169,1,13.3
170,1,13.6
171,1,14.2
172,1,14.4
173,1,13.9
174,5,13.8
175,1,15.4
176,1,15.9
177,1,16.0
178,5,17.2
179,1,18.5
180,5,20.0
181,5,20.6
182,5,20.1
183,5,23.5
184,5,22.9
185,5,22.7
186,5,24.7
187,5,21.9
188,5,21.2
189,5,21.2
190,5,21.0
191,5,21.5
192,5,19.6
193,5,24.1
194,7,22.2
195,5,24.7
196,5,23.9
197,5,23.9
198,5,23.3
199,5,23.2
200,5,22.3
201,5,23.3
202,3,21.5
203,5,22.6
204,5,23.4
205,5,22.5
206,5,24.1
207,5,27.2
208,5,28.5
209,3,27.1
210,3,28.2
211,5,30.3
212,7,28.1
213,0,27.1
214,5,31.3
215,5,27.7
216,5,31.6
217,5,30.3
218,5,28.7
219,5,29.4
220,5,29.8
221,5,29.7
222,5,31.1
223,5,27.2
224,5,29.4
225,5,30.6
226,5,29.8
227,5,30.7
228,5,29.8
229,5,31.3
230,5,29.3
231,5,30.1
232,5,29.9
233,5,27.6
234,5,29.8
235,4,27.5
236,5,28.6
237,5,29.2
238,5,28.9
239,5,28.5
240,5,28.3
241,5,28.9
242,5,29.8
243,5,30.3
244,4,29.6
245,5,29.6
246,5,32.7
247,5,31.7
248,5,32.0
249,5,29.2
250,5,31.8
251,4,30.8
252,5,33.0
253,5,31.9
254,5,34.4
255,5,34.8
256,5,34.6
257,5,35.0
258,5,37.3
259,5,38.2
260,5,37.7
261,5,38.2
262,5,42.5
263,4,40.3
264,4,39.3
265,5,37.7
266,5,38.9
267,5,39.0
268,5,43.3
269,5,44.7
270,5,43.4
271,4,41.8
272,5,45.2
273,5,49.4
274,5,45.0
275,5,40.5
276,5,45.7
277,5,49.0
278,5,48.6
279,5,51.0
280,5,47.7
281,4,44.5
282,5,42.1
283,5,57.6
284,4,50.8
285,5,56.2
286,5,61.5
287,5,65.0
288,4,59.8
289,4,52.9
290,5,62.1
291,5,56.2
292,5,62.5
293,5,56.5
294,5,57.6
295,4,51.4
296,5,58.6
297,4,53.4
298,4,47.3
299,4,41.2
300,5,60.5
301,5,63.0
302,4,62.2
303,4,47.9
