Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,64,68.8,18.054362353736007
1,1,162,44.0,13.490737563232042
2,9,305,44.1,20.082081565415475
3,5,386,30.9,8.870738413458037
4,6,466,19.6,4.004996878900157
5,3,547,12.3,1.2688577540449522
6,8,630,14.4,2.0591260281974
7,2,720,39.6,16.794046564184583
8,7,844,28.4,13.207573584879245
9,4,935,9.2,0.9797958971132712
10,3,1009,13.2,2.481934729198171
11,9,1087,12.7,3.348133808556641
12,1,1164,14.2,2.4
13,8,1237,9.6,1.2
14,2,1310,20.3,4.428317965096905
15,9,1384,9.7,0.45825756949558405
16,8,1457,8.9,0.5385164807134504
17,8,1531,9.1,0.7000000000000001
18,9,1605,9.0,0.6324555320336759
19,9,1678,10.0,1.2649110640673518
20,0,1752,12.9,2.3853720883753127
21,8,1827,11.6,2.2
22,5,1902,12.9,2.467792535850613
23,7,1981,14.3,2.0518284528683193
24,6,2062,10.4,1.8
25,4,2141,8.9,0.9433981132056604
26,0,2215,16.2,3.8678159211627436
27,9,2300,29.6,18.122913673027305
28,3,2427,18.4,3.2
29,6,2518,21.4,4.5431266766402185
30,3,2596,23.4,10.121264743103996
31,9,2690,38.2,15.509996776273034
32,3,2782,37.2,25.86039442854652
33,9,2880,32.4,12.916655913974019
34,9,2983,41.5,20.900956915892632
35,9,3104,51.4,29.00068964697219
36,3,3192,36.5,25.730332294783913
37,3,3285,29.0,7.389181280764467
38,8,3381,42.0,23.065125189341593
39,1,3478,41.2,17.88742575106882
40,4,3605,19.4,5.141984052872976
41,3,3689,44.1,17.32887763243771
42,9,3797,35.4,9.446692542895635
43,1,3890,49.8,14.551975810864999
44,8,3999,44.8,18.701871564097537
45,6,4088,44.8,17.70197729068705
46,4,4190,66.1,24.825188821034175
47,6,4300,43.3,16.685622553563892
48,8,4398,39.2,9.075241043630744
49,9,4508,48.2,17.31357848626332
50,9,4607,38.3,8.854942122905152
51,4,4710,55.5,11.569356075426152
52,8,4832,55.1,25.153329799452003
53,5,4945,38.3,7.746612162745725
54,2,5042,58.6,23.169807940507408
55,6,5170,52.3,40.34860592387301
56,4,5268,61.1,26.636253490309034
57,0,5371,31.3,7.057619995437555
58,9,5455,42.0,10.770329614269007
59,7,5560,51.1,18.912694149697444
60,5,5654,54.3,32.05635662392094
61,1,5755,32.0,4.33589667773576
62,9,5844,29.2,3.789459064299283
63,3,5941,24.3,6.527633568147036
64,9,6031,31.1,8.50235261559999
65,9,6115,36.4,14.698299221338502
66,9,6222,30.1,8.067837380611982
67,3,6315,25.5,4.738143096192854
68,3,6405,37.2,12.851459061133875
69,8,6528,32.4,8.126499861564017
70,1,6631,34.0,5.531726674375733
71,4,6735,58.2,22.085289221561034
72,3,6940,34.2,10.916043239196151
73,9,7036,37.7,13.1
74,1,7136,39.7,14.778700890132393
75,8,7264,49.3,10.507616285342742
76,6,7372,52.5,13.97318861248212
77,4,7464,61.2,23.446961423604552
78,6,7562,37.9,13.902877400020472
79,8,7664,48.5,25.5
80,9,7756,33.3,8.161494961096281
81,9,7842,26.4,6.945502141674135
82,4,7940,57.0,20.228692493584454
83,3,8080,34.3,12.665306944563168
84,5,8169,59.3,14.366976021418008
85,4,8265,43.2,11.133732527773423
86,6,8385,61.8,42.4165062210456
87,8,8524,36.9,12.621014222319854
88,0,8613,41.9,41.857974150692
89,6,8703,34.9,12.14454610102823
90,2,8824,44.0,22.39642828667107
91,7,8913,50.7,25.322124713380592
92,5,9006,54.9,17.04963342714441
93,9,9109,23.3,5.158488150611572
94,1,9206,41.0,10.816653826391969
95,9,9321,23.1,3.8587562763149474
96,9,9403,23.9,4.253234063627348
97,9,9498,24.5,3.9812058474788765
98,3,9582,32.1,6.122907805936653
99,3,9668,28.1,5.575840743780259
100,7,9760,44.6,20.47535103484187
101,1,9887,39.9,13.026511428621248
102,4,9990,38.2,9.99799979995999
103,3,10080,29.7,5.728001396647874
104,9,10165,24.4,4.737087712930805
105,1,10258,36.5,6.48459713474939
106,8,10349,34.3,9.187491496594705
107,3,10447,25.2,4.1182520563948
108,4,10533,35.5,9.426027795418387
109,6,10622,31.9,11.894956914591997
110,8,10750,29.2,5.635601121442148
111,9,10839,23.1,4.109744517606903
112,9,10929,23.0,4.753945729601885
113,4,11026,32.1,6.331666447310692
114,6,11141,34.1,6.187891401761993
115,5,11229,53.0,22.22611077089287
116,4,11321,32.8,5.1536394906900505
117,6,11408,45.1,16.275441622272496
118,8,11495,29.3,3.8223029707232787
119,0,11584,29.8,4.853864439804639
120,7,11672,32.9,6.7149087856798175
121,6,11761,29.3,8.17373843476778
122,7,11849,33.7,11.054863183232978
123,5,11943,57.0,26.70205984563738
124,2,12047,41.7,23.48212085821892
125,9,12136,32.4,5.499090833947008
126,9,12229,30.7,6.3095166217389425
127,1,12331,42.3,10.863240768757729
128,9,12439,30.5,7.864477096412704
129,3,12536,33.4,8.452218643646175
130,3,12627,34.4,5.589275444992848
131,7,12729,30.2,6.305553108173779
132,1,12836,33.6,8.151073548925934
133,4,12929,36.4,11.403508232118746
134,3,13026,36.9,13.931618714277247
135,9,13197,33.1,5.028916384272063
136,1,13284,31.1,7.105631569396206
137,8,13373,39.3,13.183702059740277
138,3,13473,41.3,12.649505919204909
139,4,13578,38.5,11.757976016304847
140,6,13666,38.2,9.228217596047461
141,8,13804,42.1,9.449338601193208
142,9,13909,31.1,9.51262319236918
143,9,14010,31.6,4.758150901348128
144,4,14117,37.4,9.297311439335568
145,6,14224,33.4,9.572878355019457
146,5,14348,45.6,28.931643575849613
147,4,14438,47.6,14.072668545801823
148,6,14529,31.1,7.077428911688199
149,8,14632,33.4,8.052328855678958
150,0,14733,36.9,8.055432949258531
151,7,14834,30.9,6.624952830020754
152,6,14937,35.1,10.866922287382017
153,7,15043,35.5,14.49310180741169
154,5,15141,43.7,22.122612865572638
155,2,15325,33.1,8.324061508662703
156,9,15431,34.1,9.438749917229506
157,9,15530,35.1,9.3
158,1,15619,38.6,12.626955294131678
159,9,15744,32.0,4.959838707054898
160,3,15842,42.7,24.314810301542558
161,3,15939,37.5,13.618002790424152
162,7,16029,35.5,6.2008063991709985
163,1,16129,44.1,17.541094606665798
164,4,16218,33.9,14.01748907615055
165,2,16304,37.0,12.743625857659193
166,5,16403,42.9,17.59232787325202
167,1,16516,38.6,9.941830817309254
168,8,16608,32.2,4.833218389437829
169,3,16700,37.9,6.89129886160802
170,9,16794,33.2,5.6178287620752565
171,6,16884,34.2,7.19444229944198
172,8,16973,36.6,14.927826365549674
173,9,17062,36.2,13.4
174,9,17150,41.3,12.578155667664475
175,4,17283,48.0,20.189105973271822
176,6,17379,39.9,21.556669501571896
177,5,17471,36.3,12.62576730341566
178,4,17591,38.1,10.202450685987166
179,6,17704,34.9,6.744627491566899
180,8,17799,38.7,9.970456358662826
181,9,17932,35.4,12.792185114357906
182,7,18028,34.4,10.131140113531153
183,6,18120,33.7,9.011659114724658
184,7,18209,34.2,8.243785538209979
185,5,18305,30.3,6.1163714733492105
186,2,18393,35.0,9.444575162494075
187,4,18498,35.2,7.2083285163760396
188,9,18583,33.9,10.231813133555557
189,1,18671,41.0,20.726794252850585
190,9,18770,28.9,8.688498144098324
191,3,18858,36.8,14.770240350109406
192,3,18982,48.8,20.098756180420718
193,7,19086,30.9,5.872818744010409
194,1,19179,37.7,9.423905772024677
195,2,19273,37.2,11.779643458101777
196,0,19368,34.2,7.4404300950953095
197,5,19455,34.8,9.421252570651102
198,1,19548,33.1,9.585927185202275
199,8,19653,39.8,12.21310771261762
200,3,19780,37.3,9.980480950335009
201,9,19877,31.1,6.685057965343307
202,6,19973,31.5,8.417244204607586
203,8,20061,38.6,14.347125147568763
204,9,20147,31.2,8.55336191213724
205,9,20249,28.9,7.712976079309464
206,4,20359,43.8,15.157836257197134
207,6,20484,35.5,10.259142264341596
208,5,20612,37.5,15.213480864023197
209,4,20717,48.6,15.736581585592216
210,6,20836,46.7,30.806005907939447
211,8,20935,41.0,15.05988047761336
212,9,21029,41.6,27.68104044287353
213,7,21117,41.3,11.47214016650773
214,6,21229,42.7,19.814388711237093
215,7,21372,30.4,5.695612346359257
216,5,21477,31.6,6.873136110975833
217,2,21569,40.6,15.698407562552324
218,4,21658,45.1,13.859653675326811
219,9,21753,38.0,16.46815108019112
220,1,21865,47.2,28.756912212544655
221,9,21980,39.2,16.12947612292476
222,3,22069,34.7,6.341135544995076
223,3,22160,45.3,29.182357684052874
224,7,22332,34.6,6.6211781428987395
225,1,22420,49.2,28.077749197540747
226,2,22533,40.1,20.3147729497526
227,4,22624,39.3,10.789346597454362
228,5,22723,37.1,10.709341716464182
229,1,22846,44.3,23.866503723838562
230,8,22957,45.4,17.67597239192232
231,3,23056,55.7,36.86746533191562
232,9,23155,38.1,9.544108130150246
233,6,23264,44.4,21.574058496258882
234,8,23394,46.4,31.30559055504304
235,9,23494,50.9,27.598731854924058
236,9,23611,48.5,17.551353224181888
237,4,23759,34.5,5.463515351859094
238,6,23856,41.0,14.505171491574997
239,5,23948,33.4,8.392854103342914
240,4,24045,51.8,20.67268729507608
241,6,24169,38.1,12.144546101028231
242,8,24258,48.2,19.4
243,9,24346,38.5,13.215521177766695
244,7,24435,40.9,20.39338127922881
245,6,24526,35.1,8.104936767180853
246,7,24640,37.7,13.56502856613284
247,5,24733,33.3,6.957729514719583
248,2,24825,56.3,31.664017433042194
249,4,24918,68.9,44.720129695697445
250,9,25075,42.5,20.200247523235948
251,1,25166,44.4,22.150395030337496
252,9,25255,52.2,28.063499425410225
253,3,25350,40.2,8.364209466530594
254,3,25444,58.9,35.29716702513107
255,7,25585,34.9,10.004498987955369
256,1,25673,38.3,12.665306944563168
257,2,25762,33.4,11.056219968868202
258,4,25856,41.8,22.859571299567275
259,5,25949,34.3,6.708949247087803
260,1,26070,48.2,21.334479135896427
261,8,26163,44.7,27.792265110998063
262,3,26273,48.6,19.71902634513175
263,9,26378,37.1,12.668464784653269
264,6,26527,52.2,17.075128110793194
265,8,26634,39.4,12.191800523302536
266,9,26727,41.5,12.34706442843804
267,9,26815,44.9,24.691901506364385
268,4,26905,48.4,18.227451824103117
269,6,27103,46.9,22.174083972060718
270,5,27256,37.7,13.061776295741709
271,4,27353,45.5,15.487091398968367
272,6,27450,59.5,38.75370949986594
273,8,27544,36.5,8.58195781858662
274,9,27689,38.7,13.653204751998704
275,7,27793,44.7,20.302955449884628
276,6,27894,44.2,21.44667806444625
277,7,28110,45.4,18.03995565404749
278,5,28203,37.7,11.243220179290272
279,2,28300,38.2,17.38275007011261
280,4,28393,39.5,13.836545811726277
281,9,28487,36.3,12.083459769453448
282,1,28576,42.8,12.19672087079146
283,9,28673,41.1,28.814753165696217
284,3,28766,50.4,25.617181734140857
285,3,28859,51.2,23.48531456038007
286,7,28957,55.9,35.407485084371636
287,1,29043,38.2,20.764392598869826
288,2,29164,29.9,4.592385001282014
289,4,29286,50.3,23.401068351680014
290,5,29374,43.8,29.498474536829868
291,1,29485,35.5,16.90118339052032
292,8,29588,42.6,19.663163529808728
293,3,29751,50.0,15.192103211866355
294,9,29846,39.1,9.7
295,6,29934,35.9,11.475626344561764
296,8,30026,46.1,36.18411253575248
297,9,30169,45.0,25.907527863538043
298,9,30285,37.4,12.776541002947551
299,4,30388,47.4,24.694938752708012
300,2,30481,43.2,19.68654362756449
301,5,30569,51.2,22.426769718352215
302,6,30674,45.2,15.138031576133008
303,7,30763,43.0,16.143109985377663
304,6,30868,45.1,19.242920776223137
305,8,30955,34.0,13.015375522819156
306,9,31095,34.5,12.823805987303457
307,7,31222,44.8,18.24171044611771
308,6,31323,39.6,15.74293492332354
309,5,31408,42.4,8.558037158133867
310,7,31511,37.9,11.0131739294356
311,4,31597,38.3,17.239779580957524
312,9,31694,36.6,7.2277243998370615
313,2,31790,43.6,11.714947716485979
