Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,12602,124.23889905808002,8.53845298897722
1,2,25969,111.1976414118487,11.112674347431925
2,4,38540,25.307658394495565,0.21044380334642923
3,1,51894,104.49562362058563,8.452961448199453
4,6,61605,77.17392400194942,1.1512242181967924
5,6,70760,54.94941624282781,0.8691524695966435
6,6,80529,52.73416030456893,1.3252030185066426
7,6,89329,47.53026566121589,1.0921430431942312
8,6,97200,45.698023834361706,0.6878645595490014
9,6,104474,43.425879935537104,1.008200292558888
10,6,111975,42.883770541538034,0.9059391857922267
11,7,119936,14.705085459174645,0.12489872760923838
12,6,127869,44.288617155092524,1.0650930084344437
13,6,136423,45.89001893178423,1.1669656070938386
14,6,145811,50.57165320419581,1.1275471703713495
15,0,155607,200.56331308176308,23.009696342125036
16,0,165057,191.8299912402485,16.70920558691455
17,2,174438,102.83119206525787,13.08459423065527
18,0,183931,215.63035513038432,35.01973703800842
19,0,193960,208.25514073276304,30.709229779054738
20,0,203803,192.3517058749843,40.23927681450221
21,0,213750,213.21846689391924,38.46397072974641
22,0,223151,186.44814114158925,13.109074570307609
23,0,232047,152.38083821220116,8.255280538664866
24,0,240695,138.61498100857347,6.274133395439294
25,0,249280,135.81458579865242,5.03351368153633
26,0,257829,129.39408856891987,4.408908084502432
27,0,266608,123.71270490814625,3.91106466357663
28,0,275157,121.62440067430586,2.338241998431895
29,0,283549,116.02029519735125,2.677926042679195
30,0,291481,110.8764027808113,2.213506536761015
31,0,299229,109.78076072248768,2.073957806289088
32,0,307591,110.72517350165742,1.682271673821647
33,1,318053,188.7938724599116,3.2971664317367635
34,0,327048,106.26940739969378,2.445331587492067
35,0,336152,103.47285412980689,2.287898212363035
36,0,344997,100.0704268222144,1.6085656174535568
37,4,353753,39.299689618275885,0.7590178352031762
38,4,362311,39.737628863324666,0.7334878040652282
39,4,370841,39.37812404241536,0.9804720453094705
40,2,379275,105.17500129689365,12.206392149900218
41,2,387630,105.63872732133282,12.382937406133362
