Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.0005,0.005,0.0025
1,0.2,0.0005,0.005,0.025
2,0.2,0.00075,0.001,0.075
3,0.2,0.001,0.005,0.075
4,0.3,0.00025,0.001,0.025
5,0.3,0.001,0.001,0.049999999999999996
6,0.4,2.5e-06,0.005,0.049999999999999996
7,0.4,0.00075,0.01,0.0025
8,0.5,0.00025,0.005,0.075
9,0.5,0.00075,0.005,0.0075
10,0.6,0.0001,0.005,0.001
11,0.6,0.0005,0.0005,0.005
12,0.7,7.5e-05,0.01,0.049999999999999996
13,0.7,0.0005,0.01,0.075
14,0.7,0.001,0.01,0.025
15,0.8,0.0001,0.01,0.0075
16,0.8,0.0005,0.001,0.049999999999999996
17,0.9,0.00025,0.005,0.049999999999999996
18,0.95,0.00025,0.001,0.025
19,0.95,0.00075,0.005,0.075
