Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,4,5346,-105.304,2.4517838403905032
1,4,10901,-104.88699999999999,4.331618750536574
2,6,17485,-130.699,3.6528138468857114
3,4,24839,-113.218,6.1330478556750325
4,4,32807,-115.81300000000002,9.148037002548703
5,4,39865,-122.83000000000004,3.1616641187830283
6,4,47922,-126.21400000000003,7.262055081035949
7,4,55838,-135.355,8.116452735031423
8,4,63961,-135.21699999999998,8.182089036425797
9,4,72281,-147.7929999999999,23.304889208060843
10,4,81281,-137.82099999999997,10.867017484112115
11,4,89837,-146.37699999999992,14.627253364866435
12,4,98558,-148.96599999999987,13.62796551213706
13,4,106648,-151.12899999999985,21.660818751838338
14,4,114817,-133.132,8.186517941102869
15,4,123071,-143.92899999999992,17.925611537685263
16,4,131123,-143.00799999999992,7.665562993022695
17,4,138770,-140.13099999999994,17.776376149260415
18,4,147575,-146.5809999999999,18.62365616628469
19,4,155349,-148.8879999999999,18.718145100409753
20,4,163325,-139.38399999999996,8.789844367222834
21,4,171714,-149.4549999999999,25.434852958096478
22,4,179386,-138.44799999999998,15.026138426089277
23,3,187379,-128.31400000000002,5.736511483471451
24,4,195152,-145.6989999999999,19.39989868530229
25,4,203515,-134.422,11.77530534635932
26,4,211858,-139.53399999999993,17.04602956702808
27,4,220121,-140.77299999999997,21.97412025542756
28,4,229039,-128.42800000000003,6.794270821802714
29,3,238464,-132.98800000000006,6.9748058037481835
30,4,249815,-138.50499999999997,15.366919827994025
31,3,263299,-137.752,9.282605022298373
32,4,279414,-131.44,6.729368469626225
33,2,288022,-122.49700000000003,7.912694926508931
34,4,296984,-140.70999999999995,17.815075077023806
35,4,305456,-131.65000000000003,6.338809036404206
36,4,314722,-131.98,12.697621824577926
37,4,324024,-132.4,9.777422973360567
38,4,333569,-135.25,14.881481781059188
39,4,343120,-131.41000000000003,6.530153137561138
40,4,352620,-135.49,12.975858353110885
41,4,362193,-127.21000000000001,7.67794894486798
42,4,371749,-132.19,9.644941679450366
43,4,380778,-134.70999999999998,10.70125693551923
44,4,398092,-128.83,6.6128738079597245
45,4,415579,-142.83999999999995,21.340018744134035
46,4,431178,-135.96999999999997,17.01529018265617
47,4,445833,-130.63,8.3078336526437
48,4,462628,-141.5799999999999,26.48413864938765
49,4,480497,-133.95999999999998,14.962031947566375
50,2,496590,-132.28,8.794862136497605
51,2,511623,-139.68999999999997,16.25438094791664
52,2,525947,-135.30999999999997,13.85990259706024
53,4,544299,-131.74000000000004,7.215982261618968
54,4,563215,-142.11999999999995,16.977031542645957
55,4,589847,-133.98999999999998,13.4298510788466
56,1,615305,-146.4099999999999,14.016557351931926
57,4,642318,-134.95,10.011418480914614
58,4,669496,-130.42000000000002,7.990594471001477
59,0,696984,-150.3069999999999,7.974871848500069
60,4,724124,-141.6699999999999,21.822788547754204
61,0,748909,-157.21599999999987,16.315376918722905
62,5,775143,-184.0770000000016,2.165968836340987
63,0,802292,-153.51099999999988,11.757941529026152
64,0,829547,-152.0439999999999,11.38876657061677
65,0,856364,-148.5069999999999,11.763814049873373
66,5,867329,-184.02600000000157,2.480504787336719
67,5,877924,-184.16100000000156,1.5335869717756896
68,5,889855,-183.18900000000153,3.2181219678565145
69,5,900271,-184.6920000000016,2.669871907039812
70,6,911369,-179.94600000000125,5.5856713114900165
71,6,923871,-182.83000000000092,15.459014845713321
72,5,937166,-186.26700000000164,3.987302471596668
73,5,949929,-183.9240000000016,2.002184806655043
74,6,964071,-177.4170000000011,2.6506303023998945
75,0,980209,-199.47399999999965,19.27295732366983
76,0,997152,-212.83799999999997,24.300462464735165
77,5,1021519,-185.84700000000163,1.8803778875535184
78,6,1047641,-167.30100000000078,18.908912422453646
79,5,1071345,-270.86500000000103,6.5474441578377025
80,6,1095020,-176.8980000000011,2.601475735039745
81,6,1121199,-161.0540000000009,45.97252531675898
82,6,1143548,-179.54200000000088,11.363340001953228
83,0,1165172,-160.12599999999992,25.6639288496518
84,6,1186180,-182.78200000000095,18.210768682293043
85,1,1207957,-129.12100000000004,8.486437945333678
86,4,1229609,-137.88999999999996,17.274400134302653
87,1,1249658,-134.95299999999997,17.424099431534344
88,5,1269567,-183.93000000000148,1.7134176373552839
89,5,1290007,-183.00000000000142,2.34656770624678
90,5,1310964,-182.20200000000136,3.2543902654722747
91,5,1331601,-178.9380000000012,2.0705738335061357
92,5,1351542,-177.16800000000106,2.4761251987733637
93,2,1371219,-135.01000000000002,9.48308494109372
94,2,1393092,-138.24999999999994,25.04999999999978
95,2,1413211,-138.91,11.719253389188154
96,2,1434285,-130.42000000000002,8.589854480723124
97,5,1452862,-260.9400000000009,26.85655897541598
98,2,1473370,-137.49999999999997,21.113265971895324
99,5,1494776,-180.6360000000013,1.5461966239777467
100,2,1515895,-135.04000000000002,8.807746590360042
101,6,1537757,-177.50400000000113,2.7452475298232657
102,2,1560217,-133.32999999999998,7.368588738693413
103,6,1582579,-198.41600000000122,38.20981188124328
104,0,1604953,-171.8949999999998,47.61947968006352
105,0,1626206,-177.81900000000007,40.05836178627383
106,0,1648496,-208.12599999999966,33.00651971959478
107,0,1669381,-162.13299999999987,25.293898098157783
108,2,1691212,-135.82,14.54316334227176
109,0,1714370,-176.15999999999968,33.468556287954634
110,6,1732313,-187.07500000000113,18.92192339589153
111,2,1749941,-134.152,19.13946958512681
112,6,1767185,-176.7240000000011,2.2038793070402924
113,6,1784737,-177.01200000000108,2.7218185097468655
114,0,1803236,-153.36399999999995,10.371757999490692
115,6,1821542,-177.54600000000113,3.836806484565164
116,6,1836358,-176.05800000000107,3.1387570788452046
117,4,1857214,-141.00999999999993,20.823133769920247
118,4,1879227,-140.64999999999992,15.774552291586481
119,6,1902054,-175.67100000000104,2.270785987274111
120,0,1923042,-132.64000000000004,14.21767702544968
121,3,1950780,-190.40900000000113,28.928111742732256
122,6,1978116,-249.86200000000008,9.582276138789084
123,0,2008008,-147.93399999999997,22.50087518297885
124,0,2036032,-161.21799999999982,34.46653298491136
125,3,2063457,-176.96900000000076,5.591921762685605
126,3,2090070,-186.05500000000046,21.29351133561542
127,3,2118073,-183.24700000000092,19.181485370012055
128,3,2146071,-179.710000000001,4.624465374505116
129,0,2173198,-141.9639999999999,32.14282321141054
130,6,2199806,-179.08500000000117,4.691087826933324
131,6,2228042,-176.33400000000105,3.509558946648583
132,6,2265341,-177.8470000000009,4.5563166044511085
133,6,2298627,-186.37600000000106,27.554167815414015
134,6,2334107,-159.78200000000055,57.389940198609956
135,6,2371219,-207.47000000000008,32.807228471786466
136,6,2404183,-224.31999999999948,16.991826270298382
137,6,2438840,-212.80599999999959,20.801420239974053
138,0,2473468,-156.71799999999985,46.984084496773754
139,6,2510552,-206.0630000000007,48.37783047016475
140,2,2543811,-133.64799999999997,9.459530432320562
141,2,2579779,-138.02499999999998,13.315480652233223
142,6,2615037,-219.62999999999974,14.96946492029656
143,0,2643536,-155.79399999999984,40.27433306710344
144,0,2674323,-156.148,51.122313680036115
145,6,2706673,-211.9820000000002,81.0303789698656
