Algorithm ID,gamma,learning_rate,exploration_fraction,exploration_initial_eps,exploration_final_eps
0,0.1,0.00075,1.0,0.2,0.2
1,0.2,0.0001,0.999,1.0,0.05
2,0.2,0.00025,1.0,0.2,0.2
3,0.3,0.0005,0.95,1.0,0.05
4,0.4,0.0005,1.0,0.2,0.2
5,0.4,0.00075,0.95,1.0,0.05
6,0.5,0.001,0.9,1.0,0.05
7,0.6,0.0005,0.99,1.0,0.05
8,0.6,0.0005,1.0,0.15,0.15
9,0.6,0.001,0.99,1.0,0.05
10,0.8,0.00025,0.95,1.0,0.05
11,0.8,0.00075,0.9,1.0,0.05
12,0.9,1e-05,1.0,0.05,0.05
13,0.9,0.0005,1.0,0.2,0.2
14,0.95,0.00025,0.95,1.0,0.05
