Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,256,-130.76199999999994,20.66976574613258
1,0,512,-136.957,7.104015836130956
2,0,768,-129.76000000000005,6.746732542497861
3,0,1024,-141.0159999999999,28.572340191170664
4,0,1280,-134.09199999999998,15.075668343393492
5,0,1536,-135.628,13.315405964520874
6,0,1792,-144.54699999999988,25.63391934527355
7,0,2048,-131.09200000000004,6.408539303148557
8,0,2304,-144.5979999999999,25.35928303402896
9,0,2560,-133.38099999999997,17.207813021996596
10,0,2816,-140.55999999999995,18.966544756491462
11,0,3072,-136.15599999999995,18.26534324889611
12,0,3328,-154.48599999999982,31.167553705736708
13,0,3584,-144.80499999999992,12.45707690431417
14,0,3840,-130.56400000000002,8.019217168776485
15,0,4096,-132.43599999999998,14.962908941779897
16,0,4352,-144.2319999999999,16.747128589701457
17,0,4608,-145.2999999999999,15.087608160341263
18,0,4864,-138.17799999999997,12.876300555671936
19,0,5120,-141.81399999999994,15.972061983350688
20,0,5376,-147.6609999999999,11.323869877387228
21,0,5632,-137.41,11.66639018720008
22,0,5888,-133.873,15.054569439210052
23,0,6144,-145.44399999999993,19.93176068489672
24,0,6400,-139.04799999999994,9.613670266864716
25,0,6656,-135.727,12.390104963235698
26,0,6912,-142.51899999999995,15.32677099065542
27,0,7168,-148.59699999999992,15.305007709896685
28,0,7424,-169.39599999999973,16.756463946787683
29,0,7680,-155.15199999999987,31.780307676295283
30,0,7936,-164.36499999999978,16.75170155536432
31,0,8192,-162.01299999999992,39.65996471254103
32,0,8448,-151.5249999999999,22.922297986894584
33,0,8704,-160.90599999999978,24.26782610783237
34,0,8960,-150.4029999999999,14.162506875549855
35,0,9216,-166.69299999999973,24.938711293889888
36,0,9472,-163.08399999999978,17.16947360870438
37,0,9728,-171.38199999999972,22.981751369292805
38,0,9984,-175.8969999999997,21.998157218276067
39,0,10240,-164.30799999999982,14.830922290943207
40,0,10496,-184.98099999999968,8.839937160410058
41,0,10752,-188.42499999999964,13.639962793204258
42,0,11008,-182.75799999999967,10.33766395275054
43,0,11264,-192.54699999999957,15.802161909055203
44,0,11520,-197.32599999999954,12.938668555921685
45,0,11776,-186.35799999999966,11.01656371106698
46,0,12032,-194.7669999999996,20.54744414763055
47,0,12288,-240.1890000000003,26.784654729901007
48,0,12544,-221.7609999999995,14.384879874368227
49,0,12800,-210.3219999999995,16.84393113260669
