Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,9,256,-132.59799999999998,17.469297524514154
1,10,512,-136.79499999999996,19.013474827079737
2,12,768,-135.166,9.083074589586877
3,9,1024,-133.39000000000001,10.049820893926361
4,10,1280,-100.015,0.030740852297879956
5,12,1536,-100.0,0.0
6,9,1792,-117.70000000000005,5.0628055463349675
7,8,2048,-128.182,17.094226393727126
8,9,2304,-133.07800000000003,7.298935264817706
9,10,2560,-132.70600000000002,6.763543745700146
10,9,2816,-132.73300000000003,8.030484481025994
11,12,3072,-127.912,8.19010109827711
12,9,3328,-140.00499999999994,16.252100941109
13,9,3584,-123.98200000000004,6.752828740609387
14,3,3840,-122.08900000000001,7.627968864645438
15,6,4096,-121.73200000000001,9.863014549315015
16,0,4352,-118.00900000000001,7.8500897447099485
17,10,4608,-120.45700000000004,7.070821805136967
18,9,4864,-114.60700000000001,6.966067829127147
19,12,5120,-116.725,8.463193546173935
20,0,5376,-123.49300000000001,14.054738738233436
21,13,5632,-173.60499999999973,24.699502120487992
22,5,5888,-158.28699999999986,13.240733401137481
23,0,6144,-162.0249999999998,8.782033078962925
24,9,6400,-169.64799999999977,17.808936969959653
25,11,6656,-172.54599999999968,16.41011956080747
26,8,6912,-179.6739999999998,26.56745121384458
27,9,7168,-183.8439999999997,18.08222619037812
28,14,7424,-203.659,42.329036948648266
29,9,7680,-178.18599999999986,34.86899832229197
30,10,7936,-177.98199999999977,23.149817191502695
31,14,8192,-199.11899999999991,24.04442282526225
32,4,8448,-191.6349999999998,24.853497238819358
33,11,8704,-189.39300000000046,17.494963875355392
34,9,8960,-193.4099999999999,21.98611016073547
35,14,9216,-160.445,83.69585297372873
36,9,9472,-183.48700000000002,44.97069758186957
37,2,9728,-204.78199999999995,27.502233654741158
38,8,9984,-183.46800000000002,29.006866014790365
39,14,10240,-158.61599999999984,71.91358024740536
40,10,10496,-206.1309999999998,32.84282949138218
41,12,10752,-208.53100000000032,60.91362876237144
42,10,11008,-204.2870000000003,31.541267270038464
43,10,11264,-215.91500000000028,82.83030957928422
44,11,11520,-140.78400000000065,90.25258835069559
45,5,11776,-173.3130000000002,66.74702406100224
46,10,12032,-207.7719999999997,27.366121683570782
47,8,12288,-166.8769999999998,73.89873653182431
48,3,12544,-207.24399999999974,25.947172562728298
49,9,12800,-148.57199999999992,69.03000735911864
50,0,13056,-149.20100000000002,37.2621825581913
51,8,13312,-159.23699999999997,30.963600904933255
52,3,13568,-141.21499999999995,57.472652322648194
53,8,13824,-119.72999999999998,78.55209787141261
54,3,14080,-171.51399999999984,20.52423114272481
55,0,14336,-164.27099999999996,43.44024526864438
56,11,14592,-102.97899999999996,98.61004476725473
57,9,14848,-148.2409999999999,58.45939367629464
58,1,15104,-152.61499999999987,66.70568825070306
59,8,15360,-142.5370000000002,61.27126439857414
60,11,15616,-140.4000000000003,81.84444843726448
61,9,15872,-67.16199999999981,86.81339940354829
62,2,16128,-114.25899999999983,101.22905032153558
63,4,16384,-95.69899999999983,85.05141520868429
64,8,16640,-192.69399999999987,24.429432330695008
65,11,16896,-128.63199999999975,96.17208439043002
66,8,17152,-179.1739999999997,68.47655689358211
67,0,17408,-173.2999999999999,63.13139440880448
68,1,17664,-96.15199999999982,96.32879993023894
69,8,17920,-115.90299999999984,86.39794974997963
70,0,18176,-163.1689999999998,66.69640866643415
71,10,18432,-122.15499999999982,83.95052319670202
72,13,18688,-159.43999999999983,67.9582149559565
73,0,18944,-142.36399999999995,66.49132457697014
74,11,19200,-140.62999999999994,59.280401314431046
75,9,19456,-96.76899999999993,87.29892994189566
76,11,19712,-140.51599999999993,59.990227404136405
77,10,19968,-124.67099999999989,76.98052603743365
78,0,20224,-97.56399999999994,88.0717531561624
79,10,20480,-103.89699999999989,84.05343170269735
80,9,20736,-112.84499999999998,81.243673630628
81,0,20992,-107.93799999999987,90.75645848092574
82,9,21248,-72.84299999999986,94.450852939505
83,12,21504,-87.3709999999999,87.17861084578033
84,6,21760,-91.67899999999987,89.76688581542757
85,9,22016,-115.15300000000009,77.54311227310919
86,10,22272,-162.18099999999995,14.148675874441349
87,1,22528,-92.00499999999997,87.97420920360697
88,6,22784,-112.97999999999998,75.93203302954561
89,3,23040,-120.9659999999999,78.83130966817686
90,12,23296,-152.82999999999996,10.369841850288699
91,9,23552,-139.63399999999993,61.7756128581497
92,12,23808,-101.14199999999994,84.54325706997567
93,12,24064,-146.4559999999999,62.83772118719766
94,8,24320,-134.22199999999992,57.37457708776601
95,6,24576,-118.79299999999996,75.79862387273269
96,9,24832,-151.81699999999995,61.82732762298561
97,0,25088,-108.05999999999997,79.43120306277632
98,10,25344,-144.6319999999999,65.41378460232974
99,14,25600,-124.85599999999985,73.97938066785905
100,9,25856,-136.05299999999988,68.5410532527769
101,9,26112,-124.80199999999988,73.58090442499326
102,11,26368,-57.641999999999996,93.8431640344676
103,0,26624,-102.6689999999999,91.12709558084245
104,2,26880,-130.52599999999998,56.60344127347736
105,11,27136,-108.28899999999987,87.4549704076332
106,14,27392,-148.603,8.40728737465297
107,8,27648,-34.47099999999996,95.13687397113699
108,9,27904,-113.07599999999998,74.23659922167775
109,13,28160,-136.4389999999999,59.66450711268804
110,0,28416,-123.51299999999992,83.52706041158156
111,2,28672,-129.78799999999998,57.25896048654745
112,11,28928,-92.842,83.39064033810988
113,0,29184,-94.77999999999997,88.10719232843594
114,13,29440,-75.31399999999996,97.10227012794292
115,1,29696,-112.98599999999999,79.7693885146426
116,9,29952,-82.09999999999995,85.32315816939742
117,9,30208,-127.79,53.48574520374568
118,10,30464,-100.10199999999993,83.4809145613535
119,5,30720,-91.55499999999998,86.07760849953958
120,8,30976,-121.67300000000004,55.62514288520976
121,8,31232,-73.45999999999995,95.88402963997707
122,12,31488,-105.10800000000003,73.66860794123916
123,13,31744,-110.83199999999997,81.75427484847502
124,5,32000,-134.60599999999994,59.850699444534484
125,8,32256,-64.99700000000004,94.15530097132077
126,0,32512,-97.32399999999993,87.97575656963687
127,13,32768,-90.93699999999998,86.42820211597602
128,9,33024,-59.162999999999954,95.24069939369411
129,8,33280,-60.083999999999946,93.68954052614411
130,12,33536,-97.72899999999996,77.26036945938075
131,9,33792,-121.34400000000002,56.739308102936874
132,11,34048,-156.39399999999995,5.657379605435691
133,5,34304,-106.22400000000002,73.89227892006042
134,9,34560,-110.26399999999998,58.978628027447414
135,9,34816,-115.79099999999991,76.48363817837122
136,13,35072,-47.91400000000005,91.57379660142965
137,5,35328,-137.13900000000027,58.16465704360362
138,9,35584,-111.02999999999997,74.77394639846158
139,11,35840,-104.31399999999996,76.49483096262126
140,12,36096,-61.17400000000019,96.99101826457986
141,8,36352,-98.93199999999993,94.49489687808538
142,9,36608,-146.836,6.2715328269889
143,8,36864,-86.917,89.11533179537625
144,13,37120,-144.68700000000018,18.302846254066747
145,8,37376,-116.22900000000001,57.888759435662465
146,12,37632,-110.01299999999999,78.53983537670547
147,0,37888,-115.4690000000001,77.5174672509365
148,10,38144,-110.02199999999998,75.48006012186266
149,0,38400,-92.97399999999996,86.95754357156143
150,6,38656,-102.86300000000006,80.74050272942318
151,10,38912,-69.767,94.67976753773746
152,9,39168,-87.223,87.76647857240259
153,10,39424,-89.077,86.81621773032965
154,9,39680,-83.1559999999999,88.67843787528065
155,2,39936,-136.12999999999997,59.852735777072
156,0,40192,-143.524,6.030877548085305
157,1,40448,-137.06599999999995,49.84557336414142
158,9,40704,-131.50399999999996,62.04761336264272
159,11,40960,-52.136999999999986,89.14095759526037
160,10,41216,-99.35000000000001,78.39424188038302
161,3,41472,-133.53799999999995,55.351992701256954
162,9,41728,-72.29299999999998,97.31451814092281
163,14,41984,-74.51899999999998,93.43434255668522
164,2,42240,-143.07600000000008,28.101278689767597
165,4,42496,-77.77399999999993,85.35030804865329
166,14,42752,-118.24499999999993,69.72538680423374
167,0,43008,-135.70699999999994,62.347734048640426
168,9,43264,-94.02399999999999,89.55441208561417
169,11,43520,-145.88500000000002,7.182318915225038
170,5,43776,-127.32500000000002,61.09091589590058
