Episode Number,Ideal Algorithm ID,Ideal Reward
0,11,-126.28300000000004
1,0,-130.531
2,1,-130.741
3,0,-129.03100000000003
4,14,-107.854
5,9,-116.76400000000001
6,8,-124.88500000000002
7,4,-123.51999999999998
8,10,-105.28
9,1,-117.39700000000002
10,9,-113.90200000000002
11,14,-112.489
12,1,-112.897
13,1,-151.4679999999999
14,9,-169.72599999999971
15,8,-202.93599999999958
16,5,-196.03599999999955
17,5,-193.69400000000115
18,14,-164.4890000000011
19,5,-127.4330000000001
20,13,-123.23400000000008
21,2,-138.55300000000003
22,8,-144.20399999999978
23,3,-151.19199999999987
24,8,-162.91399999999982
25,11,-184.48899999999986
26,0,-203.12700000000012
27,6,-162.66500000000138
28,10,-163.69700000000145
29,2,-161.83400000000148
30,5,-182.14300000000142
31,0,-182.74000000000154
32,13,-161.2370000000015
33,8,-139.75000000000114
34,4,-106.70900000000105
35,9,-85.98600000000027
36,2,-100.31500000000035
37,0,-94.67800000000014
38,3,-128.55700000000033
39,9,-62.76600000000012
40,7,-74.19400000000054
41,8,-79.72200000000063
42,3,-65.76800000000004
43,4,-35.015999999999906
44,12,-54.46900000000004
45,8,-61.294999999999916
46,4,-111.97899999999986
47,5,-149.0719999999999
48,8,-91.51800000000026
49,13,-87.80599999999991
50,1,-68.73999999999981
51,11,-107.1550000000005
52,8,-101.96800000000003
53,6,-105.05300000000041
54,5,-97.58200000000004
55,9,-78.81799999999996
56,12,-52.176999999999865
57,3,-45.468999999999895
58,8,-20.56699999999994
59,14,-28.393
60,11,-32.01999999999998
61,1,-62.95799999999991
62,13,-77.34799999999994
63,0,-37.02699999999993
64,9,-21.499999999999932
65,4,-22.012999999999902
66,13,-42.61099999999994
67,7,-28.59199999999988
68,4,-13.946999999999898
69,6,-29.11500000000006
70,13,-55.85999999999998
71,6,-30.334999999999848
72,0,-2.4609999999999834
73,8,-37.27300000000001
74,1,-53.872999999999934
75,6,-39.851999999999904
76,12,-60.27599999999993
77,5,-38.820999999999934
78,13,-21.679999999999897
79,11,-17.835000000000083
80,3,-10.011999999999947
81,14,-31.064999999999866
82,0,27.31400000000003
83,5,-3.971000000000007
84,12,-59.64599999999992
85,6,-13.606999999999953
86,7,-18.379000000000012
87,7,-23.39200000000002
88,7,-29.46699999999994
89,12,-37.57500000000001
90,4,-37.59600000000002
91,5,-35.550000000000026
92,1,-44.174999999999976
93,0,-13.249000000000052
94,12,-40.43700000000001
95,14,-7.504999999999981
96,3,-27.171000000000117
97,10,-24.437000000000033
98,6,-21.99399999999998
99,10,-17.74699999999992
100,13,-13.213999999999928
101,10,-35.49099999999991
102,13,-34.34399999999997
103,7,-12.586000000000045
104,5,-35.76699999999992
105,13,-6.874999999999943
106,12,-43.38899999999995
107,1,1.1770000000000018
108,14,-20.628999999999955
109,12,-15.670000000000027
110,0,-17.076999999999977
111,11,-17.049999999999997
112,6,-11.086000000000007
113,13,-27.894000000000023
114,13,-43.38800000000003
115,1,-23.49600000000003
116,0,-30.44100000000003
117,5,-32.901000000000025
118,4,-26.412000000000035
119,1,-32.83500000000002
120,14,5.274999999999983
121,9,-30.555000000000042
122,1,-11.041000000000043
123,10,-31.392000000000035
124,8,-29.56800000000004
125,8,-10.936000000000046
126,2,-27.087000000000046
127,6,-49.79600000000004
128,3,-9.67600000000003
129,2,-45.60800000000004
130,0,-64.96900000000005
131,10,-83.06100000000005
132,5,-91.36800000000007
133,14,-66.05800000000004
134,12,-88.02600000000005
135,9,-106.41500000000005
136,8,-103.68200000000004
137,8,-102.45800000000004
138,12,-109.15400000000004
139,13,-107.52800000000006
140,13,-90.19500000000005
141,14,-67.10200000000005
142,1,-91.93800000000005
143,3,-104.91200000000003
144,4,-109.00100000000006
145,3,-71.40100000000005
146,7,-89.90700000000007
147,2,-88.87500000000006
148,3,-108.41300000000005
149,1,-106.15100000000004
150,3,-110.58800000000005
151,8,-108.11900000000003
152,5,-107.16200000000006
153,14,-107.03000000000006
154,11,-105.80000000000004
155,11,-88.48200000000006
156,2,-93.57600000000005
157,12,-108.26000000000003
158,4,-110.27600000000004
159,6,-89.12700000000005
160,4,-106.79000000000005
161,3,-124.72300000000004
162,2,-109.70900000000006
163,4,-109.93400000000008
164,2,-108.17000000000007
165,2,-109.83500000000008
166,4,-127.83100000000006
167,10,-112.50500000000007
168,9,-130.51900000000006
169,7,-128.12800000000007
170,6,-110.78300000000006
171,13,-119.91000000000011
172,4,-107.51900000000005
173,5,-109.60700000000006
174,7,-128.18800000000005
175,14,-127.66900000000007
176,13,-126.21100000000006
177,1,-125.63800000000006
178,8,-122.76900000000012
179,11,-128.39200000000005
180,11,-129.71500000000006
181,13,-129.88900000000007
182,9,-128.51500000000004
183,4,-130.59100000000007
184,9,-131.43100000000007
185,7,-127.76200000000006
186,10,-130.64800000000008
187,13,-130.84300000000005
188,6,-132.103
189,3,-133.15300000000005
190,7,-134.94700000000003
191,6,-132.94600000000005
192,4,-114.15500000000004
193,6,-131.19600000000005
194,9,-133.36000000000004
195,10,-127.80300000000007
196,5,-129.25000000000006
197,12,-127.89700000000005
198,13,-104.59199999999998
199,9,-117.87200000000003
200,10,-111.64400000000003
201,11,-113.47100000000005
202,4,-130.24300000000002
203,3,-111.37100000000005
204,3,-112.58000000000001
205,14,-113.95100000000002
206,9,-125.41300000000001
207,4,-122.30200000000005
208,3,-122.72200000000002
