Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,14,256,-133.3,10.053993236520467
1,7,512,-143.8209999999999,13.852244908317093
2,13,768,-108.44500000000001,9.736146311554704
3,14,1024,-105.71200000000002,7.219688081904935
4,7,1280,-128.143,13.770551949722261
5,8,1536,-121.186,10.27637990734093
6,10,1792,-118.43800000000002,12.906264990306045
7,7,2048,-125.35900000000004,8.349782572019441
8,7,2304,-163.58499999999987,40.3920544785728
9,5,2560,-147.25299999999987,21.350658561271427
10,8,2816,-172.6449999999997,21.18359140939025
11,12,3072,-135.57399999999998,11.071388530803102
12,13,3328,-131.626,6.466844980359401
13,8,3584,-135.604,8.711576435984442
14,13,3840,-125.85699999999997,15.375715300433987
15,14,4096,-154.4619999999999,8.678385564147227
16,2,4352,-168.40599999999978,18.46230711476748
17,7,4608,-179.5209999999996,18.971545772550886
18,14,4864,-171.5619999999997,20.448327462166482
19,7,5120,-200.89299999999943,13.76562969863698
20,10,5376,-228.84699999999953,17.737005976207293
21,1,5632,-233.0379999999997,18.42330361254488
22,1,5888,-207.6049999999997,90.12469054038415
23,4,6144,-212.90199999999945,19.928962742701895
24,3,6400,-196.94799999999955,18.118426421739837
25,12,6656,-202.67499999999947,16.981866946834753
26,3,6912,-237.78399999999974,13.871253872668161
27,7,7168,-121.68900000000039,102.11988527706082
28,7,7424,-216.23799999999946,6.213552607003504
29,7,7680,-198.43599999999952,9.346286107326192
30,8,7936,-202.9779999999995,12.97510369900747
31,7,8192,-211.71999999999943,8.9609452626383
32,13,8448,-235.84000000000015,31.383246485984134
33,9,8704,-198.97899999999964,23.65473671381682
34,13,8960,-217.43100000000013,32.827766128690804
35,4,9216,-167.2849999999999,96.34336876505814
36,12,9472,-191.9779999999999,72.60042338719528
37,13,9728,-150.45199999999983,68.80253248246011
38,7,9984,-194.92599999999976,29.882493269471286
39,12,10240,-221.4489999999997,19.131082797374905
40,13,10496,-189.38900000000012,86.78789736478242
41,14,10752,-221.25999999999976,22.078234983802663
42,12,11008,-205.20800000000025,35.068065187574796
43,13,11264,-224.15199999999982,33.88531327876434
44,3,11520,-196.5070000000003,54.70182337911651
45,12,11776,-151.04000000000013,75.1821759461646
46,13,12032,-197.04099999999988,43.17754426782509
47,3,12288,-167.74599999999987,31.551137919257144
48,7,12544,-168.17999999999984,41.889059192108625
49,12,12800,-175.2499999999999,71.57264547297366
50,8,13056,-226.04799999999992,24.653112906893163
51,12,13312,-209.23000000000016,46.710420036647385
52,8,13568,-144.12300000000067,74.1013283349231
53,10,13824,-229.75600000000094,71.58391512064735
54,7,14080,-161.0460000000008,117.20489215045632
55,8,14336,-165.95500000000044,109.9410319444023
56,13,14592,-164.73500000000155,66.7269266863091
57,8,14848,-179.6230000000014,63.0569031986194
58,7,15104,-145.19800000000072,92.9668131969686
59,13,15360,-161.40400000000062,41.60744962143236
60,10,15616,-53.06200000000058,105.56161563750392
61,9,15872,-121.10600000000082,88.67053605341577
62,8,16128,-148.5450000000006,82.22559470748794
63,7,16384,-171.6090000000003,44.882209270489746
64,1,16640,-171.14500000000018,82.48970520616511
65,1,16896,-137.01500000000001,82.96892734632652
66,13,17152,-139.0280000000002,105.52118761651639
67,3,17408,-159.57800000000043,63.621514568579784
68,8,17664,-156.64899999999994,28.080644383631803
69,10,17920,-116.53799999999998,73.00808664798711
70,7,18176,-136.80499999999995,56.02305672667283
71,7,18432,-104.61399999999989,99.95448496190647
72,13,18688,-132.13099999999997,51.27652863640435
73,3,18944,-84.96400000000003,95.55319128108692
74,3,19200,-113.91599999999994,67.47937332251988
75,13,19456,-157.18899999999994,21.00803867570684
76,8,19712,-150.12399999999997,8.360949946028802
77,14,19968,-119.51099999999997,78.95045908036252
78,11,20224,-120.25799999999995,76.94379634512451
79,11,20480,-60.290999999999976,97.19788510559268
80,3,20736,-146.19799999999987,70.56166732723926
81,7,20992,-101.29500000000003,82.6474030142508
82,13,21248,-136.9399999999999,67.53301903513564
83,7,21504,-111.58099999999997,72.89831458271169
84,13,21760,-78.70599999999996,96.89128714182714
85,7,22016,-76.60099999999996,96.51560106532
86,10,22272,-84.48199999999991,103.38740878849796
87,14,22528,-159.1129999999998,71.71101227147744
88,7,22784,-144.9919999999999,65.85699033511929
89,8,23040,-121.24499999999989,85.57644491914809
90,7,23296,-149.46999999999997,11.509581226091518
91,8,23552,-104.85900000000001,80.49680732178138
92,8,23808,-112.43999999999997,86.72312690395793
93,3,24064,-84.91300000000001,93.21560213290476
94,7,24320,-167.20800000000006,17.080305500780707
95,13,24576,-115.58200000000029,86.7029291085372
96,14,24832,-117.94700000000016,86.36652824445392
97,7,25088,-129.73000000000027,72.38307868556056
98,3,25344,-73.25099999999995,101.54153203985074
99,6,25600,-181.41200000000072,16.657186317022557
100,7,25856,-113.40400000000095,103.5670604198079
101,12,26112,-126.8670000000005,72.08036404597365
102,13,26368,-169.1810000000015,52.29444510653179
103,3,26624,-184.23900000000162,3.33062291471144
104,7,26880,-186.3870000000017,2.0777875252297324
105,8,27136,-160.94700000000128,64.48767495421177
106,3,27392,-180.5140000000009,20.238615170016068
107,14,27648,-129.15500000000057,89.95529625875325
108,8,27904,-110.0580000000006,92.14161685145378
109,14,28160,-138.39900000000088,76.00468030983421
110,3,28416,-176.3340000000007,34.4743299282238
111,14,28672,-87.98899999999983,81.43276103018987
112,7,28928,-105.35199999999986,60.58917259709052
113,14,29184,-95.43999999999994,92.98008431917015
114,10,29440,-133.18999999999994,64.67324176195278
115,12,29696,-153.62199999999993,33.195691226422554
116,7,29952,-148.95900000000015,14.395472517427516
117,8,30208,-169.6920000000006,17.694367917504728
118,13,30464,-184.04900000000075,13.431720254680867
119,12,30720,-160.07500000000107,45.06822167558933
120,7,30976,-150.81300000000076,62.95061239575084
121,8,31232,-161.6320000000007,36.83168711856699
122,12,31488,-172.79100000000116,19.73030635849401
123,7,31744,-158.43800000000095,61.09239098283895
124,7,32000,-180.67700000000127,11.358516672524173
125,12,32256,-173.89000000000038,14.978839073840387
126,13,32512,-159.83200000000048,21.306825103708494
127,14,32768,-134.07700000000017,59.7110169148041
128,6,33024,-144.9390000000003,62.77148675155009
129,7,33280,-157.96800000000033,63.82345177127325
130,8,33536,-132.31399999999996,57.61880703381493
131,13,33792,-160.8579999999999,16.0431978109103
132,9,34048,-143.7259999999999,60.981347344905366
133,13,34304,-166.42800000000008,21.43698150393389
134,13,34560,-121.05099999999986,95.37906944922459
135,7,34816,-155.13399999999996,17.890611616152103
136,8,35072,-117.15599999999992,85.78627340081856
137,9,35328,-128.624,57.662665599155254
138,8,35584,-137.93599999999992,65.88815040657913
139,13,35840,-148.57600000000005,43.01929966886978
140,14,36096,-144.03199999999998,68.34910150104393
141,4,36352,-128.46400000000023,97.55478647406291
142,13,36608,-158.07199999999983,75.83569987809163
143,7,36864,-126.73199999999997,94.41679911964832
144,8,37120,-180.94799999999998,21.836201043221696
145,9,37376,-189.95500000000035,27.63343382571183
146,12,37632,-166.70000000000036,70.74816322704086
147,4,37888,-163.94200000000052,71.51093913521233
148,7,38144,-129.35600000000036,107.48905667090062
149,8,38400,-153.20300000000012,80.26760019459927
150,10,38656,-144.7129999999999,69.2937721660467
151,4,38912,-164.059,44.40691938200618
152,8,39168,-150.93099999999995,8.84180009952719
153,6,39424,-141.9889999999999,61.08781489789923
154,3,39680,-114.32999999999996,90.473743041835
155,1,39936,-132.71999999999997,68.25315406631393
156,13,40192,-109.93799999999996,85.27501742010956
157,7,40448,-132.89399999999983,62.19188760602148
158,10,40704,-127.84100000000005,86.03981118645028
159,13,40960,-155.11499999999987,93.96977899835676
160,12,41216,-111.9830000000002,95.61129212075343
161,3,41472,-129.88600000000002,105.67496129168943
162,13,41728,-129.4400000000006,81.2530168055321
163,7,41984,-110.44100000000022,89.90336472568785
164,8,42240,-148.29000000000048,117.64307680437517
165,7,42496,-55.17300000000007,101.8423965792245
166,8,42752,-179.0520000000003,61.68848625148808
167,7,43008,-92.04900000000029,99.38132827146204
168,8,43264,-105.70800000000017,83.81031509307219
169,10,43520,-92.03899999999983,112.1862037373579
170,12,43776,-104.19300000000018,77.65008538952205
171,12,44032,-80.05099999999999,106.42457765478812
172,12,44288,-90.25399999999985,97.82808964709469
173,7,44544,-72.96100000000021,100.46047366501949
174,5,44800,-180.9430000000009,15.782200131794157
175,7,45056,-158.4830000000011,59.23601894962268
176,13,45312,-135.10600000000073,71.73029446475243
177,5,45568,-89.47200000000036,92.6278367230937
178,8,45824,-96.42200000000062,90.6633632510957
179,14,46080,-70.90499999999992,98.34269817836012
180,7,46336,-149.71800000000098,68.56545876751696
181,12,46592,-148.97800000000035,87.05432393626445
182,7,46848,-160.34000000000037,50.42595462656141
183,7,47104,-159.12000000000126,67.29325998939319
184,3,47360,-82.06100000000052,104.65266995638545
185,14,47616,-88.01100000000041,88.03929400557513
186,6,47872,-144.89100000000093,80.83899918356295
187,8,48128,-115.98800000000035,83.843397092437
188,12,48384,-168.18700000000058,66.2312116830126
189,0,48640,-69.6290000000006,105.40792488707929
190,6,48896,-148.10000000000102,74.25771932937407
191,14,49152,-148.9010000000007,69.80198771525087
192,1,49408,-98.87700000000075,97.80420870801093
193,2,49664,-111.61800000000059,99.29917782137021
194,13,49920,-68.6470000000003,94.66568248842944
195,10,50176,-67.33600000000033,96.29518255863137
196,9,50432,-142.32100000000074,78.25949251688309
197,0,50688,-100.98000000000073,98.88639491861431
198,8,50944,-55.62100000000038,100.83979843791906
199,14,51200,-143.00700000000083,68.3498272199725
200,10,51456,-119.95900000000029,72.39099452970686
201,7,51712,-116.77900000000037,89.3532992619751
202,8,51968,-98.76800000000028,98.0731037338986
203,13,52224,-128.65300000000025,86.06684623593473
204,4,52480,-114.13400000000006,72.84120457543247
205,8,52736,-126.74300000000005,73.24491969413324
206,1,52992,-56.916999999999824,101.78595551941333
207,3,53248,-99.69900000000027,102.23298376258067
208,2,53504,-115.82100000000023,73.9396589727057
209,1,53760,-81.07699999999996,88.40387661748775
210,3,54016,-98.81799999999994,84.55177299146366
211,6,54272,-55.36200000000002,93.086852218775
212,12,54528,-141.04500000000039,83.16363427003442
213,11,54784,-104.11300000000037,93.51953732242303
214,7,55040,-130.24900000000017,86.78688961473418
215,13,55296,-130.32900000000038,74.59254030397452
216,7,55552,-111.34200000000074,84.01222730055515
217,7,55808,-132.98500000000075,74.93479261998453
218,13,56064,-64.65800000000006,91.196944334775
219,14,56320,-171.3130000000004,23.083273619658193
220,7,56576,-130.93100000000058,87.00548240771998
221,14,56832,-110.5730000000002,91.52502084676104
222,10,57088,-109.81300000000047,88.36455647486763
223,7,57344,-197.91300000000064,29.662821527966525
224,10,57600,-76.05600000000042,93.41654266777451
225,12,57856,-103.53699999999988,78.78145518458015
226,7,58112,-125.80600000000042,99.79353498097993
227,13,58368,-126.47099999999989,72.54597031538003
228,13,58624,-85.2379999999999,88.98654817442917
229,7,58880,-149.3610000000002,61.15022999956758
230,14,59136,-96.91600000000031,97.67027216098082
231,7,59392,-142.36600000000044,58.78138212053235
232,7,59648,-115.96800000000056,95.81805777618378
233,7,59904,-99.44500000000008,77.65003570507895
234,13,60160,-77.32800000000027,101.65859184545131
235,14,60416,-114.94300000000055,98.12098196104701
236,3,60672,-44.64600000000001,93.5222550198616
237,7,60928,-72.38700000000021,96.4949003885701
238,7,61184,-67.08000000000042,98.45061096814041
239,4,61440,-85.81100000000039,86.12244242356381
240,8,61696,-100.20000000000059,92.16718852172995
241,12,61952,-33.321000000000126,99.72875838493145
242,7,62208,-44.31800000000025,91.71962732152863
243,13,62464,-21.808999999999862,90.86020729120098
244,7,62720,-82.28300000000019,112.52637717886464
245,3,62976,-58.40999999999997,79.96843864925718
246,7,63232,-142.52100000000064,85.44503314412175
247,0,63488,-138.9419999999998,80.59222925319779
248,13,63744,-46.03699999999991,100.90229135653956
249,8,64000,-91.97700000000023,91.03351570163639
250,12,64256,-39.080999999999904,72.6709157022258
251,4,64512,-82.56400000000019,83.74782112986638
252,12,64768,-80.04600000000036,96.28617130201047
253,0,65024,-92.12000000000012,72.52260488978615
254,6,65280,-125.0090000000005,87.19624733324284
255,10,65536,-130.3400000000006,68.10680773608527
256,7,65792,-105.69900000000072,88.9275676548061
257,12,66048,-49.21500000000022,84.49760827976198
258,1,66304,-84.37500000000045,87.14568184941858
259,7,66560,-97.08500000000073,94.55682093323641
260,7,66816,-66.97300000000027,97.44093514021773
261,1,67072,-80.45300000000019,68.51650371260958
262,3,67328,-123.1510000000009,83.33536961578878
263,14,67584,-104.2640000000001,102.19076936788373
264,8,67840,-118.43300000000045,66.69369896024732
265,14,68096,-91.5860000000004,96.26249500194818
266,8,68352,-87.5530000000001,97.60042490173937
267,3,68608,-97.21200000000046,88.65126776307316
268,10,68864,-123.16200000000042,67.32097070007285
269,3,69120,-126.74600000000058,90.0423945927698
270,7,69376,-70.89600000000041,108.52595101633578
271,7,69632,-119.78700000000113,99.52562745845998
272,3,69888,-147.8180000000011,73.31149825232124
273,7,70144,-116.63900000000076,84.6078935383699
274,12,70400,-129.49200000000116,88.98509209974527
275,7,70656,-164.90500000000105,62.250185582053035
276,14,70912,-108.92100000000066,99.47048792983844
277,13,71168,-71.17100000000062,106.28682876537509
278,7,71424,-47.95100000000034,92.47930108408129
279,12,71680,-76.6420000000002,97.09826072592693
280,0,71936,-110.50600000000091,102.44687210452126
281,7,72192,-39.56000000000038,95.88146463211831
282,7,72448,-96.00800000000041,96.95918861046691
283,4,72704,-131.7280000000007,79.05761491469424
284,2,72960,-93.71100000000074,100.33194680160534
285,7,73216,-107.51200000000048,90.3790871606926
286,14,73472,-90.37000000000015,104.1219548414265
287,10,73728,-123.66100000000029,88.56913666170647
288,4,73984,-85.11700000000006,89.78952578669762
289,7,74240,-74.28100000000015,91.1064778651883
290,0,74496,-112.77600000000002,85.01526006547314
291,7,74752,-84.91800000000029,104.2574782737433
292,14,75008,-64.04999999999994,105.40006660339452
293,5,75264,-120.01799999999992,73.21184751117818
294,6,75520,-58.691999999999915,88.84758936515952
295,3,75776,-80.94799999999991,98.35364902229097
296,3,76032,-131.71700000000033,72.04429610316159
297,1,76288,-131.7120000000004,64.27951770198702
298,8,76544,-133.5940000000008,76.35759768353178
299,7,76800,-95.19300000000077,101.27910120553086
300,1,77056,-121.56400000000035,83.42618452260703
301,3,77312,-86.6689999999999,96.24465330084574
302,7,77568,-97.91800000000002,103.13789233836428
303,14,77824,-53.148000000000046,94.38480648918053
304,7,78080,-101.90299999999999,107.37126943926879
305,0,78336,-119.0810000000002,74.80040433714287
306,7,78592,-73.78300000000023,98.31923179622635
307,8,78848,-72.4530000000004,101.67292914537343
308,4,79104,-62.540000000000155,112.9125667939581
309,8,79360,-97.95399999999997,84.96313249874913
310,8,79616,-78.76399999999992,92.42454037754263
311,12,79872,-84.12600000000032,91.30777088506825
312,8,80128,-150.80500000000058,66.44770970469965
313,13,80384,-67.18300000000025,107.41892654928213
314,13,80640,-101.07700000000015,108.07917033822967
315,14,80896,-29.189000000000014,103.73828169485
316,7,81152,-102.89200000000031,101.8493613922054
317,7,81408,-38.1740000000003,99.16197811661537
318,3,81664,-76.9499999999998,84.1215890244592
319,7,81920,-115.16500000000038,91.44663681623325
320,13,82176,-122.28600000000056,97.9138176357152
321,11,82432,-49.665000000000056,99.10190959310547
322,12,82688,-104.76400000000042,100.27142406488535
323,4,82944,-110.24100000000062,91.66085701650465
324,8,83200,-61.03800000000045,108.23895045684856
325,14,83456,-57.51900000000053,104.7310321203805
326,0,83712,-75.91400000000063,101.00165772897076
327,7,83968,-118.37300000000076,92.44694295107938
328,13,84224,-142.55300000000048,71.34393696033342
329,0,84480,-128.75100000000046,80.94466139900804
330,7,84736,-130.51800000000037,83.99572284348797
