Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,5,8984,-105.16,4.6890105566099995
1,6,20586,-103.42,3.295824631256952
2,6,31720,-103.051,3.607169111644203
3,0,44089,-137.90800000000004,6.637532372802392
4,0,55377,-141.36099999999996,19.91904237155977
5,3,67690,-141.48399999999992,10.488866668997114
6,6,82039,-104.725,4.126810511763292
7,0,96206,-167.19999999999976,21.294256972244728
8,0,112720,-203.1579999999996,13.931983204124183
9,0,135659,-180.70400000000072,23.63108977597113
10,0,158230,-188.6720000000004,38.21326570708188
11,6,174817,-112.63900000000001,11.107449257142713
12,6,190871,-109.393,9.631134979845319
13,6,208162,-113.70400000000002,9.695838488753838
14,6,223272,-118.88499999999999,11.546744346351504
15,6,237553,-112.03899999999999,14.413475257549786
16,6,252037,-115.6,13.612934290592879
17,6,270629,-114.34899999999998,14.008754013116212
18,6,287939,-122.39499999999998,14.712749063312376
19,6,308365,-109.41399999999999,7.702569960733894
20,6,328716,-108.81700000000001,9.047339995821979
21,6,349443,-117.511,11.121110061500165
22,5,372684,-105.58600000000001,5.0361020640967995
23,5,394898,-107.34400000000001,5.402879232409331
24,6,416619,-122.428,13.758983828757108
25,6,437849,-115.801,8.903988376003188
26,6,465821,-120.21699999999998,14.792454867262558
27,6,497261,-109.64199999999998,3.217035281124529
28,6,530297,-113.85999999999999,11.67732417979394
29,6,559264,-112.66899999999998,12.287950561423951
30,6,588231,-111.35800000000002,7.9584430638159525
31,6,615477,-125.731,11.725825727853874
32,6,647187,-120.32800000000002,12.619793025244114
33,6,674625,-116.56300000000002,11.813118174300968
34,6,702516,-111.316,14.04941863565891
35,6,729703,-127.96300000000001,14.785401617812047
36,5,757453,-106.19200000000001,4.714282129868772
37,6,789392,-110.16100000000002,4.737341976256316
38,6,818709,-108.934,4.079510264725416
39,6,846921,-114.84700000000001,11.328148171700414
40,6,875414,-117.86800000000001,12.00502544770313
41,6,901941,-112.81899999999999,11.952739811440694
42,3,930655,-140.851,12.258295517729934
43,6,960897,-120.16899999999995,16.570866271863974
44,6,979264,-121.66900000000001,11.878894266723654
45,4,997008,-239.49300000000034,21.90549704982739
46,6,1016852,-115.10800000000002,11.192952961573637
47,6,1036834,-120.01599999999996,17.55107073656758
48,6,1057290,-123.85599999999997,16.236507752592573
49,6,1079652,-116.81800000000001,8.623475865334111
50,3,1101625,-146.03199999999993,14.520478504512075
51,6,1122896,-107.503,4.235750346750851
52,6,1146150,-125.8,13.814581426883683
53,3,1174666,-142.30599999999998,6.899058196594596
54,3,1200300,-148.51899999999992,14.657221735376623
55,6,1224995,-116.48499999999997,16.322179541960665
56,6,1253263,-119.33800000000001,12.450211082547955
57,3,1280627,-141.061,6.494983371803164
58,3,1306957,-144.60700000000003,3.95127333906424
59,3,1331621,-145.31799999999996,4.046425088890156
60,3,1357621,-146.52099999999996,10.18593486136638
61,3,1387289,-146.15199999999996,6.039875495405485
62,3,1413641,-151.02099999999993,6.257816632021059
63,3,1438562,-153.0819999999999,8.015708078516791
64,6,1464564,-128.11899999999997,15.84983813797475
65,3,1493651,-166.82800000000006,37.119370361039635
66,6,1512038,-122.97399999999998,15.59617914747067
67,6,1535108,-119.71900000000001,12.355739921186403
68,3,1559227,-153.34599999999992,9.447931202120333
69,3,1587377,-163.35999999999984,7.7403139471212095
70,6,1615570,-127.81899999999999,14.712594910483974
71,6,1643486,-121.03599999999997,13.978865619212431
72,6,1672557,-122.19099999999999,15.977432490860322
73,6,1705150,-129.90699999999998,15.353016674256528
74,6,1733595,-129.67899999999997,16.507782073918925
75,6,1765967,-125.49699999999999,16.14975792388229
76,6,1798893,-125.08899999999998,13.381628039965802
77,6,1841218,-122.71899999999998,12.157279671044826
78,6,1876398,-124.04499999999999,13.181859694291989
79,6,1917934,-125.407,18.535462794330183
80,6,1956088,-132.05199999999996,14.357764310643859
81,6,1990584,-125.78500000000001,12.367128405575773
82,3,2029733,-196.06599999999958,16.697644264985318
83,6,2070074,-124.006,13.355532336825776
84,6,2110475,-133.25499999999994,13.775654067956236
85,6,2151691,-125.41,15.80438610006724
86,6,2192841,-132.99999999999994,15.215223954973476
87,6,2231548,-122.23299999999998,11.90579358967722
88,6,2272215,-128.47299999999998,15.270061591231359
89,1,2312205,-183.15800000000038,61.93864137999815
90,5,2350402,-136.06,14.493322600425229
91,5,2393223,-138.00999999999993,17.283254901782687
92,6,2436222,-121.78,13.224427397811954
93,6,2473895,-122.425,10.479298879218957
94,5,2512222,-141.16299999999993,18.231750354806714
95,6,2549628,-137.48199999999997,13.477796407425027
96,5,2586489,-136.79199999999997,18.634787790581207
97,5,2629107,-138.95499999999993,14.511606561645648
98,1,2666495,-157.23900000000052,72.72742308785611
99,6,2699389,-128.37099999999998,11.891358585123886
100,5,2733670,-142.04199999999994,17.469302676409132
101,5,2768851,-143.14899999999994,15.625105087646496
102,4,2803867,-166.93800000000056,18.739301908022476
103,5,2836070,-148.96599999999984,22.298613947956333
104,5,2867492,-151.41399999999987,17.512189012227886
105,6,2904873,-118.24000000000001,11.10881001727907
106,5,2939693,-137.55399999999995,19.037517800385512
107,6,2978157,-124.30900000000001,12.676141723726474
108,6,3011544,-120.679,11.95742233928364
109,1,3041411,-193.75700000000057,50.46080915918842
110,5,3077622,-150.60200000000071,61.406643581945126
111,4,3115850,-179.06100000000052,10.652197378945036
112,6,3155636,-127.87900000000002,15.150309204765378
113,6,3193279,-119.45200000000003,11.820100507186874
114,5,3230224,-167.10300000000097,15.440652220680901
115,6,3268231,-131.176,15.317588713632414
116,6,3301989,-123.505,11.265790917640873
117,4,3334962,-183.2090000000012,9.949020504552088
118,6,3367866,-130.849,11.390925730597962
119,5,3403581,-178.34100000000103,4.781364763329231
120,5,3440757,-191.41500000000113,28.608959872739167
121,5,3471615,-172.26600000000101,12.156083415311677
122,6,3509578,-123.91899999999998,14.080557126761674
123,5,3549190,-176.4920000000012,9.886336834238074
124,6,3588832,-132.60699999999997,12.468394483653427
125,6,3629268,-131.914,13.611914780808736
126,5,3670762,-179.40300000000107,9.947680181831684
127,6,3714770,-133.17099999999996,14.243746311978398
128,5,3756045,-156.59500000000068,68.04103221586254
129,6,3796118,-129.63100000000003,8.921841121651928
130,5,3834179,-159.22100000000083,62.41112263851723
131,5,3870589,-177.44400000000113,10.623339587908129
132,6,3903378,-131.71599999999995,16.236845875969827
133,6,3938721,-130.33300000000003,11.41895095882277
134,4,3969787,-162.22899999999987,16.990862514893017
135,5,4003532,-143.3980000000007,64.3468350115221
136,6,4038269,-125.77299999999998,15.155953978552422
137,5,4072533,-181.845000000001,15.551477904044864
138,5,4105376,-145.94500000000068,71.71990326959501
139,5,4145905,-172.37000000000054,26.72333998586258
140,5,4180718,-146.72700000000034,79.60852216314554
141,5,4217210,-170.56200000000044,21.240094067588316
142,4,4251761,-184.12299999999976,19.011364522306
143,0,4287448,-154.00600000000026,14.671070308604396
144,6,4323000,-128.578,12.86083729778118
145,6,4357442,-128.581,11.128350686422467
146,6,4396414,-127.68999999999997,13.022363840716459
147,6,4429120,-135.44199999999995,16.59733400278483
148,5,4466992,-174.52900000000085,13.211420400547714
149,6,4504922,-127.53099999999999,10.743469132454344
150,0,4546313,-168.5720000000007,11.906201577329933
151,6,4588193,-120.91300000000005,6.088055600928784
152,6,4628756,-132.00699999999998,14.250552305086217
153,6,4670044,-131.21799999999996,17.21090456658213
154,6,4713095,-126.66099999999999,14.323050966885468
155,6,4755527,-121.24300000000001,10.63474781083218
156,1,4795261,-165.8280000000006,19.043725895948413
157,0,4834354,-162.0470000000002,22.895452845488723
158,6,4874745,-133.24599999999998,12.622000792267386
159,3,4911456,-129.3800000000005,78.64331376538027
160,0,4955921,-161.4800000000006,12.351457403886188
161,6,4995044,-127.75300000000001,11.607817236672846
162,0,5035584,-170.7320000000006,13.359350133895273
163,5,5071012,-147.1860000000002,47.52339175606075
164,6,5107079,-130.76500000000001,10.353097362625318
165,3,5149114,-164.7810000000001,18.629401198106233
166,3,5186635,-170.08300000000037,17.96729587333634
167,6,5222679,-129.46599999999998,11.222765434597619
168,6,5262803,-126.81400000000001,12.85690802642684
169,6,5301590,-122.926,13.58401060070256
170,6,5337806,-129.358,12.814398776376484
171,6,5376567,-125.88400000000001,10.463188041892368
172,0,5409915,-156.87000000000057,19.09741500832048
173,3,5441127,-163.34200000000038,11.885202396257732
174,3,5474387,-167.1980000000005,15.530806675765566
175,6,5508720,-129.72700000000003,11.95982612749864
176,2,5540769,-156.84399999999997,26.028587821854487
177,2,5573057,-145.0669999999999,68.0360525089455
178,2,5609492,-150.86299999999986,62.1270913611767
179,3,5643489,-118.90400000000014,83.08449701358253
180,2,5676573,-100.6809999999999,89.12085350242108
181,2,5711937,-133.21399999999997,58.96265686008392
182,3,5744777,-143.1450000000002,62.78944437562746
183,3,5774417,-116.65000000000023,71.91539515291583
184,3,5806827,-121.27300000000021,77.23193187406375
185,2,5839232,-83.74499999999995,104.4033719043597
186,0,5872125,-142.8589999999999,62.210203737007625
187,0,5901247,-103.88599999999983,112.97328615208106
188,5,5932114,-127.46999999999994,75.74157365674408
189,2,5963621,-76.74199999999993,94.13227967068472
190,3,5993997,-106.6530000000004,89.59653074198827
191,0,6023769,-151.13999999999973,83.60875839288605
192,3,6054719,-118.79600000000012,70.91073109198643
193,0,6085863,-121.31000000000006,84.71205616675839
194,0,6114530,-81.50399999999979,93.61958162692251
195,2,6148284,-108.13299999999988,81.74394706031764
196,1,6181152,-166.64900000000065,13.834781855888261
197,2,6216878,-138.04399999999993,51.53616365233255
198,0,6253192,-114.03600000000014,80.79576785946156
199,1,6282342,-167.679,18.826624471742004
200,1,6316485,-145.6700000000004,59.830977929497585
201,1,6348530,-165.6470000000007,14.346329182059723
202,5,6378469,-92.43000000000002,85.96753014946972
203,0,6406713,-104.12300000000009,72.92830507423022
204,2,6437162,-105.30799999999992,104.90704645542182
205,1,6468627,-162.5140000000004,13.967688570411827
206,1,6497696,-176.72300000000115,8.382460319023721
207,0,6526775,-116.18100000000018,61.41692119440682
208,5,6560684,-91.38300000000002,90.21013280668629
