Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14
0,-133.06,-134.30200000000002,-102.85,-127.78599999999999,-105.4,-143.8569999999999,-130.48000000000002,-107.98299999999999,-123.25600000000001,-101.95000000000002,-112.06300000000002,-104.641,-121.53999999999999,-127.84000000000003,-140.28999999999994
1,-141.60399999999996,-131.143,-126.95800000000004,-101.67699999999999,-102.247,-169.1189999999999,-135.96399999999997,-111.08800000000001,-139.32999999999998,-128.2,-134.17,-119.72200000000002,-133.61799999999994,-136.42000000000002,-134.176
2,-138.30999999999997,-144.24999999999991,-145.14900000000043,-111.91900000000001,-142.43500000000003,-172.43600000000092,-141.34599999999995,-130.27300000000002,-134.85700000000003,-141.83199999999994,-125.53000000000002,-128.10700000000003,-117.18999999999997,-139.93,-180.3980000000002
3,-124.72300000000004,-134.10999999999999,-141.37899999999996,-124.26100000000005,-140.21499999999995,-186.36699999999976,-142.83699999999993,-135.937,-154.40799999999984,-104.227,-138.24999999999994,-140.42199999999997,-122.01100000000004,-133.89999999999998,-133.97800000000007
4,-132.01600000000002,-146.60199999999992,-121.75900000000004,-132.619,-145.31199999999993,-163.7799999999998,-134.90800000000002,-136.528,-208.87299999999973,-105.928,-135.16,-136.94199999999995,-127.18300000000004,-131.29000000000002,-156.9339999999999
5,-126.36100000000002,-140.99499999999995,-148.80999999999992,-132.32200000000003,-151.09899999999988,-157.95099999999985,-153.6129999999999,-144.37299999999993,-170.65899999999982,-107.6099999999999,-139.003,-130.33000000000004,-132.09700000000004,-128.26000000000005,-208.77399999999975
6,-133.489,-166.37499999999977,-134.2330000000009,-147.40899999999993,-131.62900000000005,-186.196,-143.46399999999988,-139.60899999999998,-146.80899999999994,-128.69199999999998,-147.02499999999992,-128.863,-128.80900000000003,-132.61,-132.622
7,-140.52399999999994,-190.4649999999996,-212.99799999999973,-160.80099999999982,-133.16199999999998,-184.05399999999958,-145.08699999999993,-141.22299999999996,-168.3159999999998,-139.09000000000003,-164.7309999999998,-141.45099999999996,-135.51999999999992,-140.07999999999996,-134.557
8,-144.80799999999994,-177.12399999999968,-184.67499999999976,-159.26499999999982,-154.35999999999984,-208.26999999999947,-142.90599999999992,-156.3099999999998,-166.1649999999998,-155.56299999999993,-148.582,-138.09099999999998,-143.09199999999993,-125.62000000000003,-135.124
9,-153.66699999999986,-211.6269999999995,-155.92899999999992,-168.95799999999977,-150.11799999999988,-250.07800000000026,-142.76799999999994,-134.278,-197.4249999999996,-155.2150000000001,-140.56300000000002,-133.11400000000003,-138.63999999999996,-131.13400000000001,-137.45199999999997
10,-144.49299999999994,-200.2059999999995,-162.3819999999999,-176.24799999999965,-144.47499999999994,-236.9780000000015,-137.40699999999998,-151.08699999999988,-185.8509999999998,-151.02399999999997,-180.4549999999997,-141.81699999999995,-137.06799999999993,-140.12199999999996,-154.40799999999984
11,-170.0529999999998,-208.70799999999957,-176.71599999999984,-177.03999999999968,-130.96300000000002,-177.3540000000011,-144.5649999999999,-144.78699999999992,-176.62899999999976,-142.24200000000005,-171.14799999999983,-137.602,-129.20499999999998,-132.463,-150.73599999999988
12,-181.5969999999997,-265.4590000000007,-156.7179999999999,-168.52899999999974,-139.64199999999997,-224.816000000001,-130.73500000000004,-135.24099999999999,-216.42300000000006,-164.92599999999987,-171.89199999999968,-135.64600000000002,-127.97800000000004,-133.186,-152.83599999999993
13,-193.91499999999968,-230.13999999999965,-194.37099999999987,-174.59799999999973,-162.4269999999998,-182.98500000000132,-150.40599999999986,-151.22199999999992,-147.09099999999998,-167.11900000000043,-152.35899999999987,-128.011,-140.48199999999997,-134.08300000000003,-174.95199999999969
14,-194.00099999999983,-240.18900000000036,-192.69899999999998,-189.2889999999996,-146.28399999999993,-282.0910000000014,-143.38299999999992,-162.46899999999977,-158.6799999999999,-179.37999999999994,-198.20499999999998,-130.52800000000002,-139.61499999999998,-132.53800000000004,-162.90699999999984
15,-192.3890000000005,-243.49899999999997,-215.04700000000025,-173.6109999999997,-137.503,-232.317000000001,-151.36599999999984,-147.79299999999992,-156.09099999999995,-199.99899999999965,-183.55299999999963,-132.30100000000004,-144.1329999999999,-144.96699999999998,-225.6789999999995
16,-213.0960000000004,-253.4200000000003,-196.04499999999962,-180.63099999999966,-143.73999999999995,-224.8740000000002,-153.62800000000001,-175.16199999999986,-194.478,-235.85300000000052,-186.3999999999996,-112.744,-141.63699999999994,-142.63600000000002,-212.4669999999995
17,-229.45200000000023,-288.2540000000024,-246.17500000000013,-183.24699999999962,-165.55599999999978,-211.32700000000105,-155.48499999999984,-207.43300000000005,-231.08100000000007,-228.40700000000044,-171.18999999999977,-117.50200000000002,-152.29299999999984,-139.879,-171.18999999999977
18,-213.1300000000005,-194.23899999999966,-198.21700000000175,-163.98099999999977,-163.078,-191.12900000000016,-157.1079999999998,-186.32199999999966,-193.8900000000003,-227.8850000000003,-162.68199999999982,-108.25600000000001,-137.73999999999995,-136.66900000000004,-168.03099999999984
19,-238.29600000000056,-206.36399999999995,-230.99200000000081,-156.66699999999983,-173.85399999999976,-184.5910000000014,-153.51699999999985,-172.55499999999978,-216.73000000000042,-184.53300000000007,-160.79799999999983,-129.04299999999998,-136.40799999999996,-154.34199999999984,-166.0209999999999
20,-239.97600000000048,-216.2139999999998,-222.73500000000095,-155.73999999999987,-147.10099999999983,-196.28100000000205,-141.03699999999995,-176.0649999999997,-176.35100000000074,-163.33599999999996,-165.09699999999984,-149.81199999999993,-138.83199999999997,-166.43499999999977,-173.85999999999981
21,-249.48800000000105,-225.11700000000027,-212.44200000000063,-144.25599999999991,-173.08899999999977,-189.49900000000105,-151.5489999999999,-177.47799999999978,-161.56800000000004,-154.9149999999999,-164.7609999999998,-147.45399999999995,-140.17299999999994,-149.35899999999987,-181.77999999999977
22,-217.5270000000009,-222.25000000000077,-187.9870000000006,-156.3909999999998,-172.7709999999998,-190.5769999999996,-156.37299999999985,-182.2209999999997,-96.17500000000021,-217.87200000000013,-162.15699999999984,-145.53099999999995,-140.91099999999994,-155.10699999999989,-217.99299999999965
23,-190.46900000000014,-235.2740000000018,-201.74499999999966,-151.85499999999985,-153.87499999999997,-198.97899999999976,-155.69499999999982,-185.57499999999987,-152.05400000000049,-208.455,-164.13699999999983,-143.36199999999994,-156.28599999999983,-161.71899999999977,-220.11699999999956
24,-169.37300000000093,-229.10700000000125,-179.70699999999974,-143.71299999999994,-202.72899999999981,-237.21000000000066,-155.11299999999986,-188.6229999999996,-221.23800000000074,-196.16399999999993,-218.90499999999957,-150.1359999999999,-152.65899999999988,-149.3769999999999,-195.84999999999965
