Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,256,-123.79600000000002,0
1,0,512,-122.69799999999995,0
2,0,768,-132.31900000000005,0
3,0,1024,-132.877,0
4,0,1280,-141.31899999999993,0
5,0,1536,-137.92899999999997,0
6,0,1792,-137.758,0
7,0,2048,-136.39299999999997,0
8,0,2304,-135.67,0
9,0,2560,-140.92899999999992,0
10,0,2816,-141.83199999999994,0
11,0,3072,-139.81299999999993,0
12,0,3328,-145.8789999999999,0
13,0,3584,-139.43799999999993,0
14,0,3840,-137.82999999999998,0
15,0,4096,-150.38499999999982,0
16,0,4352,-143.11899999999994,0
17,0,4608,-142.63299999999992,0
18,0,4864,-141.8379999999999,0
19,0,5120,-140.82099999999994,0
20,0,5376,-156.55199999999994,0
21,0,5632,-163.2339999999998,0
22,0,5888,-160.7499999999999,0
23,0,6144,-157.2309999999999,0
24,0,6400,-161.51499999999982,0
25,0,6656,-172.29900000000052,0
26,0,6912,-164.12499999999977,0
27,0,7168,-170.40099999999978,0
28,0,7424,-168.36999999999972,0
29,0,7680,-163.41399999999982,0
30,0,7936,-175.59999999999974,0
31,0,8192,-164.43899999999982,0
32,0,8448,-171.77499999999975,0
33,0,8704,-172.0149999999998,0
34,0,8960,-179.53700000000123,0
35,0,9216,-183.78000000000162,0
36,0,9472,-182.913000000001,0
37,0,9728,-174.3580000000008,0
38,0,9984,-169.95099999999985,0
39,0,10240,-184.50099999999975,0
40,0,10496,-162.43299999999988,0
41,0,10752,-174.3940000000012,0
42,0,11008,-177.36700000000138,0
43,0,11264,-189.7490000000006,0
44,0,11520,-176.96799999999976,0
45,0,11776,-172.88199999999978,0
46,0,12032,-176.69499999999974,0
47,0,12288,-175.99600000000137,0
48,0,12544,-159.46000000000043,0
49,0,12800,-166.89099999999985,0
50,0,13056,-167.2389999999998,0
51,0,13312,-158.7630000000006,0
52,0,13568,-170.12199999999982,0
53,0,13824,-160.31700000000058,0
54,0,14080,-181.71099999999984,0
55,0,14336,-178.60200000000114,0
56,0,14592,-188.67899999999992,0
57,0,14848,-181.61000000000107,0
58,0,15104,-175.977,0
59,0,15360,-179.15200000000024,0
60,0,15616,-164.25499999999974,0
61,0,15872,-169.9569999999998,0
62,0,16128,-162.9880000000005,0
63,0,16384,-173.88900000000004,0
64,0,16640,-159.36700000000008,0
65,0,16896,-174.4719999999998,0
66,0,17152,-172.38900000000024,0
67,0,17408,-167.54400000000123,0
68,0,17664,-173.6949999999998,0
69,0,17920,-167.38399999999976,0
70,0,18176,-170.8460000000003,0
71,0,18432,-170.8930000000002,0
72,0,18688,-173.47500000000107,0
73,0,18944,-164.57799999999983,0
74,0,19200,-152.38699999999986,0
75,0,19456,-167.4459999999998,0
76,0,19712,-154.03899999999987,0
77,0,19968,-147.62499999999994,0
78,0,20224,-154.83099999999985,0
79,0,20480,-156.89800000000065,0
80,0,20736,-143.0510000000005,0
81,0,20992,-150.82900000000024,0
82,0,21248,-156.8949999999998,0
83,0,21504,-147.1970000000005,0
84,0,21760,-152.0859999999999,0
85,0,22016,-166.78700000000066,0
86,0,22272,-144.5109999999999,0
87,0,22528,-152.39199999999983,0
88,0,22784,-158.75800000000052,0
89,0,23040,-154.53000000000065,0
90,0,23296,-147.32200000000003,0
91,0,23552,-152.992,0
92,0,23808,-142.47500000000042,0
93,0,24064,-154.44700000000097,0
94,0,24320,-146.238,0
95,0,24576,-155.93000000000038,0
96,0,24832,-148.4030000000004,0
97,0,25088,-159.9280000000009,0
98,0,25344,-146.10600000000096,0
99,0,25600,-147.6359999999998,0
100,0,25856,-149.69799999999987,0
101,0,26112,-151.9560000000002,0
102,0,26368,-154.99400000000054,0
103,0,26624,-140.92900000000026,0
104,0,26880,-144.12099999999992,0
105,0,27136,-145.88799999999998,0
106,0,27392,-128.6459999999999,0
107,0,27648,-136.72299999999998,0
108,0,27904,-137.623,0
109,0,28160,-139.47699999999995,0
110,0,28416,-130.13899999999998,0
111,0,28672,-147.7389999999999,0
112,0,28928,-137.176,0
113,0,29184,-143.03199999999995,0
114,0,29440,-142.166,0
115,0,29696,-145.12899999999996,0
116,0,29952,-145.51599999999996,0
117,0,30208,-128.63399999999987,0
118,0,30464,-123.22600000000011,0
