Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,10,256,-107.35300000000002,10.90985339039899
1,6,602,-125.46700000000006,3.4955716270733257
2,14,1084,-131.13400000000001,7.186772850174087
3,9,1492,-138.24399999999997,12.347628274288054
4,8,1881,-150.31899999999987,21.958672295928796
5,0,2228,-128.19400000000002,6.024233063220568
6,12,2677,-152.10699999999994,24.161577783745678
7,2,3357,-136.18900000000002,10.3439203883247
8,11,3845,-135.64000000000004,18.034611723017477
9,7,4327,-168.68799999999985,21.70519882424472
10,5,4936,-159.23499999999981,19.154483156691892
11,3,5531,-189.7089999999997,21.37042603693244
12,4,6284,-195.93099999999987,31.655553209508568
13,13,7258,-133.65099999999998,12.154947511198806
14,1,7905,-188.46399999999977,25.0522554673229
15,9,8455,-202.65400000000045,65.26541997106935
16,0,9044,-139.26999999999995,28.262958443871128
17,13,9388,-141.48399999999992,15.62843830969674
18,14,9777,-140.035,9.124254764088882
19,1,10173,-191.4279999999996,17.35161306622516
20,5,10694,-186.7989999999996,16.936109618209134
21,8,11177,-154.5849999999999,5.7133147121438626
22,7,11796,-179.14599999999976,9.725690926612815
23,4,12506,-214.61999999999983,19.09840935784947
24,3,13171,-211.37799999999953,16.799776069936183
25,12,13862,-174.4629999999998,10.179256407026934
26,10,14641,-180.7569999999998,24.720540467392542
27,11,15253,-175.72599999999983,11.43996258735134
28,2,16090,-185.49100000000004,42.341860244916205
29,6,16689,-184.87500000000017,59.79789314850497
30,14,17265,-179.17899999999975,7.773393660429087
31,0,18045,-192.6780000000006,22.971510964670973
32,13,19219,-209.67800000000003,30.131775852079684
33,0,20077,-197.74400000000077,33.49832748063664
34,14,21332,-203.47399999999982,80.77564944957116
35,13,22253,-241.25500000000005,13.221373037624003
36,0,23199,-181.60200000000071,79.76386698248776
37,13,24454,-219.32499999999982,24.35194910063715
38,12,25497,-152.7770000000009,61.28225143546914
39,14,26104,-207.81400000000022,84.86736395105012
40,10,27359,-73.44600000000011,94.82678516115605
41,9,28572,-132.17500000000018,87.36551965735718
42,9,29497,-27.47099999999988,67.35641253065666
43,5,30039,-61.847999999999935,99.0151631620127
44,11,30662,-12.766999999999976,90.7614565826265
45,7,31442,-43.12999999999978,92.30848357545474
46,3,32208,-29.211999999999893,89.45196977149239
47,6,33367,-142.7459999999998,83.55730275685058
48,3,34043,-110.25399999999986,89.4070787130415
49,8,34700,-158.98100000000002,80.03935062830026
50,4,35606,-97.4879999999999,109.76190821956402
51,2,36347,-64.43999999999991,92.14535842895185
