Episode Number,Ideal Algorithm ID,Ideal Reward
0,13,-128.08
1,0,-127.14100000000003
2,8,-135.04000000000002
3,0,-127.87900000000002
4,0,-131.41000000000003
5,5,-133.12000000000006
6,7,-112.50100000000002
7,3,-132.373
8,3,-135.85299999999998
9,0,-128.27800000000005
10,14,-133.438
11,1,-130.25500000000002
12,9,-133.531
13,7,-119.95900000000003
14,14,-127.42600000000002
15,1,-131.215
16,1,-133.495
17,0,-130.89100000000002
18,0,-135.406
19,3,-130.834
20,3,-134.884
21,3,-130.657
22,1,-130.153
23,0,-132.89499999999998
24,0,-132.42400000000004
25,0,-146.5749999999999
26,1,-155.38899999999984
27,0,-144.37899999999993
28,0,-141.23199999999994
29,6,-157.4509999999997
30,7,-156.83899999999988
31,5,-105.9439999999998
32,2,-160.93699999999984
33,6,-169.64199999999974
34,7,-161.65200000000144
35,5,-166.20600000000104
36,14,-149.08799999999968
37,1,-167.69499999999977
38,9,-166.29399999999987
39,8,-157.529
40,4,-160.4319999999999
41,8,-173.29899999999984
42,12,-174.58500000000134
43,6,-174.57900000000035
44,6,-167.44800000000018
45,3,-177.8319999999998
46,3,-169.38099999999986
47,14,-163.21300000000002
48,5,-113.56299999999995
49,7,-126.06399999999988
50,5,-155.8610000000004
51,5,-144.09000000000043
52,5,-119.09799999999981
53,4,-87.64599999999997
54,12,-158.18600000000058
55,6,-79.13300000000027
56,11,-45.67200000000005
57,13,-77.04499999999999
58,12,-65.0
59,6,-13.757999999999939
60,1,-60.85799999999991
61,7,-82.40599999999989
62,5,-36.17499999999993
63,7,-24.557999999999787
64,1,-75.84299999999989
65,10,-80.76399999999988
66,5,-78.58499999999982
67,6,-47.251999999999875
68,9,-42.78499999999981
69,1,-44.87599999999982
70,12,-41.54499999999993
71,9,-65.06199999999978
72,11,-36.861999999999775
73,5,-45.00199999999984
74,4,-43.952999999999705
75,6,-62.218999999999866
76,10,-122.2880000000002
77,1,-147.0800000000003
78,4,-66.6599999999999
79,13,-35.99999999999976
80,11,-46.1419999999998
81,4,-31.607999999999755
82,11,-56.227999999999724
83,4,-31.96099999999988
84,8,-23.87399999999981
85,10,29.689000000000128
86,6,-1.2249999999997954
87,6,-33.676999999999865
88,1,-32.14799999999976
89,2,-21.038999999999845
90,10,6.31400000000015
91,5,17.837000000000018
92,5,-9.098999999999862
93,9,-16.26299999999983
94,12,-18.946999999999928
95,7,-9.419999999999908
96,7,-4.485999999999774
97,7,-20.150999999999847
98,9,-22.391999999999815
99,6,2.8190000000001674
100,6,-23.708999999999786
101,14,-11.610999999999972
102,6,-97.077
103,14,-64.58299999999974
104,6,-15.83199999999972
105,14,-26.9479999999999
106,7,3.616000000000214
107,8,-30.81100000000011
108,0,-41.82399999999988
109,13,-33.85699999999984
110,4,-32.5299999999998
111,7,-67.83500000000018
112,14,-30.1769999999998
113,10,-22.1729999999998
114,10,-23.213999999999864
115,4,-39.69499999999981
116,11,-32.21699999999977
117,1,-48.33199999999976
