Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,4,256,-123.52900000000002,3.3268917926497124
1,2,601,-135.77499999999998,17.715899215111683
2,6,1019,-123.78400000000002,6.087735539591063
3,14,1383,-144.7899999999999,16.699278427524796
4,3,1729,-136.858,8.462831441072144
5,5,2077,-150.87699999999984,27.051805133853584
6,13,2418,-146.515,25.921452216262782
7,11,2975,-123.31000000000003,13.755004907305576
8,8,3430,-138.92500000000004,3.297878863754676
9,10,3845,-139.50399999999996,17.5190229179597
10,0,4368,-138.39199999999994,58.05540884362106
11,12,5348,-138.37000000000003,7.59929075637979
12,1,5779,-152.48499999999993,14.136286817973037
13,7,6174,-151.73199999999989,14.744920345664696
14,9,6600,-140.01399999999998,8.40938903844977
15,8,7212,-142.36299999999997,8.787526443772398
16,7,7672,-159.04299999999986,31.93036424784391
17,1,8008,-161.38599999999985,14.839328286684605
18,10,8562,-150.41499999999994,16.597919899794572
19,4,8995,-143.96499999999997,9.31015816192178
20,2,9717,-171.95799999999986,31.273883289415593
21,11,10390,-175.9329999999998,15.21654563296139
22,12,10979,-143.86599999999993,14.329683318203426
23,14,11413,-144.76899999999992,11.99091443552149
24,0,11827,-180.03099999999972,20.315494308531967
25,9,12395,-169.6659999999998,31.42437436131384
26,13,12808,-167.40699999999984,25.28719361653231
27,1,13684,-204.5709999999996,20.592556155076906
28,9,14362,-169.68699999999978,26.682885919630056
29,10,15016,-207.01299999999964,17.3703287533656
30,3,15840,-176.36799999999974,38.304093984846894
31,1,16314,-195.99999999999986,41.08330828937727
32,5,17121,-170.0949999999998,14.718027211552382
33,3,17654,-167.62299999999976,25.25571858015509
34,5,18147,-177.33099999999973,19.75035617400339
35,3,18873,-179.34699999999972,13.144029861499767
36,5,19449,-164.78799999999984,10.154228478816025
37,1,20046,-199.98999999999975,21.441938345215085
38,1,20746,-166.81599999999986,16.33145443614856
39,5,21437,-176.35299999999975,12.15180319952549
40,2,22162,-155.10500000000053,79.31948868342523
41,13,23267,-150.72900000000078,70.29892935884608
42,0,23873,-231.3530000000007,38.62239740098997
43,14,25128,-232.08900000000003,16.22714235470903
44,12,26375,-226.69400000000036,28.090249269096834
45,8,27351,-168.35900000000146,49.03337342055977
46,11,28606,-152.1040000000013,67.77637910068748
47,3,29578,-248.1730000000004,21.437704657915578
48,6,30682,-152.94999999999982,32.34196190709497
49,1,31052,-163.34000000000052,63.279584069429426
50,3,32307,-244.78300000000007,13.490906604080138
51,3,33242,-236.85999999999996,21.10437205888922
52,4,34131,-128.4710000000003,78.85747883999353
53,6,34927,-130.69000000000005,5.030795165776471
54,6,35309,-136.20999999999998,12.971696111148965
55,2,35649,-131.92400000000038,96.53401630513483
56,0,36904,-100.87800000000065,102.27852147934153
57,7,37756,-175.36300000000074,77.96243006089568
58,6,39011,-133.58199999999997,10.36330622919146
59,12,39345,-210.30199999999985,79.57903867225335
60,2,40529,-201.8760000000014,37.496640969558875
61,3,41784,-217.39999999999992,67.18979386781916
62,2,42882,-179.96700000000143,49.34866665878652
63,5,44137,-171.39600000000138,66.59152411531099
64,2,45298,-147.88099999999991,57.05085914339924
65,3,45913,-196.5640000000017,29.864745503687114
66,5,47168,-198.72000000000105,18.034669944303534
67,3,48423,-249.33800000000102,32.4696660900599
68,5,49678,-188.7910000000009,77.74621925855968
69,2,50933,-96.32700000000025,83.8524417116166
70,5,51795,-172.81900000000115,44.3520237306037
71,3,52721,-230.5620000000011,38.25894217042565
72,4,53865,-82.33900000000007,75.7221372453261
73,2,54545,-95.54200000000003,80.57391399206065
74,13,55455,-166.56799999999987,19.597450752585075
75,7,56246,-117.05199999999986,87.41452989063085
76,8,57066,-113.01099999999992,88.30494827018481
77,8,57975,-109.98400000000001,92.34324157186612
78,14,58967,-109.1830000000006,84.39980841802951
79,1,60117,-159.44100000000046,91.55989410762805
80,10,61180,-171.23300000000089,47.47899831504484
81,9,62435,-140.63800000000077,87.47136489160373
82,11,63690,-128.04300000000052,92.33898288913564
83,5,64483,-141.23000000000073,83.11741069114262
84,7,65121,-125.07399999999993,99.24123681212374
85,2,66376,-70.39399999999998,99.05560390003181
86,14,67116,-134.1160000000005,106.63599525488603
87,12,68371,-153.63600000000054,75.06753961600195
88,1,69626,-83.56499999999991,103.98912695565836
89,9,70387,-114.00300000000024,95.77484774720361
90,7,71364,-101.41199999999996,82.82021405429953
91,6,71892,-161.3930000000003,56.95884848730727
92,5,73147,-146.31000000000083,103.12629170100169
93,5,74152,-152.27900000000062,106.32849114418985
94,5,75340,-178.86800000000056,24.338077902743184
95,6,76078,-84.06700000000018,100.57339976852747
96,3,77333,-195.20500000000166,30.775535494934992
97,5,78191,-147.25000000000048,79.9605670315064
98,5,79130,-175.9310000000003,50.24258521413886
99,1,80239,-127.6589999999999,76.5939661396379
100,3,80873,-178.11000000000095,45.95210071367808
101,5,82128,-161.4640000000001,56.79346092641307
102,1,83046,-99.78799999999983,74.36550635879524
103,7,83639,-70.00300000000006,91.59237850934974
104,3,84235,-155.50200000000103,73.48384200625368
