Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,256,-3.4631816227021943,10.69424792459392
1,0,512,-0.7767393945727263,9.285654277505158
2,0,768,-6.532151779994036,11.448785537665335
3,0,1024,0.9723886067137334,11.630230650797872
4,0,1280,-4.375689323564993,9.27558617501162
5,0,1536,2.2262888449741625,13.693982143442758
6,0,1792,-3.8695246268859167,11.16890869848268
7,0,2048,-1.9622195748817024,9.313288884637242
8,0,2304,1.8371781087692998,10.78015073696935
9,0,2560,-2.7219141156283384,9.932777520879219
10,0,2816,-6.973643993212891,9.079498462494115
11,0,3072,-3.3290756173955187,7.03512502575652
12,0,3328,-3.946919392313383,9.594325660211483
13,0,3584,-6.134144962966132,11.570311261935482
14,0,3840,-1.8125864105077731,12.301119398427883
15,0,4096,2.9929936449644514,8.488357475843003
16,0,4352,-5.8141482779225635,9.625591324529944
17,0,4608,-3.4444186536463386,8.245366490347381
18,0,4864,1.1337564578718768,7.170907369154623
19,0,5120,-5.870162026567438,11.134314145164376
20,0,5376,-2.14682387470635,9.868261457667794
21,0,5632,-4.931624482562633,7.199440111787975
22,0,5888,-4.741148350389857,10.741251544141987
23,0,6144,-1.8736299943029953,11.052847396363742
24,0,6400,-3.038514104061512,9.129533471174332
25,0,6656,-6.5210280039730435,9.934489658726658
26,0,6912,2.2661691604003904,11.04252061852923
27,0,7168,0.10078529305005687,12.015902824124073
28,0,7424,-0.007153132018063247,12.070225882252307
29,0,7680,0.41596912979138806,10.159649179405921
30,0,7936,-6.55675149683149,8.933916571023087
31,0,8192,-6.031813598941719,9.895720567647682
32,0,8448,-3.878409415257525,12.839976229231892
33,0,8704,5.907994622416253,7.551504149726773
34,0,8960,-3.455610399776436,12.880202996277882
35,0,9216,4.182865694517226,12.343263861106486
36,0,9472,-9.657779877766611,8.51340743507345
37,0,9728,-4.306979443975004,13.882834640849344
38,0,9984,-5.424181397977455,10.99814169849107
39,0,10240,-0.6273259983565772,13.957166346236155
40,0,10496,-1.1840067083685297,8.572033250548493
41,0,10752,4.339940700105887,7.6777203273769015
42,0,11008,-1.6125861295871828,10.682503115128506
43,0,11264,-3.3807581117378076,9.587164028856103
44,0,11520,-4.174491224552599,11.301420742875951
45,0,11776,1.4798657752005702,13.036027540830348
46,0,12032,-4.457268632072438,11.432568801759675
47,0,12288,-7.210880596452959,9.328511274893796
48,0,12544,-5.049555150430676,13.364312474357035
49,0,12800,3.1972476176346616,7.458947192250664
50,0,13056,2.705311859734559,8.803453997019323
51,0,13312,-8.87586016864943,12.20134238110327
52,0,13568,1.6542887601683725,9.171038480072264
53,0,13824,-4.539652117164611,10.012504154067951
54,0,14080,-4.3773829421132895,8.694173573554027
55,0,14336,-7.7585502149037096,11.828506740741878
56,0,14592,2.034510661121783,9.743276963626805
57,0,14848,-2.7288167791399407,13.952506000603906
58,0,15104,-1.1208907774504184,12.298830603032657
