Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,9,256,7.992051336927713,6.1341777209779265
1,16,512,-5.511274941779467,11.065701990692528
2,5,768,-22.226222106670047,19.29970499557776
3,14,1024,-22.87754573171868,11.099236268436439
4,19,1280,-44.102799526003935,13.006828024575293
5,0,1536,-26.23594536459037,16.009909326911902
6,19,1792,-15.993967351249424,20.131797467941837
7,5,2048,-12.847722516849089,8.310824369174195
8,17,2304,-21.655994670750484,13.866524283496512
9,7,2560,-16.28589669887164,12.664732456988713
10,9,2816,-22.575563760866615,23.057027176020366
11,3,3072,-43.941464702542405,27.36617530017158
12,14,3328,-37.14041680966319,12.72471301178387
13,19,3584,-55.47428694160978,19.2349700705283
14,14,3840,-37.322827499063315,23.06759901969689
15,16,4096,-38.33802668737073,18.846665627782208
16,19,4352,-22.32332659997387,16.863716670889
17,5,4608,-18.619450805697248,15.231391796344017
18,4,4864,-31.404413878481712,23.57558398989606
19,7,5120,-22.691043771523617,26.792642891828947
20,7,5376,-42.57275008592044,23.148096395508276
21,13,5632,-30.738445949374,20.86561219621827
22,19,5888,-37.7158216844807,22.43311938648833
23,19,6144,-5.485393552857362,10.992447363468612
24,9,6400,-9.979007684265682,10.364085850266093
25,9,6656,-23.632349668399396,15.528463093667673
26,4,6912,-13.362904846597095,14.579793132489808
27,9,7168,-17.928939363416383,6.894139843806649
28,19,7424,-24.602954474784053,12.500359520751553
29,7,7680,-19.96166717277442,16.194763028149037
30,17,7936,-16.6557461444974,13.31959055283039
31,5,8192,-17.057281650543082,14.150099047552684
32,19,8448,-2.6947042302287945,12.963607382527895
33,2,8704,-5.666604815664815,12.241804539235464
34,5,8960,-9.400957451591319,7.561542383373657
35,5,9216,-6.286604831484739,11.335060548459518
36,9,9472,-10.554638381542748,8.488177963382366
37,9,9728,-3.3707258325845424,9.455517334306203
38,19,9984,-9.767692145231191,9.717136619567066
39,9,10240,1.0290826345468338,7.078808349692113
40,7,10496,-1.0749434783322753,7.1734606864135655
41,9,10752,2.887001614429033,9.47812224501687
42,0,11008,-1.2915225475827234,7.7333206220610755
43,3,11264,-5.3790557349577695,13.24994366363642
44,5,11520,-7.640070732163719,11.155024811204635
45,7,11776,-6.4173544253172725,7.2267888139036875
46,14,12032,-12.934745601313205,16.211833089413744
47,16,12288,-13.477686194885118,8.05633899123826
48,9,12544,-9.887296559535807,15.0289661610028
49,19,12800,-9.936090053041756,11.832974097300633
50,9,13056,-3.2140573597996136,11.093614959199215
51,19,13312,-9.448511092266726,8.373661068204502
52,3,13568,-2.0571829652390483,10.937171783686251
53,19,13824,2.7019592918240214,11.4462664750903
54,5,14080,-1.374207643357717,8.885364395093797
55,9,14336,1.0648302691763085,11.687224644745942
56,19,14592,0.9818668659669031,11.175399445005212
57,9,14848,-4.727042841993439,7.104445238085888
58,9,15104,-16.197977618855965,13.216902857311586
59,19,15360,-0.5637547324380043,8.169562049571244
60,5,15616,-10.484252179803747,15.695314593774444
61,7,15872,-12.08420591057184,13.626007206615826
62,19,16128,-11.626844659348189,16.451702885427704
63,3,16384,-12.778678816929197,15.28742280306215
64,7,16640,-12.134163393249686,12.426049328496173
65,4,16896,-8.034684088787502,14.213510097424779
66,9,17152,3.3543942327283696,11.221077879748936
67,9,17408,-11.569064148393569,14.142132027363857
68,19,17664,-11.309582186548464,13.198058434646049
69,19,17920,-12.811939481609992,13.765034590521852
70,3,18176,-4.662987657272484,19.019517854021572
71,9,18432,-3.1773752080623447,13.204307695653686
72,19,18688,-6.906308578257051,14.343146441486695
73,3,18944,-6.638207883649431,12.892707064740845
74,9,19200,-7.080355224741014,13.985530363504502
75,14,19456,-2.6174297225181027,11.856726983093687
76,16,19712,-2.9708530945388936,14.288138085022743
77,1,19968,5.213158149908653,12.047770256261314
78,2,20224,-1.4525250812974186,11.926315150940765
79,5,20480,-1.6686885325578402,13.098810004704166
80,17,20736,-11.197801450745887,14.421886314297284
81,9,20992,-6.1910742068031634,12.98252426271833
82,17,21248,-13.014732013924402,11.244781288435691
83,7,21504,-6.0529119885523945,15.066111421974579
84,6,21760,-10.11170093378704,8.444911597246897
85,6,22016,-10.754322172934254,12.944016664490638
86,19,22272,-9.768824574462066,11.199582352552236
