Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,6,17460,1.2608230540125336,5.838966545701613
1,7,34920,-13.33166125368687,13.726213853056061
2,2,52380,-6.8255668026937055,8.549246989909614
3,9,69840,1.5620757132707719,6.631471976903785
4,1,87300,-6.682190477931438,22.470353392488626
5,3,104760,-3.420155796728789,12.940726061747169
6,4,122220,1.1588968089873668,10.660851777189752
7,7,139680,-28.343238346191033,19.235907334033197
8,2,157140,-10.638657077427698,11.348222787734054
9,7,174600,-7.624384697630044,8.787400356477635
10,7,192060,-0.2891814687303114,8.297090208576646
11,4,209520,2.441527844491751,6.631850996292106
12,7,226980,-2.3187260674119097,9.48567010624888
13,6,244440,-1.7789029726483665,4.9473766992994
14,2,261900,-14.514942248630257,6.5974873056761085
15,9,279360,0.7951147875587992,6.054886717113545
16,0,296820,-9.716845445221798,8.350964573562415
17,9,314280,4.518795918186951,4.696161958947842
18,9,331740,-1.6154763479211387,8.205534989873737
19,2,349200,-9.841138206233756,16.93795655416862
20,7,366660,-8.550815015576706,16.70138036694507
21,9,384120,-3.9175031935515334,14.042919539660112
22,2,401580,-1.6867235242195782,13.658294270527284
23,2,419040,-1.382772750844057,6.456447147737069
24,2,436500,-3.5259022809657012,8.884725524462702
25,9,453960,-16.660099548940877,9.013850235680582
26,2,471420,-17.747699767813693,8.926739869987964
27,3,488880,-5.178751456756051,11.751845984573476
28,9,506340,-5.344681067404664,8.839307139180066
29,7,523800,-1.6223301833528292,8.749165610007749
30,6,541260,2.2353888076586044,6.549565462524224
31,2,558720,-16.03126726654323,10.191343660728572
32,9,576180,0.5426191385443756,10.914399923499598
33,6,593640,-0.23877910407650296,9.770726710003588
34,0,611100,-1.6589811245778272,12.211556230519795
35,6,628560,-3.3536986388775047,6.624532079251512
36,2,646020,-36.27005933980398,19.703657976386765
37,5,663480,-5.49237090562423,10.742571280880405
38,2,680940,-37.857091199365954,15.111228885121365
39,5,698400,2.8700936835564113,8.050242184509964
40,4,715860,-7.349963967394501,14.408845141875005
41,4,733320,-8.231813559377349,14.217765842499794
42,1,750780,-0.6211572140224509,8.25779680393406
43,9,768240,-6.880234971757412,8.894573084372091
44,5,785700,-4.25944247933679,13.364313100283361
45,9,803160,-3.980878006495641,6.3358357431776895
46,9,820620,-13.461075047110395,10.915075883898691
47,1,838080,-4.974100240773201,10.06812355697598
48,5,855540,-6.1502037289674,10.42260703562792
49,3,873000,-29.780626921628187,27.624562204319353
50,3,890460,-33.05869956984305,24.187803451288737
51,3,907920,-44.7327797297883,19.144878278231555
52,9,925380,-3.1675751935429215,11.18129950887293
53,1,942840,3.881845254600311,8.659822022459528
54,5,960300,-0.21818883825995475,14.456318690285785
55,3,977760,-47.21797988469347,19.431607816274926
56,5,995220,-0.04513824258309729,9.588465205229292
57,4,1012680,-8.19170121409501,10.319061795549697
58,2,1030140,-39.72027202897874,19.984325828530523
59,3,1047600,-53.032785003457796,11.075743520463446
60,2,1065060,-32.54507663944392,16.375080224137506
61,3,1082520,-50.929868120689655,25.53659200906226
62,9,1099980,-6.590328980842779,8.994549069699602
63,2,1117440,-33.0296364932741,16.141650767224014
64,9,1134900,-0.1391346739320875,10.189762380491741
65,9,1152360,1.5260108153834744,7.763001577095289
66,2,1169820,-39.084937288301276,21.05306513871116
67,0,1187280,-13.112128914814198,15.187796840983257
68,0,1204740,-23.606507957072687,32.83767436889275
69,9,1222200,-2.3668810148397013,8.203702376650464
70,2,1239660,-39.596743767053184,9.213809144974324
71,5,1257120,-3.085315078743663,9.417241360341674
72,9,1274580,0.5462334105178831,7.791666055077503
73,4,1292040,-5.179220681078433,9.758639161650985
74,2,1309500,-28.628431508388694,12.10387770473551
75,9,1326960,-0.9654311096959042,7.281741728485693
76,3,1344420,-12.255154107087433,9.766193500006283
77,0,1361880,-18.312953845305664,10.468654564575795
78,3,1379340,-10.397559312442102,12.008522321070322
79,2,1396800,-29.59991090041579,11.119440341725971
80,4,1414260,-12.21484244875208,8.490568439282859
81,2,1431720,-33.869189838324516,16.32543204705064
82,5,1449180,-4.8954785105390775,7.63303372241276
83,3,1466640,-4.235193056543048,13.723937062889396
84,8,1484100,-5.710365865778043,9.814010507670725
85,1,1501560,-0.19606127420195868,10.0237096762733
86,0,1519020,-21.682588349629686,11.932109260389892
87,5,1536480,-7.283140896961234,13.707400983725162
88,5,1553940,-8.232298339684004,11.581458773772995
89,0,1571400,-22.531598528453667,19.97812519105964
90,2,1588860,-44.101277714186594,12.312308071139505
91,5,1606320,0.7035277645950571,10.932059674443817
92,1,1623780,-5.415456322785217,9.851160275037653
93,0,1641240,-23.39411302023267,18.82728333473787
94,4,1658700,-9.56824292835638,10.216959391642744
95,0,1676160,-25.5148160843552,17.807865994623736
96,5,1693620,-4.267128367176526,9.18955191526898
97,0,1711080,-24.565067397734275,19.788335801631938
98,8,1728540,-5.233001608879674,9.813251035727658
99,8,1746000,4.543006898035441,7.4927395246357
100,4,1763460,-5.069137171115083,9.776592209621308
101,7,1780920,-9.23457564546747,8.26966254828812
102,8,1798380,-3.2702936902238235,14.460168787912272
103,2,1815840,-1.5532365565934074,13.313303113074573
104,8,1833300,-5.215436926706337,10.447103784446556
105,1,1850760,-9.349407390888056,11.97158199369186
106,0,1868220,-24.49049165936928,14.189493620909005
107,3,1885680,1.745746024369637,8.999891597619047
108,1,1903140,-9.345208674301713,12.164964079016654
109,0,1920600,-31.645975752480325,26.37541891551443
110,0,1938060,-31.406352684752125,18.262557811473993
111,7,1955520,1.3117658601651445,9.210441209093876
112,4,1972980,-10.065337974509116,14.507431540180345
113,4,1990440,-2.8094804788253653,11.525448383724905
114,4,2007900,-1.6753262991756188,6.237916824215381
115,2,2025360,-0.11055842520532488,6.214096012613553
116,4,2042820,-1.7888223472331397,14.177130128272388
117,5,2060280,-1.9807242646914314,11.023050059443799
118,2,2077740,-2.5468289423851513,13.606457837777228
119,5,2095200,-5.189384745305834,12.988381608662449
120,2,2112660,-3.8087698142393287,9.928177825350112
121,6,2130120,-3.5810289920974547,9.384925559675366
122,2,2147580,-1.4190210308199058,10.408014606515948
123,0,2165040,-1.5200732726931712,12.213195852568564
124,3,2182500,-1.7065910521465493,8.623567056883191
125,3,2199960,-4.823489855621334,13.705382414785438
126,0,2217420,-11.296653495826526,7.953530236804066
127,5,2234880,0.3041634500233442,13.490188122880747
128,5,2252340,-0.670385425025666,10.639920721786055
129,5,2269800,-3.496914303413187,10.037657893214764
130,5,2287260,-3.7375545969613855,12.45333898706777
131,4,2304720,-1.220060568209983,13.009313468437885
132,4,2322180,-4.415109700222986,7.331546889831619
133,9,2339640,-3.046839795482631,9.759728116402114
134,8,2357100,1.0664765085886267,10.02572440769942
135,6,2374560,1.9616253767326985,11.219822514693453
136,4,2392020,-1.2481152936127897,16.352673319464472
137,0,2409480,-7.713789588776052,12.669960717515787
138,2,2426940,0.6024073216858822,10.141332144942504
139,0,2444400,-4.616470366535213,9.829899594264525
140,4,2461860,0.4114135351531699,12.34936972492492
141,7,2479320,1.1286582631239965,6.655636401150439
142,4,2496780,-5.979860380053903,12.949716440693761
143,7,2514240,-5.665993824525165,7.7289752255748905
144,0,2531700,-0.4042132300690346,8.774884910470108
