Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,256,-2.791951865314031,0
1,0,512,-4.513599269950804,0
2,0,768,-2.544549496433842,0
3,0,1024,-5.277456631099672,0
4,0,1280,-2.26784020629513,0
5,0,1536,-3.4381749838931537,0
6,0,1792,-2.8123258618816633,0
7,0,2048,-3.975039413641456,0
8,0,2304,-3.1769586217308876,0
9,0,2560,-4.362782187811536,0
10,0,2816,-5.447643552922731,0
11,0,3072,-3.9708241544946734,0
12,0,3328,-3.1826052241571734,0
13,0,3584,-4.229417182229733,0
14,0,3840,-4.274336810640778,0
15,0,4096,-5.432578358407136,0
16,0,4352,-3.399032913163644,0
17,0,4608,-4.8716904488525135,0
18,0,4864,-6.332861871276143,0
19,0,5120,-5.5724243509010005,0
20,0,5376,-4.304437703125534,0
21,0,5632,-3.0758893786870747,0
22,0,5888,-3.713285651932596,0
23,0,6144,-4.482173714581522,0
24,0,6400,-5.099721362319245,0
25,0,6656,-5.613763955959904,0
26,0,6912,-2.169155444993453,0
27,0,7168,-4.667554198939618,0
28,0,7424,-6.185716736942057,0
29,0,7680,-4.499441500814182,0
30,0,7936,-4.842735188099814,0
31,0,8192,-3.125822891217239,0
32,0,8448,-2.951560163442364,0
33,0,8704,-4.086341603046479,0
34,0,8960,-1.6259381301695206,0
35,0,9216,-3.3498681934845855,0
36,0,9472,-3.1509608919272734,0
37,0,9728,-2.950034505432453,0
38,0,9984,-3.271653445043918,0
39,0,10240,-4.215913174411544,0
40,0,10496,-2.5033846201158543,0
41,0,10752,-2.0010567153341574,0
42,0,11008,-2.852276969139594,0
43,0,11264,-4.905645247137114,0
44,0,11520,-3.864739235133747,0
45,0,11776,-5.408862014768417,0
46,0,12032,-4.436666894597019,0
47,0,12288,-2.824088418051146,0
48,0,12544,-3.1235138395729187,0
49,0,12800,-3.2918079009298498,0
50,0,13056,-3.3739628991142117,0
51,0,13312,-4.065381817975503,0
52,0,13568,-2.374955795927044,0
53,0,13824,-4.3820176554188945,0
54,0,14080,-3.2731411174047067,0
55,0,14336,-3.8582558468366397,0
56,0,14592,-2.201904502418588,0
57,0,14848,-2.7367862507001006,0
58,0,15104,-2.1505344130804955,0
59,0,15360,-4.0216587725831054,0
60,0,15616,-2.998202485686254,0
61,0,15872,-3.736830758294185,0
62,0,16128,-2.9862616429694735,0
63,0,16384,-4.386476696861401,0
64,0,16640,-3.4730853407408357,0
65,0,16896,-4.524950691912363,0
66,0,17152,-5.053140586202348,0
67,0,17408,-2.5906620200546966,0
68,0,17664,-3.8765724030504796,0
69,0,17920,-4.634213605336874,0
70,0,18176,-3.8749288142878564,0
71,0,18432,-4.053513793484787,0
72,0,18688,-5.213947616577904,0
73,0,18944,-4.630619775221872,0
74,0,19200,-4.957537826584728,0
75,0,19456,-2.619725922451953,0
76,0,19712,-1.8926453596629762,0
77,0,19968,-2.4708985704314466,0
78,0,20224,-3.796474912719678,0
79,0,20480,-4.046553146294154,0
80,0,20736,-4.969381079557468,0
81,0,20992,-3.1690331991614857,0
82,0,21248,-4.822675058601879,0
83,0,21504,-0.5729767474092531,0
84,0,21760,-2.5989269596916795,0
85,0,22016,-3.9005698399149127,0
86,0,22272,-2.784983293537448,0
87,0,22528,-1.4093821089393046,0
88,0,22784,-3.418147399855486,0
89,0,23040,-1.9412813051288071,0
90,0,23296,-5.506361760220646,0
91,0,23552,-4.024414597653029,0
92,0,23808,-3.9259147668472965,0
93,0,24064,-1.952329107909009,0
94,0,24320,-4.637365073068043,0
95,0,24576,-2.6172295150085376,0
96,0,24832,-3.998805867994675,0
97,0,25088,-3.877654213298265,0
98,0,25344,-4.375576656367009,0
99,0,25600,-4.075406849654951,0
100,0,25856,-4.895275105991773,0
101,0,26112,-4.395622420146159,0
102,0,26368,-5.084717923837198,0
103,0,26624,-2.642482407425015,0
104,0,26880,-4.5676687871397705,0
105,0,27136,-2.157952584033321,0
106,0,27392,-2.4941153179604143,0
107,0,27648,-4.699960590360688,0
108,0,27904,-3.8894809207715664,0
109,0,28160,-2.96268160376221,0
110,0,28416,-4.5269312515380085,0
111,0,28672,-4.833462378773824,0
112,0,28928,-5.760593655186836,0
113,0,29184,-4.826987177861002,0
114,0,29440,-3.5668486905078938,0
115,0,29696,-3.0212349643654655,0
116,0,29952,-4.102019916604213,0
117,0,30208,-3.944837804022592,0
118,0,30464,-3.737307884215885,0
119,0,30720,-2.260545047129903,0
120,0,30976,-3.519569692607278,0
121,0,31232,-5.341558171055952,0
122,0,31488,-3.8844827762089524,0
123,0,31744,-3.9451784296151473,0
124,0,32000,-6.621774340226256,0
125,0,32256,-2.700918219670615,0
126,0,32512,-4.143066233895732,0
127,0,32768,-5.692929242850468,0
128,0,33024,-4.677602475165071,0
129,0,33280,-2.4604097840058765,0
130,0,33536,-3.689563980804375,0
131,0,33792,-4.357473361729268,0
132,0,34048,-3.0251535857910907,0
133,0,34304,-4.426425702523695,0
134,0,34560,-5.8295339085831,0
135,0,34816,-4.253365938848564,0
136,0,35072,-4.108761262639601,0
137,0,35328,-3.853156747108705,0
138,0,35584,-2.1809948844151172,0
