Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,12,256,-1.8142626239449922,13.483199562782996
1,18,662,-3.651355637987791,10.741506339965925
2,11,1068,-0.9975415518481068,12.74727920801606
3,6,1474,-2.053266836730347,10.874655413100845
4,19,1880,1.5175118072229723,9.196244571394946
5,10,2286,-9.306822833247539,6.326311976792969
6,5,2692,-9.475002592564095,13.297120240958028
7,0,3098,-3.0817870795992333,11.272685061407552
8,1,3504,1.7577062749366648,12.449053731161579
9,15,3910,2.587911590286316,7.947004226063069
10,13,4316,-3.811553801121998,9.255100853491076
11,9,4722,-3.052026193917077,13.031518946166424
12,8,5128,-5.989649363503917,12.058201818076476
13,3,5534,-2.4064407715808103,10.854607960328202
14,16,5940,-5.601591511306725,11.361506934747114
15,17,6346,2.0342278170095236,9.296190875386948
16,2,6752,3.0731377594081177,10.006373967059886
17,14,7158,-0.19183141625135502,12.046776606840927
18,4,7564,-4.95117829117162,12.048835838909326
19,7,7970,-1.0186421457547867,11.118365760385803
20,10,8376,-7.692898032879978,9.079510212131677
21,6,8782,-0.049468483989564827,7.24234051898311
22,12,9188,1.3398603545565841,10.074419806173841
23,18,9594,-6.958761579144223,10.814149106976169
24,0,10000,-5.212596011277234,11.555522602377264
25,5,10406,-1.6660539551247306,11.689146596323187
26,16,10812,1.3932295199306524,7.499218945064419
27,7,11218,-1.636984488174079,10.857695166124124
28,9,11624,-0.39869253873246235,9.877247853730758
29,13,12030,1.1655224141470828,11.127161821192637
30,12,12436,-0.2775211812413028,10.579754916778189
31,18,12842,3.829282847534241,9.351972049804445
32,7,13248,-5.781863846381125,7.526908361837542
33,5,13654,2.4147787160678487,9.858626704863507
34,12,14060,-4.307633155168216,11.031228840631188
35,5,14466,-0.6939014507948729,10.14017489200199
36,7,14872,-6.917113898143623,13.469964022219136
37,18,15278,-4.706379633479779,11.863377297736884
38,5,15684,-3.6091304430400952,11.354285340382534
39,3,16090,-2.050917619315925,12.854695761313867
