Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.001,0.001,0.049999999999999996
1,0.2,0.00025,0.005,0.001
2,0.2,0.0005,0.005,0.075
3,0.3,0.00075,0.001,0.001
4,0.3,0.00075,0.01,0.0075
5,0.3,0.001,0.005,0.025
6,0.4,0.0005,0.005,0.049999999999999996
7,0.4,0.00075,0.005,0.001
8,0.5,0.0001,0.01,0.0075
9,0.5,0.00025,0.005,0.010000000000000002
10,0.6,0.0005,0.01,0.049999999999999996
11,0.6,0.00075,0.0005,0.075
12,0.7,0.0005,0.005,0.0075
13,0.7,0.0005,0.005,0.025
14,0.8,2.5000000000000005e-05,0.001,0.049999999999999996
15,0.8,0.00025,0.005,0.0025
16,0.8,0.00075,0.0005,0.025
17,0.9,5e-05,0.01,0.005
18,0.9,0.00025,0.001,0.075
19,0.99,0.00025,0.01,0.001
