Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,15640,1.627123950178482,9.85457597272775
1,4,31280,-8.51022686402017,9.470640275187739
2,0,46920,0.6138846647981773,12.734799989737594
3,0,62560,-3.564259136549281,9.686049097974813
4,0,78200,1.2113794874206651,7.657880684651169
5,0,93840,6.311321113462112,8.580966826987666
6,0,109480,-6.4587063265681905,9.724476613335142
7,0,125120,1.8512252331267411,6.583435755663941
8,0,140760,-1.2185730153547119,10.093521894428163
9,0,156400,-4.070436612989184,11.328489957385502
10,0,172040,-6.8850557077069,12.9965832639886
11,0,187680,-2.585978299380387,13.553729708855277
12,0,203320,-4.660556274135994,10.211559534689776
13,0,218960,1.048287405240648,9.397051205209207
14,0,234600,2.4416009439245117,7.896330662110032
15,0,250240,-0.33208236998071516,9.195794607784562
16,6,265880,-62.386945077875,17.538368640202066
17,6,281520,-55.9475144221051,10.020170561329664
18,6,297160,-57.830841127424904,15.088438675092458
19,6,312800,-88.55245509215413,33.16319588092823
20,6,328440,-87.94164456361516,32.62080763126359
21,9,344080,-2.13165159184132,6.708334278468378
22,6,359720,-90.79296617177724,25.62694698979428
23,6,375360,-88.95394764689341,35.499523345000085
24,6,391000,-64.97255888287272,10.226666235803288
25,6,406640,-56.77866632452348,34.103652438917685
26,6,422280,-38.580796213291116,12.036194137170483
27,6,437920,-51.0274462935723,22.14353205697921
28,0,453560,-57.30953674712589,17.58229668780671
29,6,469200,-80.37107715814071,33.059265939011524
30,6,484840,-60.97997184656201,22.195136119370858
31,9,500480,4.817293905336325,8.3826611501435
32,9,516120,0.4017186426150069,11.447185038772536
33,6,531760,-67.24870718902739,22.294009663288776
34,9,547400,-8.096804472962754,10.955036777470056
35,9,563040,-9.457380968983419,11.133035728116141
36,5,578680,-6.303976124233501,9.631390449690347
37,0,594320,-138.52941274805465,32.58527883668168
38,5,609960,-3.5161844266106046,10.167999440612174
39,0,625600,-121.1538211039787,37.30478901503996
40,0,641240,-101.1475505713088,25.983945422014852
41,0,656880,-85.16252389273056,20.4123130648945
42,5,672520,-32.56999288281723,12.176831731696938
43,5,688160,-29.163608796514172,11.753073701753076
44,5,703800,-42.87255510968899,26.135523688678152
45,5,719440,-36.19078335357584,16.9653516994848
