Episode Number,Reward 0,Reward 1,Reward 2,Reward 3,Reward 4,Reward 5,Reward 6,Reward 7,Reward 8,Reward 9,Reward 10,Reward 11,Reward 12,Reward 13,Reward 14,Reward 15,Reward 16,Reward 17,Reward 18,Reward 19
0,-0.8674440815624657,-0.1271800354667262,-10.297848694627143,-23.3086045972515,-4.552921554678224,-0.4175266241397721,-0.9187403497604031,0.35750781133148807,-17.350709914035747,-1.813733802694485,-1.1582746517824805,-7.283473866697896,0.7182417065768132,-24.56493105810493,-2.676018263057178,-1.3815194066517265,-2.893697673694754,-6.872587707074288,-3.8454851332279594,1.8009685684879908
1,-26.061865324823078,5.187644049577983,-22.746114307450295,-65.16172731543263,-60.43151088793572,1.8189875051673379,-6.77236502836511,-10.971194084318546,-74.39743261403893,5.725757973040827,0.29836142461368975,-50.64069290492024,-8.166545462294287,-79.21072110920991,1.714602645930793,3.1079674820021417,-6.268951088090026,-7.505279011153521,-2.133338197732904,-3.8856939923223366
2,-42.52864561999417,0.9006840151400386,-23.773094417506474,-62.945665360473,-93.05789921592401,4.115456326069386,-3.388618282186319,-32.51422671622652,-77.33209131025389,-0.7013475752774523,-6.550848993965081,-48.02137840254325,-1.8881759672663,-87.84518397554729,-5.347286396939784,-1.3672844639326456,-16.80380723303178,-4.540976454775014,-4.084570003439709,-59.540786440160446
3,-42.96529232377314,-10.127051429420847,-12.416680807520464,-43.95235402543688,-106.70101869357825,-2.2861392279359216,-6.804327259891368,-42.76593532957388,-56.68473779049085,-3.8000030001670453,1.969834459018714,-6.327217321249695,-5.770376504770503,-63.451433323063284,1.936522177783684,-14.935082495100835,-10.278809258037626,-0.18190456360055318,-0.8941229317442275,-89.82515168121827
4,-42.372243772967146,-8.519543432514599,-5.659809215693197,-61.75975728206123,-113.0043784195083,-4.22449618770309,-49.40418374376662,-42.5350972919592,-49.31034615988393,-8.019193054333135,0.4345326430219288,1.0241551481180864,-6.44694547705201,-12.347643201189529,0.9555455031904551,-49.09053157036546,-1.4084760744370652,0.29885019478405966,0.9375403045169953,-95.77003653739533
5,-38.66664455123466,-32.890849040705625,-1.3776472730814748,-89.7704425094636,-104.23317581397642,-11.592982831284258,-73.32959436342432,-31.607770593179634,-65.96958391654462,-14.458892722056351,0.14184425444056234,-5.459773320720204,3.918431655650443,-27.796194286394815,3.5663392732358092,-88.66463995411955,-5.613148992400574,-4.482199515616078,-3.903391860692616,-117.53998810957987
6,-77.64595494619817,-90.38484116736748,-6.883750424648629,-83.47256395114006,-98.04246061901397,3.289302269582066,-79.31250694997247,-33.98101954367076,-135.06898454100764,1.2408246553025637,-3.16364030075425,-2.6927942211668148,-1.9123209961783445,-96.22731030069113,-0.5792739196774889,-75.0302338142603,-6.133687334880987,-18.434096289550055,-21.215643190189244,-102.90602276090644
7,-34.19271536189527,-93.74761798119474,-26.771382770130735,-88.78478994104323,-123.12171735257327,2.0573469828156594,-88.0506649287745,-4.82848649970225,-125.08919228703385,-5.747031117875478,0.6278308818879422,-8.427771048647482,-15.14287014699659,-116.12742717658409,-3.0239794369745665,-92.68523985582539,-11.920713434986938,-69.44929800021025,-70.96132631906303,-67.28149650401737
8,-6.889321877132647,-95.1260864988975,-42.89260428573731,-72.42211630245365,-103.92198374947937,-0.27308352621427545,-65.01699644757232,-5.928381281801807,-112.03171169996517,-9.52522473126365,0.18382763402268587,-7.3478982585729185,-63.12191817164785,-92.9146802503536,-0.2609598774897878,-99.24873964494996,-4.598321503657242,-85.7694424293904,-85.17201796980893,-59.28513114206371
9,-2.0789913039843273,-94.59753335862368,-55.2342023058434,-68.33287903040119,-75.04513665437072,-4.501824286227775,-43.0095468041459,-6.0070624364019025,-99.40776683373045,-28.976264002206797,2.274351178737123,-16.739604734131472,-94.5953829511855,-102.86304345157791,-2.6314039422312328,-114.35235651413682,-3.5689539472131577,-104.40103875203508,-91.98874765436406,-55.28065192758085
10,-4.187401513598968,-70.78762352210236,-67.14576376301466,-59.751371139743775,-70.85550559854228,-2.6452455682178844,-16.82559870103134,-10.716502227234475,-102.51916771002948,-52.07429510113853,-2.105703809619701,-44.252962324485466,-93.49301157163208,-111.87835490797283,-4.244026905865108,-83.05422489700013,-15.678986882431094,-111.50342488439117,-97.96627984992276,-65.61528181790285
11,1.3631627756918194,-79.53133898495042,-44.710390622840556,-74.5054624444441,-90.33781449411552,-3.232438386950111,-50.071272753213655,-0.7975155032703565,-126.27510873962669,-51.90066367330006,-1.9653300084219505,-51.78990017159646,-115.04564699252698,-103.4727642126791,-9.473368861752771,-91.40605174887023,-20.050719576642102,-119.03142143050138,-122.91713050018052,-55.47217481262403
12,-10.39578030001809,-59.30739698606842,-45.60020750316751,-80.87337834745895,-71.87314413943929,-2.588181636185672,-61.67256016218503,-7.303833328393878,-107.80664647033018,-55.27727115109042,-0.49610137274280885,-61.82081602437391,-113.33960917951497,-103.79538928286722,-19.114065419090924,-80.34150103290692,-27.552209055783713,-113.25352581202492,-80.49706571397815,-56.181574979211554
13,-1.4091866003442668,-28.661695215166468,-78.79213275183153,-89.0800112515049,-86.72518678377281,0.3669287587704659,-76.75065217488371,-8.273806105945933,-96.6194469199771,-69.74780764860418,0.05146713499500797,-45.55394109591097,-127.20555386271435,-111.10858267632538,-23.873093866466245,-41.12801909357454,-31.365800099036,-137.12309069450208,-99.43523651888083,-62.113920124499224
14,-1.3617928670591342,-5.257474877521951,-94.79766233621267,-81.10859965571831,-74.12637602018874,-6.927376557282313,-68.32284392030465,-10.854088202349065,-107.10355711197681,-88.9606506863631,-0.5915510395201444,-57.69071531120628,-108.6801684506908,-109.23869175986813,-24.28976340365479,-33.91214961673499,-26.65694735408382,-115.71490289803455,-128.12584433873474,-99.3591035102161
15,-12.209023421387235,-9.289864201420247,-71.6523327286639,-71.18878941350066,-86.55540556546671,-5.241491627102073,-75.5792193428438,-10.448696948771694,-100.50373987188875,-61.393654939668764,-2.6414127291737883,-43.48131766346977,-100.43964939702929,-123.58755548888516,-34.29562589746029,-35.06884543021766,-21.86446918277095,-100.43441317558458,-86.93219029619512,-83.76655486106746
16,-0.33123977770616786,-0.36925327545338654,-51.584043931716906,-88.37750386507628,-72.50339215117329,-1.6798847487761854,-57.42404928771133,6.605741221089323,-106.30601692390181,-69.70891319446974,-6.180897365351997,-48.76151438740984,-86.44807594671072,-112.73548810279237,-14.32396873098437,-26.62518036457169,-17.736937180701762,-122.61476347526494,-88.35592103794976,-94.63725857985656
17,-2.7022089614839198,-0.8652906068582983,-47.138421815007476,-97.4964170435688,-57.807526936087655,-0.9367529986901575,-32.79616687937344,-3.197571772220488,-106.27607234336494,-65.21497694428025,-2.7234376556093407,-36.01574901459535,-77.67309454266851,-88.78745138013318,-5.767805027188503,-17.58753500623229,-15.320456569122006,-110.62907444264906,-91.61616019449258,-83.43333152383346
18,4.981070978037878,-1.8236462862346035,-58.62885135030982,-81.74678512759714,-69.62331237070674,-7.11111597940364,-10.483199998683457,-3.5656912610373297,-85.35832198951914,-91.44813138387589,-5.398771007270608,-39.07894462066409,-88.63539033063924,-107.11936345608606,1.5271534563639564,-27.77364284707253,-5.0790286275078085,-96.20735523553859,-89.69554302686417,-92.62427219131963
19,-1.889929192286846,-6.300916026163047,-61.95802246586432,-74.30031029626404,-53.6984385200828,-16.635995445194286,-10.534443644341435,-3.285130010920869,-95.58555783765725,-89.5664331957143,-5.895678724408596,-14.942471024318687,-72.34041092535409,-83.74822848558708,-1.3450936088770384,-17.382792671516718,2.762631549496505,-90.84759635170498,-78.45470171363624,-74.14560422521006
20,-4.9167153568735795,-2.0821183180941767,-54.89063534491709,-85.43630382837348,-50.18606715464242,-14.77144558204401,-71.37844138368172,-1.1619434783706888,-96.39292203627886,-107.53216352928398,-0.2524528531496547,-3.163565892089988,-61.572363653946454,-98.18772716349011,-0.42848286890736453,-20.02962598864232,-6.389271394604822,-94.43991787940112,-120.71406279022399,-57.57219683609658
21,-6.322492015242521,2.691039969741312,-46.02325863336635,-83.99762709811073,-67.1237118995525,-22.91108857618952,-85.68449877839186,-2.6201161419748376,-90.36143784282646,-105.39054829426247,-2.2781809743527983,-14.47925181835032,-82.79467227114046,-119.36515865705819,-0.02206037483746841,-11.222791942964909,-1.768241289689519,-110.9825669672852,-114.98926384790862,-79.3080654368645
22,-9.255983745840876,-1.4397943938842581,-50.3666743221281,-103.12256674315225,-84.40046354945345,-44.212245737183494,-100.77213535261345,-1.9917608006185037,-79.61349175436219,-129.46108951910003,-9.647801447659289,-17.49789431158598,-73.57890203073137,-98.28830654249126,0.39898571809264827,-19.16908341102295,3.575239166697583,-105.66175233533443,-89.17237041013962,-68.58430402421922
23,-5.442433068886272,-1.184998561381436,-48.37955787258189,-94.80079490429495,-75.24337402757196,-42.96664023259073,-81.19905515143239,-1.3799145448468033,-68.89655294638426,-118.18613583356982,-4.6746524557470055,-17.68406713441092,-56.49418745539028,-100.0278743076507,3.0783584723998474,-13.53346878302879,-1.4047817818269304,-85.22220013743836,-106.75857950155293,-53.71353117207642
24,-0.4346905699373956,-5.853303918363236,-48.00648369307842,-98.5495058003923,-79.9543709462308,-30.40797337455004,-23.47757323186861,-5.810459427392577,-97.26631257155995,-117.69246501972353,-2.1206998062731133,-9.866553363817726,-66.82637812251984,-102.52548043077836,2.8198978839489586,-9.094586542836979,-5.589293896004943,-83.98060656864243,-122.24242088079438,-64.07749936085767
25,0.04691075792255432,0.23760878286669834,-50.6968147852223,-97.69654006024011,-89.84111232497631,-31.486416446581142,-42.0891297629431,-5.850677591200466,-80.02476629237776,-115.72331272047147,-9.597585435834276,-18.406742401288533,-37.93533291796812,-104.63649810612753,-1.0782235416969557,-10.024754644595513,-1.9825923835179906,-65.32978886686782,-105.44817257136458,-51.15741808733342
26,1.5635782390724269,-3.1325505557514957,-41.26782211914113,-87.34872027060229,-65.61095390239565,-20.072375938894844,-71.40489136892353,-16.135658582231805,-89.33396917039923,-92.4368881364645,-6.217184878297297,-29.534248172934003,-18.89490377124387,-89.92452158912694,-8.752388274109222,-10.24578487136467,1.166341851056581,-53.49246865157306,-117.6061153533634,-54.121800994853686
27,0.3174343152041713,-5.097047540235394,-34.650215614650115,-72.45239805571575,-80.88663478650035,-27.717161204897536,-80.86564196691855,-15.43261157034117,-88.4820445168345,-123.88256955931254,-7.82596197001313,-16.30308058403446,-10.37187770687913,-118.53218896791513,-7.787081072602464,-27.834382400604074,-2.6282579826754042,-36.456580374993564,-115.30968417280387,-67.88776963042714
28,3.6710960886756636,-2.6261755843072065,-27.342730646035722,-91.55851641081385,-46.58947355471871,-15.574813220228005,-74.31586095876798,-49.87201249234462,-74.43290731529154,-136.97437613830613,-6.243295199395394,-14.677102489443595,-11.111918730891272,-98.95822232043982,-13.878865387602989,-19.99443952908786,-1.1848490920960402,-35.835693193866724,-95.27995045362952,-23.774246586610637
29,0.6132490377026054,-6.462475940915489,-31.188188177315745,-84.11780732090389,-41.43386312225401,-8.27376650592918,-75.7938708001106,-68.38121998419818,-80.15691459188673,-124.54009483066632,0.3464297486791665,-15.776460503486794,-8.869176267097968,-101.87938167334205,-1.0145519437848916,-18.546442544872136,-1.737811300395925,-24.140965568373115,-99.40622899012696,-17.85362931076322
