Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,0,64,-5.531638935917799,0
1,0,128,-9.15404720263175,0
2,0,192,-13.399298789435367,0
3,0,256,-41.821779409347144,0
4,0,320,-73.73316039602815,0
5,0,384,-65.36821215007393,0
6,0,448,-47.090755433825436,0
7,0,512,-24.406218778400337,0
8,0,576,-46.080616521149025,0
9,0,640,-38.209938230912584,0
10,0,704,-44.60314709282281,0
11,0,768,-31.52225729446774,0
12,0,832,-26.13808414071671,0
13,0,896,-27.739713501381353,0
14,0,960,-44.61389422387482,0
15,0,1024,-40.03299113377244,0
16,0,1088,-36.66350009856228,0
17,0,1152,-29.917199132671477,0
18,0,1216,-39.324857772547766,0
19,0,1280,-30.561982244274247,0
20,0,1344,-37.24920263396493,0
21,0,1408,-42.6519085579576,0
22,0,1472,-54.94404398970751,0
23,0,1536,-50.76026492681099,0
24,0,1600,-50.681190097761565,0
25,0,1664,-38.94238967520727,0
26,0,1728,-41.44736503368577,0
27,0,1792,-34.42229206563368,0
28,0,1856,-32.42318674361418,0
29,0,1920,-25.293827905066017,0
30,0,1984,-33.402347454105424,0
31,0,2048,-40.313815921050534,0
32,0,2112,-36.10579176051592,0
33,0,2176,-36.682840996478646,0
34,0,2240,-44.5799743742702,0
35,0,2304,-45.245954972429296,0
36,0,2368,-30.462184921992932,0
37,0,2432,-27.059617549495137,0
38,0,2496,-17.726874956867817,0
39,0,2560,-24.436612631767247,0
40,0,2624,-17.774172283958446,0
41,0,2688,-21.762113902138246,0
42,0,2752,-23.37550702732512,0
43,0,2816,-30.231315808977755,0
44,0,2880,-25.379045352177364,0
45,0,2944,-31.72130672033486,0
46,0,3008,-30.75959880170432,0
47,0,3072,-26.018338379654168,0
48,0,3136,-23.34596797241884,0
49,0,3200,-27.427222624769612,0
50,0,3264,-27.153749095157835,0
51,0,3328,-35.03743726053278,0
52,0,3392,-39.16065438020476,0
53,0,3456,-37.083846811102745,0
54,0,3520,-34.051543316835534,0
55,0,3584,-21.191057419539945,0
56,0,3648,-18.022813115655353,0
57,0,3712,-16.177157758187427,0
58,0,3776,-25.20793780647866,0
59,0,3840,-25.11948555854164,0
60,0,3904,-21.22493735894752,0
61,0,3968,-23.375700672746262,0
62,0,4032,-24.552240377510984,0
63,0,4096,-29.35063750153875,0
64,0,4160,-19.563686525485743,0
65,0,4224,-18.029788390410353,0
66,0,4288,-16.744072378176305,0
67,0,4352,-24.562226445993343,0
68,0,4416,-24.53484312504294,0
69,0,4480,-31.965321904903202,0
70,0,4544,-31.816488060990167,0
71,0,4608,-34.69516123173733,0
72,0,4672,-29.518436597800175,0
73,0,4736,-34.41651800022083,0
74,0,4800,-31.49837117903419,0
75,0,4864,-27.73948718423102,0
76,0,4928,-28.462021286826698,0
77,0,4992,-30.635056950194002,0
78,0,5056,-30.0861756918355,0
79,0,5120,-24.139489902792114,0
80,0,5184,-24.733088648734345,0
81,0,5248,-23.746218269994465,0
82,0,5312,-24.28747227500125,0
83,0,5376,-29.538663170550063,0
84,0,5440,-39.02445226939268,0
85,0,5504,-25.354123525879125,0
86,0,5568,-23.566738759564274,0
87,0,5632,-31.511459235527788,0
88,0,5696,-27.37062295160991,0
89,0,5760,-21.062270047701247,0
90,0,5824,-21.34103637476506,0
91,0,5888,-23.545196324094746,0
92,0,5952,-23.800839806653013,0
93,0,6016,-18.828892525104735,0
94,0,6080,-14.339138028036112,0
95,0,6144,-17.040687545040274,0
96,0,6208,-14.715501918244236,0
97,0,6272,-16.796874683244024,0
98,0,6336,-16.487668185409955,0
99,0,6400,-21.26979829557773,0
100,0,6464,-27.259332258004182,0
101,0,6528,-33.58625806283199,0
102,0,6592,-32.21390089537885,0
103,0,6656,-29.514239501734057,0
104,0,6720,-30.406860304616096,0
105,0,6784,-46.067745464272065,0
106,0,6848,-57.55875156459949,0
107,0,6912,-42.24285488211517,0
108,0,6976,-37.0304474733948,0
109,0,7040,-21.668263375966905,0
110,0,7104,-27.47679480763268,0
111,0,7168,-39.11836015655251,0
112,0,7232,-44.58951936610703,0
113,0,7296,-34.773794381723235,0
114,0,7360,-37.19480544281464,0
115,0,7424,-35.78843481293692,0
116,0,7488,-37.14214200506158,0
117,0,7552,-33.34082858000216,0
118,0,7616,-25.81394185763476,0
119,0,7680,-24.43389651141974,0
120,0,7744,-37.5590930571681,0
121,0,7808,-30.2081496306233,0
122,0,7872,-34.472177741315306,0
123,0,7936,-29.28472114702891,0
124,0,8000,-23.834956317550784,0
125,0,8064,-26.19682149606242,0
126,0,8128,-32.807845447853055,0
127,0,8192,-31.191267483029172,0
128,0,8256,-29.285595863567544,0
129,0,8320,-29.049791638647754,0
130,0,8384,-26.380031562585636,0
131,0,8448,-29.798383221879668,0
132,0,8512,-32.07324155972528,0
133,0,8576,-32.30442609080413,0
134,0,8640,-23.340182893276285,0
135,0,8704,-36.593721996048956,0
136,0,8768,-25.410084725690304,0
137,0,8832,-29.35857165947064,0
138,0,8896,-31.50561991679868,0
139,0,8960,-25.925375160887747,0
140,0,9024,-29.311576210975268,0
141,0,9088,-18.696693984944538,0
142,0,9152,-25.885596375863752,0
143,0,9216,-23.445133986854103,0
144,0,9280,-18.572678734524132,0
145,0,9344,-24.795568706186653,0
146,0,9408,-26.192362084378807,0
147,0,9472,-28.140835585061843,0
148,0,9536,-21.442384565882602,0
149,0,9600,-27.28809449300479,0
150,0,9664,-27.04585575750469,0
151,0,9728,-25.322705096773408,0
152,0,9792,-29.106053136520668,0
153,0,9856,-25.29005057143778,0
154,0,9920,-26.52691247669116,0
155,0,9984,-24.8186407446071,0
156,0,10048,-24.73390748184561,0
157,0,10112,-24.317113899145042,0
158,0,10176,-24.862266319884814,0
159,0,10240,-32.918417392197,0
160,0,10304,-30.299336989286353,0
161,0,10368,-20.315665223162654,0
162,0,10432,-28.639549905270172,0
163,0,10496,-26.825399758927546,0
164,0,10560,-36.07654918205356,0
165,0,10624,-40.535701167301,0
166,0,10688,-28.71905133045484,0
167,0,10752,-30.665490949263493,0
168,0,10816,-38.94159628244156,0
169,0,10880,-33.46795651858793,0
