Episode Number,Algorithm ID,Experience,Expected Reward,Reward Variance
0,6,64,3.754756514185412,13.159740738620812
1,12,277,-8.46275513190099,10.555581608230844
2,10,490,-16.56715697515072,9.203572380130748
3,15,703,-13.229245477382298,12.191028516198951
4,9,916,-80.02605335712911,27.2813591261842
5,11,1129,-80.22215121448448,29.66353017336036
6,13,1342,-82.43225690553905,31.61219357761624
7,16,1555,-108.19546190822564,40.15729254587987
8,19,1768,-103.84851867640286,34.44877691281241
9,18,1981,-81.10613821634011,26.414968242328893
10,19,2194,-85.47497566384467,28.375872340101882
11,7,2407,-34.28733473792114,14.263223257787583
12,3,2620,-82.9322757168281,26.307816584215914
13,14,2833,-98.81463083562394,33.511628812142646
14,0,3046,-76.5926610906955,30.902935883360612
15,11,3259,-77.14718849290053,9.866273804832918
16,1,3472,-78.16873918318244,33.71907960853897
17,5,3685,6.71446557316052,8.965357757035216
18,17,3898,-12.871448395390601,10.119776944739671
19,2,4111,-63.701071390144435,19.859460239815565
20,8,4324,-22.48252759668805,14.658632431245445
21,4,4537,-90.69771262149825,26.6149152940099
22,5,4750,-18.327163175919704,11.988686566264668
23,2,4963,-26.878849310123552,12.08956258601877
24,5,5176,-26.559129677521383,9.972191212874518
25,2,5389,-45.407159413586676,38.36144382306365
26,5,5602,-10.186314953577881,5.379563984466548
27,2,5815,-29.34632402693962,27.92714780179304
28,16,6028,-20.651331508128273,10.53825116819919
29,18,6241,-79.86145021645821,23.198357259353386
30,3,6454,-2.536211231114585,8.814007125354754
31,5,6667,-8.032100835378737,7.717049533283064
32,2,6880,-1.2757974397461116,11.120162026267481
33,14,7093,-5.719419270368103,10.574596517455594
34,11,7306,-3.3802142938125725,11.472821402550572
35,11,7519,-1.8428926676422368,9.925085851473094
36,4,7732,-84.5770780755345,22.147985087388598
37,11,7945,-2.9594427625494255,7.896033172895504
38,11,8158,-7.8263992215615605,8.47542827639762
39,2,8371,1.1690150020330785,6.915555598220326
40,5,8584,-8.11184499579166,7.899797529666615
41,12,8797,-7.103157053192158,17.607245153752025
42,7,9010,-28.09108004368885,13.849182755408465
43,0,9223,-86.69484552911345,34.63990843764032
44,15,9436,-12.10558763201854,14.22170837978981
45,10,9649,-54.2037328383513,19.133335656456772
46,9,9862,-22.36674894775514,13.09476951926026
47,1,10075,-6.8012985153609495,9.434599421299852
48,8,10288,-6.376014458982416,12.993413543068984
49,17,10501,-18.768630209203373,12.24607980391335
50,13,10714,-4.894729978785857,13.741123451782524
51,6,10927,-5.790860124957254,11.483435524702704
52,11,11140,-2.8578525119229616,10.98763683512994
53,18,11353,2.7804950555239127,6.693824646597073
54,18,11566,-3.4752891053429806,10.779028114872256
55,18,11779,-4.57277422364029,11.39580629501824
56,11,11992,2.4557567042384383,9.9896445784323
57,11,12205,-5.506119790183581,8.565158610443937
58,16,12418,-8.384732594398772,10.980170520057275
59,4,12631,-5.158260567599105,8.578890303428418
60,16,12844,-5.715246897410685,12.05321685400628
61,2,13057,-9.347446032136327,11.839648426652081
62,18,13270,-4.425115127324366,13.646470553709802
63,5,13483,-3.9355785053195804,12.111994315415478
64,2,13696,-38.424258710030415,30.796772795645317
65,16,13909,0.09078646164334173,7.3193686430854665
66,5,14122,-21.558084842229984,33.71120184873646
67,18,14335,-2.6718694545080233,11.602645196739742
68,16,14548,-1.681616602576634,13.661022906596628
69,5,14761,-79.76065015299594,28.274399885010155
70,18,14974,0.6291589983534379,12.822444263135221
71,19,15187,-9.904766816251382,8.89969799384591
72,16,15400,-2.8136057816484965,8.39914703279404
73,11,15613,1.023530142853206,7.017190591842646
74,16,15826,0.5516653154917452,10.449224605032567
75,11,16039,-7.594813840859589,10.463105316544532
76,16,16252,0.23281414477498336,10.042221232324291
77,16,16465,6.082485405901108,6.810695471993078
78,2,16678,0.05272209054052137,10.530766650663073
79,2,16891,0.300412354591536,9.654873529429809
80,11,17104,-6.0845825826596025,10.36931481856396
81,16,17317,-5.934636705234012,12.226185947495557
82,6,17530,-17.391512585171856,11.883248244795947
83,5,17743,-21.548394305892078,24.32076745276967
84,11,17956,-3.3064930056188557,7.958763216991977
